    acswfc_f550m  5583.7  166.3  5581.2  5589.3  159.5  155.5  5563.6  151.1  163.0  250.1  240.6  231.2  259.3
    acswfc_f555w  5371.8  362.0  5359.6  5397.5  350.7  343.2  5269.3  308.6  366.8  566.7  569.3  480.6  640.6
    acswfc_f606w  5956.3  670.3  5917.7  6076.6  698.2  606.1  5651.0  567.1  722.9 1148.0  909.9  831.3 1218.8
    acswfc_f625w  6324.1  413.2  6310.5  6374.2  425.5  379.0  6223.7  386.4  426.6  699.1  575.0  597.9  687.7
    acswfc_f775w  7705.4  438.1  7693.0  7716.6  412.1  446.4  7584.6  359.9  462.4  648.4  712.6  553.4  794.2
    acswfc_f814w  8087.4  675.1  8059.8  8086.3  598.1  711.6  7814.2  470.3  687.3  913.7 1227.5  700.5 1317.9
   acswfc_f850lp  9071.6  561.4  9054.8  9021.8  426.3  573.2  8879.9  360.9  526.0  671.6 1135.7  571.1 1087.3
    acshrc_f220w  2264.3  231.8  2255.3  2260.5  150.1  166.7  2199.1  136.5  157.7  263.2  357.1  235.1  318.2
    acshrc_f250w  2727.0  257.5  2715.8  2720.6  194.1  243.1  2626.8  152.2  227.6  314.1  464.5  273.2  450.9
    acshrc_f330w  3367.2  173.5  3362.7  3382.6  169.2  157.8  3335.7  158.9  171.2  289.9  250.4  266.2  281.6
    acshrc_f435w  4322.0  304.5  4311.0  4375.2  322.6  258.1  4254.2  301.5  307.6  548.3  381.8  480.0  479.1
    acshrc_f475w  4794.0  413.3  4775.8  4862.6  424.7  359.5  4667.4  388.0  422.1  728.4  551.7  612.3  695.0
    acshrc_f550m  5582.3  168.3  5579.8  5587.5  159.1  156.0  5561.7  150.6  163.3  248.9  241.9  229.9  260.6
    acshrc_f555w  5368.0  359.6  5356.0  5391.0  345.2  343.3  5265.1  302.9  364.6  557.8  571.9  473.5  639.8
    acshrc_f606w  5926.1  667.2  5888.0  6031.6  683.4  623.0  5615.9  542.9  715.9 1109.8  944.6  796.4 1232.7
    acshrc_f625w  6309.2  414.0  6295.5  6354.2  422.5  386.6  6203.0  378.4  430.8  686.6  590.5  582.0  701.3
    acshrc_f775w  7677.5  437.7  7665.1  7674.2  393.9  461.3  7547.4  340.3  461.7  616.5  750.8  524.1  821.9
    acshrc_f814w  8146.9  723.4  8115.3  8160.1  668.2  787.7  7821.2  484.9  794.2  989.2 1231.5  711.8 1425.4
   acshrc_f850lp  9161.6  553.1  9145.2  9148.8  463.6  528.0  9002.2  412.4  514.4  754.4 1022.4  658.4 1010.7
   acssbc_f115lp  1415.0  165.1  1406.1  1404.8  124.5  171.7  1334.2   89.1  139.8  189.4  356.3  133.5  306.6
    acssbc_f122m  1277.4  106.1  1273.7  1250.9   45.0   95.9  1234.9   36.1   64.8   70.4  270.6   58.1  184.7
   acssbc_f125lp  1445.3  155.5  1437.5  1431.5  113.1  163.0  1372.4   83.7  130.2  172.2  343.2  123.9  292.3
   acssbc_f140lp  1532.6  135.4  1527.0  1514.7   93.8  144.8  1472.7   70.5  116.7  137.6  304.3  102.1  266.4
   acssbc_f150lp  1614.7  117.6  1610.7  1595.7   79.6  129.4  1564.7   61.4  107.3  115.2  261.5   88.6  240.4
   acssbc_f165lp  1760.1   89.7  1757.9  1751.5   66.9   90.6  1732.8   58.3   85.5  106.2  169.1   93.5  168.5
    nicmos_f110w 11352.6 1589.3 11235.0 11736.5 1630.9 1305.4 10484.6 1364.5 1692.0 2865.6 2007.1 2200.7 2895.0
    nicmos_f160w 16073.6 1169.3 16030.5 16241.0 1238.7 1043.7 15752.1 1099.1 1218.0 2006.4 1569.7 1657.0 1951.5
    nicmos_f187w 18719.7  727.3 18705.6 18742.3  706.0  688.5 18595.6  662.1  715.1 1121.0 1132.7 1011.2 1222.2
    nicmos_f190n 19003.5   62.7 19003.4 18997.4   54.2   55.1 18996.7   54.0   55.2   92.8   95.7   92.3   95.8
