

This is a high resolution (resolving power=4000) Kurucz Vega model wavelength-extended to 303.2 microns.

Column 2 is the line blanketted emergent spectrum.

Column 3 is the unblanketted atmosphere's spectrum

A total error of 1.46% (global bias) can be assigned to the 2nd Column.


M. Cohen
26/05/1996
KURUCZ VEGA MODEL                       
TEFF  9400.K   log(GRAV)  3.900 TITLE SDSC GRID  [-0.5] i.e. metal poor
VTURB 0.0 KM/S      RESOLVING POWER 4000  Absolutely calibrated by M. Cohen (provided 01/06/96)

  Wavelength   F-lambda      F-lambda 
                (model)     (continuum)
   (microns)   W/cm2/um      W/cm2/um
   1.013270  6.168690E-13  6.236845E-13
   1.013380  6.172389E-13  6.234771E-13
   1.013480  6.173092E-13  6.232582E-13
   1.013580  6.170195E-13  6.230393E-13
   1.013680  6.163941E-13  6.228204E-13
   1.013790  6.153973E-13  6.225893E-13
   1.013890  6.142932E-13  6.223946E-13
   1.013990  6.143397E-13  6.221760E-13
   1.014100  6.153087E-13  6.219453E-13
   1.014200  6.161455E-13  6.217268E-13
   1.014300  6.166227E-13  6.215084E-13
   1.014400  6.167167E-13  6.213140E-13
   1.014510  6.165350E-13  6.210835E-13
   1.014610  6.161742E-13  6.208654E-13
   1.014710  6.157177E-13  6.206472E-13
   1.014820  6.150579E-13  6.204171E-13
   1.014920  6.143626E-13  6.202230E-13
   1.015020  6.145046E-13  6.200051E-13
   1.015130  6.150170E-13  6.197751E-13
   1.015230  6.154219E-13  6.195575E-13
   1.015330  6.156591E-13  6.193397E-13
   1.015430  6.156335E-13  6.191223E-13
   1.015540  6.154045E-13  6.189164E-13
   1.015640  6.149488E-13  6.186990E-13
   1.015740  6.144696E-13  6.184817E-13
   1.015850  6.144560E-13  6.182524E-13
   1.015950  6.145737E-13  6.180351E-13
   1.016050  6.146198E-13  6.178418E-13
   1.016160  6.145583E-13  6.176126E-13
   1.016260  6.143896E-13  6.173956E-13
   1.016360  6.140541E-13  6.171787E-13
   1.016470  6.133728E-13  6.169499E-13
   1.016570  6.127037E-13  6.167569E-13
   1.016670  6.121303E-13  6.165402E-13
   1.016780  6.116879E-13  6.163115E-13
   1.016880  6.123778E-13  6.160950E-13
   1.016980  6.130912E-13  6.158786E-13
   1.017090  6.131729E-13  6.156738E-13
   1.017190  6.131001E-13  6.154576E-13
   1.017290  6.129319E-13  6.152414E-13
