WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f673n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 5.998875E-17
PIVWV    r 6732.265
BANDW    r 30.70225
TPEAK    r 0.01717335
EQUVW    r 1.087264
RECTW    r 63.31112
EMFLX    r 3.798409E-15
        1850.   1.052423E-9
      1850.33   1.087522E-9
     1850.659   1.122643E-9
     1850.989   1.157929E-9
     1851.319   1.193289E-9
      1851.65   1.228711E-9
      1851.98   1.264195E-9
      1852.31   1.299752E-9
      1852.64   1.335280E-9
     1852.971   1.370973E-9
     1853.301   1.406729E-9
     1853.631   1.442453E-9
     1853.962   1.478359E-9
     1854.292   1.514326E-9
     1854.623   1.550355E-9
     1854.954   1.586459E-9
     1855.284   1.622518E-9
     1855.615   1.658759E-9
     1855.946   1.695063E-9
     1856.276   1.731335E-9
     1856.608   1.767776E-9
     1856.939   1.804292E-9
     1857.269   1.840764E-9
     1857.602   1.877526E-9
     1857.933   1.914257E-9
     1858.264   1.950929E-9
     1858.595   1.987785E-9
     1858.927   2.024717E-9
     1859.258   2.061603E-9
     1859.589   2.098674E-9
     1859.921   2.135808E-9
     1860.252   2.269540E-9
     1860.585   2.434875E-9
     1860.917   2.600017E-9
     1861.248   2.764905E-9
      1861.58   2.930693E-9
     1861.912   3.096775E-9
     1862.243   3.262660E-9
     1862.576   3.429451E-9
     1862.908   3.596473E-9
      1863.24   3.763360E-9
     1863.573   3.931588E-9
     1863.904   4.099062E-9
     1864.237   4.267448E-9
      1864.57   4.436129E-9
     1864.901   4.604610E-9
     1865.234   4.773943E-9
     1865.567   4.943637E-9
     1865.899   5.113063E-9
     1866.232   5.283412E-9
     1866.566   5.454558E-9
     1866.898   5.625000E-9
     1867.231   5.796302E-9
     1867.564   5.967903E-9
     1867.896   6.139360E-9
      1868.23   6.311620E-9
     1868.563   6.484240E-9
     1868.895   6.656655E-9
     1869.229   6.829935E-9
     1869.562   7.003518E-9
     1869.896   7.177464E-9
      1870.23   7.141056E-9
     1870.563   7.009024E-9
     1870.896   6.877132E-9
      1871.23   6.744605E-9
     1871.564   6.611734E-9
     1871.897   6.479054E-9
     1872.231   6.345688E-9
     1872.565   6.212025E-9
     1872.899   6.078113E-9
     1873.233   5.943903E-9
     1873.566   5.809838E-9
     1873.901   5.675130E-9
     1874.235   5.540125E-9
     1874.568   5.405216E-9
     1874.903   5.269661E-9
     1875.237   5.133857E-9
     1875.572   4.997752E-9
     1875.907   4.861348E-9
     1876.241   4.724692E-9
     1876.575   4.588185E-9
      1876.91   4.450979E-9
     1877.245   4.313468E-9
     1877.579   4.176160E-9
     1877.914   4.038097E-9
     1878.249   3.899782E-9
     1878.584   3.761214E-9
     1878.919   3.622343E-9
     1879.254   3.483261E-9
     1879.589   3.343387E-9
     1879.924   3.203247E-9
      1880.26   3.124988E-9
     1880.594   3.064888E-9
      1880.93   3.004495E-9
     1881.265   2.944006E-9
     1881.601   2.883399E-9
     1881.937   2.822695E-9
     1882.272   2.762050E-9
     1882.607   2.701132E-9
     1882.943   2.640096E-9
     1883.278   2.579140E-9
     1883.614   2.517889E-9
      1883.95   2.456541E-9
     1884.286   2.395274E-9
     1884.623   2.333510E-9
     1884.959   2.271827E-9
     1885.294   2.210226E-9
     1885.631   2.148328E-9
     1885.967   2.086332E-9
     1886.303   2.024420E-9
     1886.639   1.962208E-9
     1886.976   1.899876E-9
     1887.312   1.837629E-9
     1887.648   1.775080E-9
     1887.985   1.712434E-9
     1888.322   1.649669E-9
     1888.659   1.586805E-9
     1888.995   1.524028E-9
     1889.332   1.460947E-9
     1889.669   1.397746E-9
     1890.006   1.335400E-9
     1890.343   1.322647E-9
     1890.681   1.309790E-9
     1891.017   1.296990E-9
     1891.355   1.284127E-9
     1891.692   1.271239E-9
     1892.029   1.258366E-9
     1892.366   1.245435E-9
     1892.704   1.232473E-9
     1893.041   1.219533E-9
     1893.378   1.206529E-9
     1893.716   1.193503E-9
     1894.054   1.180451E-9
     1894.392   1.167373E-9
      1894.73   1.154274E-9
     1895.067   1.141192E-9
     1895.405   1.128045E-9
     1895.744   1.114872E-9
     1896.081   1.101721E-9
     1896.419   1.088501E-9
     1896.757   1.075259E-9
     1897.096   1.061991E-9
     1897.434   1.048702E-9
     1897.772   1.035429E-9
     1898.111   1.022092E-9
     1898.449   1.008733E-9
     1898.787  9.953869E-10
     1899.126  9.819806E-10
     1899.465  9.685478E-10
     1899.802  9.551324E-10
     1900.143  9.467879E-10
     1900.482  9.456143E-10
      1900.82  9.444407E-10
     1901.159  9.432611E-10
     1901.498  9.420781E-10
     1901.836  9.408957E-10
     1902.176  9.397065E-10
     1902.515  9.385140E-10
     1902.854  9.373226E-10
     1903.194  9.361205E-10
     1903.534  9.349189E-10
     1903.872  9.337180E-10
     1904.212  9.325102E-10
     1904.552  9.312995E-10
     1904.891  9.300892E-10
      1905.23  9.288723E-10
      1905.57  9.276522E-10
     1905.909  9.264327E-10
      1906.25  9.252027E-10
      1906.59  9.239771E-10
      1906.93  9.227445E-10
      1907.27  9.215085E-10
     1907.609  9.202737E-10
      1907.95  9.190319E-10
      1908.29  9.177868E-10
     1908.631  9.165383E-10
      1908.97  9.152911E-10
     1909.312  9.140327E-10
     1909.651  9.127791E-10
     1909.992  9.115183E-10
     1910.333  9.064159E-10
     1910.673  9.012328E-10
     1911.014  8.960220E-10
     1911.355  8.908002E-10
     1911.695  8.855861E-10
     1912.036  8.803461E-10
     1912.378  8.750781E-10
     1912.718  8.698329E-10
      1913.06  8.645635E-10
     1913.401  8.592813E-10
     1913.741  8.540068E-10
     1914.083  8.487062E-10
     1914.424  8.433946E-10
     1914.765  8.380891E-10
     1915.107  8.327571E-10
     1915.448  8.274161E-10
      1915.79  8.220641E-10
     1916.132  8.167007E-10
     1916.473  8.113455E-10
     1916.815  8.059639E-10
     1917.157  8.005711E-10
     1917.498  7.951846E-10
      1917.84  7.897714E-10
     1918.182  7.843490E-10
     1918.524  7.789157E-10
     1918.867  7.734730E-10
     1919.209  7.680190E-10
     1919.551  7.625714E-10
     1919.893  7.570970E-10
     1920.236  7.594578E-10
     1920.577  7.653679E-10
      1920.92  7.713075E-10
     1921.263  7.772555E-10
     1921.605  7.832118E-10
     1921.948  7.891788E-10
     1922.291  7.951542E-10
     1922.633  8.011210E-10
     1922.976  8.071173E-10
     1923.319  8.131222E-10
     1923.661  8.191164E-10
     1924.005  8.251403E-10
     1924.348  8.311748E-10
     1924.692  8.372179E-10
     1925.035  8.432693E-10
     1925.377  8.493118E-10
     1925.721  8.553844E-10
     1926.064  8.614635E-10
     1926.407  8.675358E-10
     1926.751  8.736358E-10
     1927.095  8.797468E-10
     1927.438  8.858466E-10
     1927.782  8.919940E-10
