WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f550m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.860100E-19
PIVWV    r 5581.206
BANDW    r 163.2712
TPEAK    r 0.3821064
EQUVW    r 203.7352
RECTW    r 533.1897
EMFLX    r 2.090060E-16
     3079.744  1.027404E-10
     3080.133  1.034948E-10
     3080.519  1.041543E-10
     3080.904  1.048141E-10
      3081.29  1.054746E-10
     3081.676  1.061354E-10
     3082.062  1.067964E-10
     3082.449  1.074605E-10
     3082.835  1.081219E-10
     3083.221  1.087837E-10
     3083.608  1.094485E-10
     3083.994  1.101105E-10
      3084.38  1.107727E-10
     3084.768  1.114379E-10
     3085.154  1.121006E-10
     3085.541  1.127633E-10
     3085.927  1.134261E-10
     3086.313  1.140886E-10
     3086.701  1.147541E-10
     3087.089  1.154200E-10
     3087.476  1.160834E-10
     3087.862  1.167466E-10
     3088.249  1.174095E-10
     3088.635  1.180722E-10
     3089.023  1.187381E-10
      3089.41  1.194009E-10
     3089.797  1.200635E-10
     3090.184  1.206461E-10
     3090.572  1.211405E-10
     3090.959  1.216303E-10
     3091.346  1.221172E-10
     3091.734  1.226038E-10
     3092.122  1.230858E-10
     3092.509  1.235646E-10
     3092.896  1.240409E-10
     3093.283  1.245141E-10
     3093.672  1.249868E-10
     3094.061  1.254565E-10
     3094.448  1.259211E-10
     3094.835  1.263824E-10
     3095.223  1.268411E-10
      3095.61  1.272968E-10
     3095.999  1.277514E-10
     3096.387  1.282012E-10
     3096.774  1.286474E-10
     3097.162  1.290907E-10
     3097.552  1.295327E-10
     3097.939  1.299694E-10
     3098.329  1.304047E-10
     3098.717  1.308351E-10
     3099.104  1.312621E-10
     3099.492  1.316857E-10
      3099.88  1.321058E-10
      3100.27  1.324154E-10
     3100.658  1.326704E-10
     3101.048  1.329207E-10
     3101.436  1.331643E-10
     3101.824  1.334023E-10
     3102.213  1.336346E-10
     3102.603  1.338623E-10
     3102.991  1.340833E-10
     3103.379  1.342983E-10
     3103.768  1.345074E-10
     3104.156  1.347110E-10
     3104.547  1.349094E-10
     3104.937  1.351019E-10
     3105.326  1.352873E-10
     3105.714  1.354667E-10
     3106.103  1.356400E-10
     3106.492  1.358075E-10
     3106.881  1.359688E-10
     3107.271  1.361244E-10
      3107.66  1.362730E-10
     3108.051  1.364160E-10
      3108.44  1.365519E-10
     3108.829  1.366814E-10
     3109.218  1.368047E-10
     3109.609  1.369219E-10
     3109.999  1.370322E-10
     3110.388  1.369728E-10
     3110.777  1.369041E-10
     3111.167  1.368267E-10
     3111.558  1.367402E-10
     3111.949  1.366448E-10
     3112.338  1.365409E-10
     3112.728  1.364280E-10
     3113.118  1.363062E-10
     3113.507  1.361754E-10
     3113.899  1.360349E-10
     3114.289  1.358857E-10
     3114.678  1.357272E-10
      3115.07  1.355587E-10
      3115.46  1.353818E-10
      3115.85  1.351956E-10
      3116.24  1.349999E-10
     3116.632  1.347940E-10
     3117.022  1.345794E-10
     3117.412  1.343551E-10
     3117.802  1.341213E-10
     3118.192  1.338780E-10
     3118.584  1.336236E-10
     3118.977  1.333594E-10
     3119.367  1.330864E-10
     3119.758  1.328033E-10
     3120.148  1.325023E-10
     3120.539  1.321775E-10
     3120.931  1.318409E-10
     3121.322  1.314955E-10
     3121.712  1.311397E-10
     3122.105  1.307716E-10
     3122.496  1.303946E-10
     3122.886  1.300071E-10
     3123.279  1.296071E-10
      3123.67  1.291983E-10
     3124.061  1.287784E-10
     3124.452  1.283478E-10
     3124.843  1.279064E-10
     3125.236  1.274520E-10
     3125.627  1.269887E-10
      3126.02  1.265120E-10
     3126.411  1.260266E-10
     3126.803  1.255298E-10
     3127.194  1.250215E-10
     3127.586  1.245022E-10
     3127.979  1.239690E-10
      3128.37  1.234273E-10
     3128.762  1.228739E-10
     3129.156  1.223062E-10
     3129.547  1.217298E-10
     3129.941  1.211388E-10
     3130.332  1.206154E-10
     3130.724  1.200947E-10
     3131.116  1.195634E-10
     3131.508  1.190211E-10
       3131.9  1.184685E-10
     3132.294  1.179024E-10
     3132.686  1.173279E-10
      3133.08  1.167400E-10
     3133.472  1.161433E-10
     3133.864  1.155360E-10
     3134.256  1.149174E-10
      3134.65  1.142850E-10
     3135.043  1.136443E-10
     3135.435  1.129919E-10
     3135.828  1.123288E-10
     3136.222  1.116511E-10
     3136.615  1.109651E-10
     3137.009  1.102647E-10
     3137.402  1.095556E-10
     3137.794  1.088354E-10
     3138.187  1.081034E-10
      3138.58  1.073598E-10
     3138.973  1.066047E-10
     3139.367  1.058341E-10
      3139.76  1.050551E-10
     3140.155  1.043928E-10
     3140.548  1.039257E-10
     3140.941  1.034497E-10
     3141.334  1.029653E-10
     3141.729  1.024699E-10
     3142.123  1.019680E-10
     3142.516  1.014574E-10
     3142.909  1.009380E-10
     3143.304  1.004075E-10
       3143.7  9.986775E-11
     3144.093  9.932149E-11
     3144.487  9.876638E-11
      3144.88  9.820233E-11
     3145.274  9.762922E-11
     3145.668  9.704672E-11
     3146.063  9.645262E-11
     3146.457  9.585208E-11
     3146.851  9.524243E-11
     3147.247  9.462044E-11
      3147.64  9.399231E-11
     3148.034  9.335453E-11
      3148.43  9.270475E-11
     3148.824  9.204803E-11
     3149.219  9.138239E-11
     3149.613  9.070700E-11
     3150.007  9.003248E-11
     3150.403  8.991301E-11
     3150.799  8.978942E-11
     3151.194  8.966225E-11
     3151.588  8.953112E-11
     3151.982  8.939576E-11
     3152.377  8.925630E-11
     3152.773  8.911198E-11
     3153.168  8.896416E-11
     3153.563  8.881205E-11
     3153.958  8.865569E-11
     3154.354  8.849435E-11
     3154.749  8.832940E-11
     3155.144  8.816015E-11
      3155.54  8.798604E-11
     3155.935  8.780825E-11
      3156.33  8.762605E-11
     3156.726  8.743942E-11
