WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f222m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.931192E-20
PIVWV    r 22175.11
BANDW    r 511.4591
TPEAK    r 0.2713668
EQUVW    r 401.4564
RECTW    r 1479.387
EMFLX    r 8.132304E-17
     20577.68   0.002543465
       20578.   0.002766814
     20578.34   0.002689609
     20578.68   0.002611012
     20578.99   0.002537398
     20579.31   0.002463771
     20579.65   0.002384678
     20579.96   0.002311027
     20580.28   0.002265627
      20580.6   0.002223754
     20580.94    0.00217903
     20581.25   0.002137142
     20581.59   0.002092142
     20581.91   0.002050239
     20582.25   0.002089317
     20582.56   0.002155202
     20582.88     0.0022211
      20583.2   0.002287007
     20583.54   0.002357811
     20583.85   0.002423743
     20584.17   0.002276321
     20584.51   0.001917486
     20584.85    0.00155651
     20585.16    0.00122037
     20585.48   8.841737E-4
     20585.79   5.479187E-4
     20586.13   3.959896E-4
     20586.45   5.510680E-4
     20586.77   7.061731E-4
     20587.11   8.718394E-4
     20587.45   0.001038493
     20587.76   0.001193681
     20588.08   0.001327754
     20588.39   0.001397365
     20588.73   0.001471715
     20589.05   0.001541349
     20589.37   0.001611426
     20589.71   0.001685815
     20590.02   0.001762479
     20590.36   0.001947948
     20590.68   0.002120657
     20590.99   0.002293398
     20591.33   0.002478963
     20591.65   0.002651762
     20591.97   0.002824591
      20592.3   0.002853231
     20592.62   0.002864138
     20592.94   0.002875045
     20593.28   0.002886766
     20593.59   0.002897677
     20593.93     0.0029094
     20594.25   0.002897288
     20594.57   0.002879053
     20594.91   0.002859466
     20595.22   0.002841227
     20595.54   0.002822983
     20595.88   0.002803497
      20596.2   0.002646391
     20596.53   0.002386836
     20596.85   0.002143741
     20597.17   0.001900605
     20597.51   0.001639414
     20597.82   0.001396192
     20598.14   0.001310789
     20598.48    0.00143638
     20598.79    0.00155333
     20599.11     0.0016703
     20599.45   0.001795957
     20599.77   0.001912967
     20600.11   0.002005615
     20600.42   0.002025296
     20600.74   0.002044982
     20601.08    0.00206613
      20601.4   0.002085822
     20601.71   0.002105518
     20602.05   0.002149441
     20602.37   0.002305747
     20602.71    0.00247366
     20603.03   0.002630021
     20603.34   0.002786408
     20603.68   0.002954409
       20604.   0.003110851
     20604.31   0.003043115
     20604.65    0.00296885
     20604.97   0.002899696
     20605.31   0.002825405
     20605.63   0.002756227
     20605.94   0.002687036
     20606.28   0.002699918
      20606.6   0.002728156
     20606.92   0.002756398
     20607.26   0.002786737
     20607.57   0.002814989
     20607.91   0.002845339
     20608.23   0.002636425
     20608.54   0.002336245
     20608.88   0.002013773
      20609.2   0.001713488
     20609.52   0.001413151
     20609.86   0.001090511
     20610.17   9.176150E-4
     20610.49   8.488936E-4
     20610.81   7.805817E-4
     20611.15   7.071970E-4
     20611.49   6.342208E-4
      20611.8   5.654508E-4
     20612.12   6.324113E-4
     20612.44   9.176604E-4
     20612.78   0.001224093
     20613.09   0.001509443
     20613.41   0.001794841
     20613.75   0.002101432
     20614.09   0.002339058
     20614.41   0.002381505
     20614.72   0.002423959
     20615.06   0.002469565
     20615.38   0.002512033
      20615.7   0.002554771
     20616.01   0.002597422
     20616.35   0.002647286
     20616.67   0.002693719
     20617.01   0.002743599
     20617.33   0.002790048
     20617.64   0.002836504
     20617.98    0.00288641
      20618.3    0.00274049
     20618.62   0.002584247
     20618.96   0.002416402
     20619.27   0.002260105
     20619.61     0.0020922
     20619.93   0.001935847
     20620.27   0.001916982
     20620.59   0.001935631
      20620.9   0.001954398
     20621.22   0.001973054
     20621.56   0.001993095
     20621.88   0.002011755
     20622.19   0.002121301
     20622.53   0.002301105
     20622.87   0.002480941
     20623.19   0.002648404
     20623.51   0.002816929
     20623.82    0.00298445
     20624.16    0.00308738
     20624.48   0.003106379
      20624.8     0.0031255
     20625.14   0.003145914
     20625.46   0.003164924
     20625.79   0.003185344
     20626.11    0.00315351
     20626.43   0.003027987
     20626.77   0.002893141
     20627.09   0.002766798
      20627.4   0.002641209
     20627.74   0.002506293
     20628.06   0.002380179
     20628.38   0.002251136
     20628.72    0.00211336
     20629.03   0.001985062
     20629.37   0.001847238
     20629.69   0.001718895
     20630.01   0.001593886
     20630.35   0.001636382
     20630.66   0.001675954
     20630.98   0.001715533
     20631.32   0.001758051
     20631.64   0.001797888
     20631.98   0.001840421
     20632.29     0.0019353
     20632.61   0.002034223
     20632.95   0.002140491
     20633.27   0.002240059
     20633.59   0.002339033
     20633.93   0.002445357
     20634.24   0.002491296
     20634.58   0.002522921
      20634.9   0.002552371
     20635.22   0.002581826
     20635.56   0.002613468
     20635.88   0.002643115
     20636.19   0.002559802
     20636.53   0.002391184
     20636.85     0.0022332
     20637.17   0.002076158
     20637.51   0.001907453
     20637.82   0.001750356
     20638.16   0.001673382
     20638.48   0.001695544
      20638.8   0.001717575
     20639.14   0.001741243
     20639.46   0.001763417
     20639.77   0.001785458
     20640.09   0.001807687
     20640.43   0.001831548
     20640.77   0.001855413
     20641.09   0.001877638
      20641.4   0.001900002
     20641.74   0.001923879
     20642.06   0.001927945
     20642.38   0.001854776
      20642.7   0.001782044
     20643.04   0.001703911
     20643.37   0.001625764
     20643.69   0.001552543
     20644.01   0.001492697
     20644.35   0.001864771
     20644.67   0.002213384
     20644.98   0.002559917
      20645.3   0.002908648
     20645.64   0.003280977
     20645.96   0.003627689
      20646.3   0.003625555
     20646.62   0.003575386
     20646.96   0.003521824
     20647.27   0.003471946
     20647.59   0.003421752
     20647.91   0.003371856
     20648.25   0.003326212
     20648.57   0.003286757
     20648.88   0.003247054
     20649.22   0.003204664
     20649.56   0.003162264
     20649.88   0.003122784
      20650.2   0.003021696
     20650.52   0.002884742
     20650.86    0.00273677
     20651.17   0.002599768
     20651.49   0.002461895
     20651.83   0.002314694
     20652.17   0.002246957
     20652.49   0.002256213
     20652.81   0.002265529
     20653.12    0.00227479
     20653.46   0.002284794
     20653.78   0.002294057
      20654.1   0.002297513
     20654.44   0.002287453
     20654.76   0.002278083
      20655.1   0.002267962
     20655.41    0.00225859
     20655.73   0.002249158
     20656.07   0.002257305
     20656.39   0.002327699
     20656.71   0.002398539
     20657.05   0.002474173
     20657.37   0.002545037
     20657.68   0.002615478
     20658.02   0.002689388
     20658.34   0.002730186
     20658.68   0.002774015
       20659.   0.002815077
     20659.32    0.00285615
     20659.66   0.002899998
     20659.97   0.002940832
     20660.29   0.003057938
     20660.63   0.003190593
     20660.95   0.003314884
     20661.29   0.003447586
     20661.61    0.00357192
     20661.92   0.003695513
     20662.26   0.003682499
     20662.58   0.003630847
      20662.9   0.003579188
     20663.24   0.003524034
     20663.56   0.003472358
     20663.87   0.003420988
     20664.21   0.003286093
     20664.53   0.003116254
     20664.87   0.002934921
     20665.19   0.002765022
     20665.51   0.002595094
     20665.85   0.002413666
     20666.17   0.002379708
     20666.48    0.00246858
     20666.82   0.002563468
     20667.14    0.00265237
     20667.48    0.00274729
      20667.8   0.002836225
     20668.12   0.002907175
     20668.46   0.002950795
     20668.78   0.002991663
     20669.09   0.003032289
     20669.44   0.003076182
     20669.75   0.003116821
     20670.09   0.003124695
     20670.41   0.003043723
     20670.73   0.002962238
     20671.07    0.00287524
     20671.39   0.002793727
     20671.71   0.002712199
     20672.02   0.002629954
     20672.36    0.00252322
      20672.7   0.002417075
     20673.02   0.002317625
     20673.34   0.002218766
     20673.68   0.002111959
       20674.   0.002013066
     20674.31   0.002192893
     20674.65   0.002388594
     20674.97   0.002571953
     20675.29   0.002755346
     20675.61   0.002937642
     20675.95   0.003134602
     20676.29   0.003175803
     20676.61    0.00318895
     20676.93   0.003202099
     20677.27    0.00321614
     20677.58   0.003229295
      20677.9    0.00324237
     20678.22   0.003121296
     20678.56   0.002925659
      20678.9   0.002731104
     20679.22   0.002548817
     20679.54   0.002367617
     20679.88   0.002171843
      20680.2   0.002175342
