WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f344n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 2.141150E-17
PIVWV    r 3433.712
BANDW    r 27.5696
TPEAK    r 0.1009312
EQUVW    r 5.972424
RECTW    r 59.17321
EMFLX    r 1.284145E-15
        2500.   1.294880E-6
     2500.358   1.294246E-6
     2500.717   1.293609E-6
     2501.076   1.292974E-6
     2501.434   1.292339E-6
     2501.795   1.291699E-6
     2502.154   1.291064E-6
     2502.512   1.290430E-6
     2502.872   1.289793E-6
     2503.231   1.289157E-6
      2503.59   1.288522E-6
      2503.95   1.287883E-6
     2504.309   1.287249E-6
     2504.667   1.286614E-6
     2505.028   1.285978E-6
     2505.388   1.285341E-6
     2505.747   1.284707E-6
     2506.107   1.284070E-6
     2506.467   1.283435E-6
     2506.826   1.282800E-6
     2507.186   1.282163E-6
     2507.546   1.281531E-6
     2507.905   1.280898E-6
     2508.266   1.280261E-6
     2508.626   1.279621E-6
     2508.986   1.278985E-6
     2509.345   1.278353E-6
     2509.706   1.277718E-6
     2510.066   1.277094E-6
     2510.426   1.276502E-6
     2510.787   1.275909E-6
     2511.146   1.275318E-6
     2511.508   1.274723E-6
     2511.869   1.274128E-6
     2512.229   1.273537E-6
     2512.589   1.272946E-6
      2512.95   1.272353E-6
     2513.311   1.271761E-6
     2513.671   1.271169E-6
     2514.032   1.270575E-6
     2514.392   1.269985E-6
     2514.754   1.269394E-6
     2515.116   1.268801E-6
     2515.476   1.268209E-6
     2515.837   1.267617E-6
     2516.198   1.267024E-6
     2516.559   1.266435E-6
      2516.92   1.265846E-6
     2517.282   1.265251E-6
     2517.643   1.264657E-6
     2518.005   1.264061E-6
     2518.367   1.263470E-6
     2518.728   1.262881E-6
     2519.089   1.262292E-6
     2519.451   1.261699E-6
     2519.812   1.261108E-6
     2520.173   1.260506E-6
     2520.536   1.259888E-6
     2520.897   1.259273E-6
     2521.259   1.258657E-6
     2521.621   1.258045E-6
     2521.983   1.257430E-6
     2522.345   1.256816E-6
     2522.706   1.256202E-6
     2523.069   1.255586E-6
     2523.431   1.254972E-6
     2523.794   1.254356E-6
     2524.155   1.253741E-6
     2524.518   1.253122E-6
      2524.88   1.252506E-6
     2525.243   1.251890E-6
     2525.605   1.251278E-6
     2525.967   1.250666E-6
      2526.33   1.250050E-6
     2526.692   1.249437E-6
     2527.054   1.248823E-6
     2527.418   1.248206E-6
     2527.781   1.247589E-6
     2528.144   1.246976E-6
     2528.507   1.246362E-6
      2528.87   1.245750E-6
     2529.232   1.245137E-6
     2529.596   1.244522E-6
     2529.958   1.243909E-6
     2530.321   1.243316E-6
     2530.685   1.242722E-6
     2531.049   1.242129E-6
     2531.412   1.241539E-6
     2531.776   1.240948E-6
     2532.138   1.240357E-6
     2532.501   1.239765E-6
     2532.865   1.239170E-6
     2533.229   1.238578E-6
     2533.592   1.237986E-6
     2533.956   1.237391E-6
      2534.32   1.236799E-6
     2534.684   1.236210E-6
     2535.047   1.235620E-6
     2535.411   1.235026E-6
     2535.775   1.234434E-6
     2536.139   1.233841E-6
     2536.503   1.233251E-6
     2536.866   1.232662E-6
     2537.231   1.232070E-6
     2537.596   1.231477E-6
      2537.96   1.230886E-6
     2538.323   1.230297E-6
     2538.689   1.229705E-6
     2539.052   1.229116E-6
     2539.416   1.228524E-6
     2539.781   1.227930E-6
     2540.146   1.227335E-6
      2540.51   1.226736E-6
     2540.875   1.226134E-6
      2541.24   1.225531E-6
     2541.604   1.224929E-6
      2541.97   1.224325E-6
     2542.334   1.223723E-6
     2542.699   1.223121E-6
     2543.064   1.222518E-6
     2543.429   1.221920E-6
     2543.793   1.221323E-6
     2544.161   1.220719E-6
     2544.525   1.220117E-6
      2544.89   1.219516E-6
     2545.256   1.218913E-6
     2545.621   1.218315E-6
     2545.985   1.217716E-6
     2546.352   1.217114E-6
     2546.716   1.216514E-6
     2547.081   1.215914E-6
     2547.448   1.215312E-6
     2547.814   1.214709E-6
     2548.179   1.214110E-6
     2548.546   1.213509E-6
     2548.911   1.212911E-6
     2549.276   1.212311E-6
     2549.643   1.211707E-6
     2550.008   1.211106E-6
     2550.374   1.210513E-6
      2550.74   1.209918E-6
     2551.107   1.209322E-6
     2551.473   1.208727E-6
     2551.839   1.208131E-6
     2552.206   1.207535E-6
     2552.571   1.206941E-6
     2552.937   1.206347E-6
     2553.304   1.205752E-6
      2553.67   1.205160E-6
     2554.038   1.204565E-6
     2554.405   1.203969E-6
     2554.771   1.203375E-6
     2555.137   1.202781E-6
     2555.505   1.202185E-6
     2555.871   1.201591E-6
     2556.237   1.200999E-6
     2556.605   1.200404E-6
     2556.971   1.199812E-6
     2557.337   1.199219E-6
     2557.707   1.198621E-6
     2558.073   1.198027E-6
      2558.44   1.197434E-6
     2558.808   1.196838E-6
     2559.175   1.196245E-6
     2559.541   1.195653E-6
     2559.909   1.195059E-6
     2560.276   1.194458E-6
     2560.643   1.193854E-6
     2561.013   1.193245E-6
      2561.38   1.192640E-6
     2561.747   1.192035E-6
     2562.115   1.191428E-6
     2562.482   1.190826E-6
      2562.85   1.190223E-6
     2563.218   1.189618E-6
     2563.585   1.189016E-6
     2563.953   1.188413E-6
     2564.322   1.187806E-6
      2564.69   1.187199E-6
     2565.058   1.186595E-6
     2565.427   1.185992E-6
     2565.795   1.185391E-6
     2566.162   1.184789E-6
     2566.531   1.184183E-6
     2566.899   1.183580E-6
     2567.267   1.182976E-6
     2567.636   1.182369E-6
     2568.006   1.181762E-6
     2568.374   1.181162E-6
     2568.742   1.180561E-6
     2569.111   1.179957E-6
     2569.479   1.179354E-6
     2569.847   1.178751E-6
     2570.217   1.178152E-6
     2570.585   1.177559E-6
     2570.955   1.176964E-6
     2571.325   1.176366E-6
     2571.693   1.175771E-6
     2572.062   1.175175E-6
     2572.432   1.174580E-6
     2572.801   1.173988E-6
     2573.169   1.173393E-6
     2573.539   1.172796E-6
     2573.908   1.172201E-6
     2574.278   1.171605E-6
     2574.649   1.171010E-6
     2575.018   1.170418E-6
     2575.386   1.169827E-6
     2575.757   1.169233E-6
     2576.126   1.168641E-6
     2576.495   1.168046E-6
     2576.866   1.167448E-6
     2577.235   1.166854E-6
     2577.606   1.166258E-6
     2577.977   1.165662E-6
     2578.346   1.165071E-6
     2578.715   1.164481E-6
     2579.086   1.163887E-6
     2579.456   1.163294E-6
     2579.825   1.162700E-6
     2580.197   1.162103E-6
     2580.566   1.161506E-6
     2580.937   1.160908E-6
     2581.307   1.160314E-6
     2581.679   1.159717E-6
     2582.049   1.159122E-6
     2582.419   1.158526E-6
      2582.79   1.157928E-6
      2583.16   1.157333E-6
     2583.532   1.156737E-6
     2583.902   1.156142E-6
     2584.274   1.155546E-6
     2584.644   1.154951E-6
