WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f791w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 2.959763E-18
PIVWV    r 7872.456
BANDW    r 519.8397
TPEAK    r 0.013635
EQUVW    r 18.80322
RECTW    r 1379.04
EMFLX    r 5.036989E-15
        1850.   3.486927E-8
      1850.33   3.391395E-8
     1850.659   3.295794E-8
     1850.989   3.199737E-8
     1851.319   3.103468E-8
      1851.65   3.007025E-8
      1851.98   2.910407E-8
      1852.31   2.813578E-8
      1852.64   2.716826E-8
     1852.971   2.619611E-8
     1853.301   2.522220E-8
     1853.631   2.424906E-8
     1853.962   2.327092E-8
     1854.292   2.229102E-8
     1854.623   2.130936E-8
     1854.954   2.032557E-8
     1855.284   1.934292E-8
     1855.615   1.835523E-8
     1855.946   1.736578E-8
     1856.276   1.637712E-8
     1856.608   1.538376E-8
     1856.939   1.438826E-8
     1857.269   1.339392E-8
     1857.602   1.239156E-8
     1857.933   1.138998E-8
     1858.264   1.038996E-8
     1858.595   9.384827E-9
     1858.927   8.377540E-9
     1859.258   7.371440E-9
     1859.589   6.360211E-9
     1859.921   5.347193E-9
     1860.252   5.525578E-9
     1860.585   6.080795E-9
     1860.917   6.635371E-9
     1861.248   7.189090E-9
      1861.58   7.745839E-9
     1861.912   8.303575E-9
     1862.243   8.860652E-9
     1862.576   9.420774E-9
     1862.908   9.981678E-9
      1863.24   1.054213E-8
     1863.573   1.110708E-8
     1863.904   1.166951E-8
     1864.237   1.223500E-8
      1864.57   1.280149E-8
     1864.901   1.336731E-8
     1865.234   1.393599E-8
     1865.567   1.450588E-8
     1865.899   1.507489E-8
     1866.232   1.564698E-8
     1866.566   1.622176E-8
     1866.898   1.679418E-8
     1867.231   1.736949E-8
     1867.564   1.794580E-8
     1867.896   1.852164E-8
      1868.23   1.910017E-8
     1868.563   1.967992E-8
     1868.895   2.025898E-8
     1869.229   2.084095E-8
     1869.562   2.142394E-8
     1869.896   2.200814E-8
      1870.23   2.363231E-8
     1870.563   2.573117E-8
     1870.896   2.782762E-8
      1871.23   2.993398E-8
     1871.564   3.204563E-8
     1871.897   3.415409E-8
     1872.231   3.627327E-8
     1872.565   3.839701E-8
     1872.899   4.052452E-8
     1873.233   4.265658E-8
     1873.566   4.478619E-8
     1873.901   4.692580E-8
     1874.235   4.907000E-8
     1874.568   5.121250E-8
     1874.903   5.336505E-8
     1875.237   5.552141E-8
     1875.572   5.768236E-8
     1875.907   5.984791E-8
     1876.241   6.201728E-8
     1876.575   6.418411E-8
      1876.91   6.636190E-8
     1877.245   6.854427E-8
     1877.579   7.072334E-8
     1877.914   7.291418E-8
     1878.249   7.510885E-8
     1878.584   7.730736E-8
     1878.919   7.951052E-8
     1879.254   8.170255E-8
     1879.589   8.390238E-8
     1879.924   8.610625E-8
      1880.26   8.808507E-8
     1880.594   8.999474E-8
      1880.93   9.191350E-8
     1881.265   9.383512E-8
     1881.601   9.576031E-8
     1881.937   9.768833E-8
     1882.272   9.961430E-8
     1882.607   1.015488E-7
     1882.943   1.034868E-7
     1883.278   1.054220E-7
     1883.614   1.073664E-7
      1883.95   1.093137E-7
     1884.286   1.112582E-7
     1884.623   1.132184E-7
     1884.959   1.151757E-7
     1885.294   1.171302E-7
     1885.631   1.190940E-7
     1885.967   1.210607E-7
     1886.303   1.230245E-7
     1886.639   1.249976E-7
     1886.976   1.269743E-7
     1887.312   1.289482E-7
     1887.648   1.309313E-7
     1887.985   1.329174E-7
     1888.322   1.349071E-7
     1888.659   1.368997E-7
     1888.995   1.388894E-7
     1889.332   1.408884E-7
     1889.669   1.428911E-7
     1890.006   1.449102E-7
     1890.343   1.476276E-7
     1890.681   1.503668E-7
     1891.017   1.530932E-7
     1891.355   1.558326E-7
     1891.692   1.585771E-7
     1892.029   1.613177E-7
     1892.366   1.640703E-7
     1892.704   1.668289E-7
     1893.041   1.695826E-7
     1893.378   1.723494E-7
     1893.716   1.751202E-7
     1894.054   1.778962E-7
     1894.392   1.806772E-7
      1894.73   1.834623E-7
     1895.067   1.862434E-7
     1895.405   1.890377E-7
     1895.744   1.918370E-7
     1896.081   1.946314E-7
     1896.419   1.974399E-7
     1896.757   2.002526E-7
     1897.096   2.030703E-7
     1897.434   2.058921E-7
     1897.772   2.087099E-7
     1898.111   2.115410E-7
     1898.449   2.143762E-7
     1898.787   2.172083E-7
     1899.126   2.200527E-7
     1899.465   2.229023E-7
     1899.802   2.257477E-7
     1900.143   2.259888E-7
     1900.482   2.225992E-7
      1900.82   2.192125E-7
     1901.159   2.158106E-7
     1901.498   2.124019E-7
     1901.836   2.089975E-7
     1902.176   2.055766E-7
     1902.515   2.021489E-7
     1902.854   1.987268E-7
     1903.194   1.952769E-7
     1903.534   1.918313E-7
     1903.872   1.883902E-7
     1904.212   1.849323E-7
     1904.552   1.814688E-7
     1904.891   1.780086E-7
      1905.23   1.745328E-7
      1905.57   1.710502E-7
     1905.909   1.675721E-7
      1906.25   1.640671E-7
      1906.59   1.605766E-7
      1906.93   1.570693E-7
      1907.27   1.535551E-7
     1907.609   1.500467E-7
      1907.95   1.465213E-7
      1908.29   1.429891E-7
     1908.631   1.394501E-7
      1908.97   1.359168E-7
     1909.312   1.323552E-7
     1909.651   1.288095E-7
     1909.992   1.252456E-7
     1910.333   1.216503E-7
     1910.673   1.180602E-7
     1911.014   1.144516E-7
     1911.355   1.108359E-7
     1911.695   1.072261E-7
     1912.036   1.035989E-7
     1912.378   9.995290E-8
     1912.718   9.632328E-8
      1913.06   9.267745E-8
     1913.401   8.902325E-8
     1913.741   8.537506E-8
     1914.083   8.170932E-8
     1914.424   7.803649E-8
     1914.765   7.436840E-8
     1915.107   7.068268E-8
     1915.448   6.699118E-8
      1915.79   6.329256E-8
     1916.132   5.958681E-8
     1916.473   5.588720E-8
     1916.815   5.216985E-8
     1917.157   4.844537E-8
     1917.498   4.472575E-8
      1917.84   4.098832E-8
     1918.182   3.724508E-8
     1918.524   3.349469E-8
     1918.867   2.973846E-8
     1919.209   2.597506E-8
     1919.551   2.221659E-8
     1919.893   1.844019E-8
     1920.236   1.687262E-8
     1920.577   1.631019E-8
      1920.92   1.574485E-8
     1921.263   1.517861E-8
     1921.605   1.461146E-8
     1921.948   1.404322E-8
     1922.291   1.347408E-8
     1922.633   1.290566E-8
     1922.976   1.233431E-8
     1923.319   1.176205E-8
     1923.661   1.119073E-8
     1924.005   1.061647E-8
     1924.348   1.004109E-8
     1924.692   9.464813E-9
     1925.035   8.887628E-9
     1925.377   8.311185E-9
     1925.721   7.731781E-9
     1926.064   7.151675E-9
     1926.407   6.572110E-9
     1926.751   5.989779E-9
     1927.095   5.406334E-9
     1927.438   4.823847E-9
     1927.782   4.236713E-9
