WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f785lp
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.727259E-18
PIVWV    r 8686.312
BANDW    r 578.1899
TPEAK    r 0.006783323
EQUVW    r 10.66919
RECTW    r 1572.855
EMFLX    r 8.155447E-15
     1942.279            0.
     1942.623            0.
     1942.967            0.
     1943.312            0.
     1943.655            0.
        1944.            0.
     1944.345            0.
      1944.69            0.
     1945.035            0.
      1945.38            0.
     1945.724            0.
     1946.068            0.
     1946.414            0.
     1946.759            0.
     1947.103            0.
     1947.448            0.
     1947.793            0.
     1948.139            0.
     1948.484            0.
      1948.83            0.
     1949.176            0.
      1949.52            0.
     1949.866            0.
     1950.212  2.474513E-11
     1950.556  6.509549E-11
     1950.902  1.056515E-10
     1951.249  1.463994E-10
     1951.594  1.869520E-10
      1951.94  2.277254E-10
     1952.286  2.685473E-10
     1952.633  3.094466E-10
     1952.978  3.502931E-10
     1953.324  3.913327E-10
     1953.671  4.324498E-10
     1954.016  4.734994E-10
     1954.364  5.148880E-10
      1954.71  5.562090E-10
     1955.056  5.974766E-10
     1955.402  6.389384E-10
     1955.749  6.804782E-10
     1956.096  7.220812E-10
     1956.442  7.636303E-10
     1956.789  8.053745E-10
     1957.136  8.471969E-10
     1957.483  8.890828E-10
      1957.83  9.310467E-10
     1958.177  9.730743E-10
     1958.523   1.015047E-9
     1958.871   1.057216E-9
     1959.218   1.099464E-9
     1959.566   1.141775E-9
     1959.912   1.184031E-9
      1960.26   1.164441E-9
     1960.607   1.123747E-9
     1960.955   1.082988E-9
     1961.303   1.042152E-9
      1961.65   1.001252E-9
     1961.997  9.604020E-10
     1962.345  9.193589E-10
     1962.693  8.782370E-10
      1963.04  8.371664E-10
     1963.388  7.959161E-10
     1963.737  7.544564E-10
     1964.085  7.131788E-10
     1964.433  6.716918E-10
     1964.781  6.301404E-10
      1965.13  5.885242E-10
     1965.477  5.469608E-10
     1965.826  5.052010E-10
     1966.174  4.633623E-10
     1966.522  4.215911E-10
     1966.872  3.794760E-10
      1967.22  3.374286E-10
     1967.568  2.954344E-10
     1967.917  2.532280E-10
     1968.266  2.109569E-10
     1968.615  1.686209E-10
     1968.963  1.263388E-10
     1969.312  8.385841E-11
     1969.662  4.129821E-11
     1970.011            0.
      1970.36            0.
      1970.71            0.
     1971.058            0.
     1971.408            0.
     1971.757            0.
     1972.106            0.
     1972.456            0.
     1972.805            0.
     1973.155            0.
     1973.505            0.
     1973.855            0.
     1974.205            0.
     1974.554            0.
     1974.904            0.
     1975.255            0.
     1975.604            0.
     1975.954            0.
     1976.304            0.
     1976.655            0.
     1977.005            0.
     1977.356            0.
     1977.707            0.
     1978.056            0.
     1978.407            0.
     1978.758            0.
     1979.108            0.
      1979.46            0.
     1979.811            0.
     1980.161            0.
     1980.512            0.
     1980.863            0.
     1981.214            0.
     1981.565            0.
     1981.916            0.
     1982.268            0.
     1982.618            0.
     1982.971            0.
     1983.322            0.
     1983.673            0.
     1984.025            0.
     1984.377            0.
     1984.727            0.
     1985.079            0.
     1985.432            0.
     1985.784            0.
     1986.136            0.
     1986.488            0.
      1986.84            0.
     1987.191            0.
     1987.544            0.
     1987.896            0.
     1988.248            0.
       1988.6            0.
     1988.953            0.
     1989.306            0.
     1989.658            0.
     1990.011            0.
     1990.364            0.
     1990.716            0.
     1991.069            0.
     1991.422            0.
     1991.774            0.
     1992.129            0.
     1992.482            0.
     1992.834            0.
     1993.187            0.
     1993.541            0.
     1993.894            0.
     1994.247            0.
     1994.601            0.
     1994.954            0.
     1995.307            0.
     1995.662            0.
     1996.016            0.
     1996.369            0.
     1996.723            0.
     1997.077            0.
     1997.431            0.
     1997.784            0.
     1998.138            0.
     1998.493            0.
     1998.847            0.
     1999.202            0.
     1999.556            0.
      1999.91            0.
     2000.264            0.
     2000.619            0.
     2000.973            0.
     2001.328            0.
     2001.682            0.
     2002.037            0.
     2002.392            0.
     2002.748            0.
     2003.103            0.
     2003.457            0.
     2003.812            0.
     2004.167            0.
     2004.522            0.
     2004.878            0.
     2005.234            0.
     2005.588            0.
     2005.944            0.
       2006.3            0.
     2006.656            0.
      2007.01            0.
     2007.366            0.
     2007.722            0.
     2008.077            0.
     2008.434            0.
     2008.791            0.
     2009.146            0.
     2009.502            0.
     2009.858            0.
     2010.215            0.
      2010.57            0.
     2010.927            0.
     2011.283            0.
      2011.64            0.
     2011.997            0.
     2012.353            0.
     2012.709            0.
     2013.066            0.
     2013.423            0.
      2013.78            0.
     2014.136            0.
     2014.493            0.
     2014.851            0.
     2015.208            0.
     2015.565            0.
     2015.923            0.
     2016.279            0.
     2016.637            0.
     2016.994            0.
     2017.352            0.
     2017.709            0.
     2018.068            0.
     2018.424            0.
     2018.782            0.
      2019.14            0.
     2019.498            0.
     2019.855            0.
     2020.214            0.
     2020.572            0.
     2020.929            0.
     2021.288            0.
     2021.647            0.
     2022.004            0.
     2022.363            0.
     2022.722            0.
      2023.08            0.
     2023.438            0.
     2023.797            0.
     2024.156            0.
     2024.515            0.
     2024.874            0.
     2025.233            0.
     2025.591            0.
      2025.95            0.
     2026.309            0.
     2026.669            0.
     2027.027            0.
     2027.386            0.
     2027.746            0.
     2028.105            0.
     2028.465            0.
     2028.825            0.
     2029.183            0.
     2029.543            0.
     2029.903            0.
     2030.262            0.
     2030.622            0.
     2030.983            0.
     2031.342            0.
     2031.703            0.
     2032.063            0.
     2032.423            0.
     2032.783            0.
     2033.143            0.
     2033.504            0.
     2033.863            0.
     2034.225            0.
     2034.586            0.
     2034.945            0.
     2035.306            0.
     2035.667            0.
     2036.028            0.
     2036.388            0.
     2036.749            0.
      2037.11            0.
     2037.472            0.
     2037.833            0.
     2038.194            0.
     2038.555            0.
     2038.916            0.
     2039.278            0.
     2039.639            0.
        2040.            0.
     2040.362            0.
     2040.724            0.
     2041.085            0.
     2041.447            0.
     2041.809            0.
      2042.17            0.
     2042.532            0.
     2042.895            0.
     2043.256            0.
     2043.618            0.
     2043.982            0.
     2044.343            0.
     2044.706            0.
     2045.068            0.
     2045.431            0.
     2045.792            0.
     2046.155            0.
     2046.518            0.
      2046.88            0.
     2047.243            0.
     2047.607            0.
     2047.969            0.
     2048.332            0.
     2048.696            0.
     2049.059            0.
     2049.421            0.
     2049.784            0.
     2050.148            0.
     2050.512            0.
     2050.875            0.
     2051.239            0.
     2051.602            0.
     2051.965            0.
     2052.329            0.
     2052.693            0.
     2053.056            0.
      2053.42            0.
     2053.784            0.
     2054.148            0.
     2054.513            0.
     2054.877            0.
      2055.24            0.
     2055.605            0.
     2055.969            0.
     2056.333            0.
     2056.698            0.
     2057.063            0.
     2057.427            0.
     2057.792            0.
     2058.157            0.
     2058.522            0.
     2058.886            0.
     2059.251            0.
     2059.616            0.
      2059.98            0.
     2060.345            0.
     2060.712            0.
     2061.076            0.
     2061.442            0.
     2061.807            0.
     2062.173            0.
     2062.538            0.
     2062.903            0.
     2063.269            0.
     2063.635            0.
     2064.001            0.
     2064.367            0.
     2064.732            0.
     2065.098            0.
     2065.464            0.
     2065.831            0.
     2066.196            0.
     2066.562            0.
     2066.929            0.
     2067.295            0.
     2067.662            0.
     2068.029            0.
     2068.394            0.
     2068.761            0.
     2069.128            0.
     2069.495            0.
     2069.861            0.
     2070.229            0.
     2070.595            0.
     2070.962            0.
     2071.329            0.
     2071.697            0.
     2072.063            0.
      2072.43            0.
     2072.798            0.
     2073.165            0.
     2073.532            0.
     2073.901            0.
     2074.267            0.
     2074.635            0.
     2075.003            0.
     2075.371            0.
     2075.738            0.
     2076.106            0.
     2076.474            0.
     2076.843            0.
     2077.211            0.
     2077.579            0.
     2077.947            0.
     2078.315            0.
     2078.683            0.
     2079.052            0.
      2079.42            0.
     2079.788            0.
     2080.157            0.
     2080.526            0.
     2080.895            0.
     2081.264            0.
     2081.632            0.
     2082.001            0.
      2082.37            0.
      2082.74            0.
     2083.108            0.
     2083.479            0.
     2083.848            0.
     2084.216            0.
     2084.586            0.
     2084.956            0.
     2085.324            0.
     2085.694            0.
     2086.064            0.
     2086.433            0.
     2086.803            0.
     2087.174            0.
     2087.544            0.
     2087.913            0.
     2088.283            0.
     2088.654            0.
     2089.023            0.
     2089.393            0.
     2089.764            0.
     2090.135            0.
     2090.505            0.
     2090.876            0.
     2091.245            0.
     2091.616            0.
     2091.987            0.
     2092.358            0.
     2092.728            0.
     2093.099            0.
      2093.47            0.
     2093.842            0.
     2094.213            0.
     2094.584            0.
     2094.955            0.
     2095.326            0.
     2095.698            0.
     2096.069            0.
      2096.44            0.
     2096.813            0.
     2097.184            0.
     2097.555            0.
     2097.927            0.
       2098.3            0.
      2098.67            0.
     2099.042            0.
     2099.415            0.
     2099.786            0.
     2100.158            0.
     2100.531            0.
     2100.904            0.
     2101.276            0.
     2101.648            0.
     2102.021            0.
     2102.393            0.
     2102.766            0.
     2103.138            0.
     2103.511            0.
     2103.885            0.
     2104.258            0.
     2104.631            0.
     2105.003            0.
     2105.376            0.
      2105.75            0.
     2106.122            0.
     2106.495            0.
     2106.869            0.
     2107.241            0.
     2107.616            0.
      2107.99            0.
     2108.363            0.
     2108.736            0.
      2109.11            0.
     2109.483            0.
     2109.857            0.
     2110.231            0.
     2110.607            0.
      2110.98            0.
     2111.354            0.
     2111.729            0.
     2112.102            0.
     2112.477            0.
     2112.851            0.
     2113.226            0.
       2113.6            0.
     2113.974            0.
     2114.349            0.
     2114.724            0.
