WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f660n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 5.347433E-18
PIVWV    r 6599.374
BANDW    r 35.53003
TPEAK    r 0.3484358
EQUVW    r 12.44285
RECTW    r 35.71058
EMFLX    r 1.947311E-16
        2999.            0.
     2999.383  3.671686E-37
     2999.769  7.379574E-37
     3000.152  3.399655E-14
     3000.536  1.198436E-13
     3000.921  2.061658E-13
     3001.307  2.925795E-13
     3001.691  3.787567E-13
     3002.075  4.650261E-13
      3002.46  5.517181E-13
     3002.845  6.382274E-13
     3003.229  7.247688E-13
     3003.615  8.117843E-13
     3003.999  8.985608E-13
     3004.385  9.858186E-13
     3004.771  1.073168E-12
     3005.155  1.160221E-12
      3005.54  1.247420E-12
     3005.924  1.334708E-12
      3006.31  1.422418E-12
     3006.695  1.509939E-12
     3007.079  1.597495E-12
     3007.466  1.685529E-12
     3007.852  1.773710E-12
     3008.237  1.861593E-12
     3008.623  1.949958E-12
     3009.008  2.038022E-12
     3009.393  2.126226E-12
      3009.78  2.214855E-12
     3010.165  2.304717E-12
      3010.55  2.396896E-12
     3010.935  2.489366E-12
     3011.323  2.583009E-12
     3011.708  2.676236E-12
     3012.094  2.769812E-12
     3012.481  2.864155E-12
     3012.866  2.958428E-12
     3013.251  3.053105E-12
     3013.639  3.148547E-12
     3014.024  3.243916E-12
      3014.41  3.339631E-12
     3014.797  3.436118E-12
     3015.184  3.533014E-12
      3015.57  3.629766E-12
     3015.956  3.726925E-12
     3016.343  3.824854E-12
     3016.729  3.922756E-12
     3017.115  4.021004E-12
     3017.502  4.119976E-12
     3017.888  4.218917E-12
     3018.276  4.318634E-12
     3018.662  4.418318E-12
      3019.05  4.518721E-12
     3019.436  4.619092E-12
     3019.823  4.719802E-12
      3020.21  4.820286E-12
     3020.597  4.919824E-12
     3020.983  5.019572E-12
     3021.371  5.120089E-12
      3021.76  5.220881E-12
     3022.146  5.321498E-12
     3022.533  5.422449E-12
     3022.921  5.524054E-12
     3023.308  5.625549E-12
     3023.694  5.727311E-12
     3024.083  5.829795E-12
      3024.47  5.932160E-12
     3024.856  6.034730E-12
     3025.247  6.138515E-12
     3025.634  6.241645E-12
     3026.021  6.345043E-12
      3026.41  6.449293E-12
     3026.797  6.553286E-12
     3027.184  6.657601E-12
     3027.571  6.762173E-12
      3027.96  6.867538E-12
     3028.347  6.972604E-12
     3028.737  7.078462E-12
     3029.125  7.184533E-12
     3029.513  7.290567E-12
     3029.901  7.396798E-12
      3030.29  7.505605E-12
     3030.677  7.614949E-12
     3031.065  7.724626E-12
     3031.455  7.835147E-12
     3031.842  7.945506E-12
     3032.232  8.056747E-12
      3032.62  8.167825E-12
     3033.009  8.279644E-12
     3033.397  8.391414E-12
     3033.785  8.503437E-12
     3034.175  8.616265E-12
     3034.563  8.728979E-12
     3034.951  8.842014E-12
     3035.341  8.955904E-12
     3035.731  9.070123E-12
      3036.12  9.184219E-12
     3036.508  9.298604E-12
     3036.898  9.413813E-12
     3037.287  9.528835E-12
     3037.675  9.644174E-12
     3038.065  9.760424E-12
     3038.454  9.876540E-12
     3038.843  9.992967E-12
     3039.235  1.011061E-11
     3039.624  1.022766E-11
     3040.012  1.034469E-11
     3040.401  1.045176E-11
     3040.792  1.055949E-11
     3041.181  1.066694E-11
      3041.57  1.077443E-11
     3041.961  1.088259E-11
      3042.35  1.099028E-11
     3042.739  1.109816E-11
     3043.131  1.120711E-11
     3043.521  1.131533E-11
      3043.91  1.142367E-11
     3044.301  1.153254E-11
      3044.69  1.164111E-11
      3045.08  1.174986E-11
     3045.469  1.185863E-11
     3045.861  1.196805E-11
     3046.252  1.207762E-11
     3046.642  1.218685E-11
     3047.033  1.229667E-11
     3047.423  1.240608E-11
     3047.813  1.251568E-11
     3048.204  1.262590E-11
     3048.594  1.273576E-11
     3048.984  1.284576E-11
     3049.376  1.295637E-11
     3049.766  1.306661E-11
     3050.158  1.318484E-11
     3050.548  1.331407E-11
      3050.94  1.344416E-11
      3051.33  1.357407E-11
      3051.72  1.370444E-11
     3052.113  1.383578E-11
     3052.503  1.396693E-11
     3052.894  1.409855E-11
     3053.286  1.423099E-11
     3053.678  1.436388E-11
     3054.069  1.449658E-11
     3054.459  1.462969E-11
     3054.852  1.476376E-11
     3055.242  1.489771E-11
     3055.633  1.503204E-11
     3056.026  1.516733E-11
     3056.417  1.530241E-11
     3056.808  1.543785E-11
     3057.202  1.557493E-11
     3057.593  1.571117E-11
     3057.984  1.584778E-11
     3058.375  1.598481E-11
     3058.768  1.612280E-11
      3059.16  1.626065E-11
     3059.551  1.639886E-11
     3059.944  1.653804E-11
     3060.335  1.665892E-11
     3060.729  1.677743E-11
     3061.122  1.689612E-11
     3061.513  1.701437E-11
     3061.905  1.713274E-11
     3062.297  1.725123E-11
      3062.69  1.737045E-11
     3063.082  1.748917E-11
     3063.474  1.760808E-11
     3063.867  1.772763E-11
     3064.261  1.784736E-11
     3064.653  1.796661E-11
     3065.047  1.808656E-11
     3065.439  1.820608E-11
     3065.831  1.832571E-11
     3066.225  1.844599E-11
     3066.617  1.856594E-11
     3067.009  1.868599E-11
     3067.403  1.880668E-11
     3067.797  1.892749E-11
      3068.19  1.904789E-11
     3068.582  1.916848E-11
     3068.976  1.928964E-11
     3069.369  1.941038E-11
     3069.762  1.953129E-11
     3070.156  1.964119E-11
     3070.549  1.973293E-11
     3070.941  1.982442E-11
     3071.336  1.991622E-11
     3071.731  2.000788E-11
     3072.124  2.009887E-11
     3072.517  2.018968E-11
     3072.911  2.028069E-11
     3073.304  2.037115E-11
     3073.698  2.046142E-11
     3074.092  2.055189E-11
     3074.486  2.064182E-11
     3074.881  2.073194E-11
     3075.274  2.082147E-11
     3075.669  2.091121E-11
     3076.062  2.100041E-11
     3076.456  2.108941E-11
     3076.851  2.117853E-11
     3077.245  2.126723E-11
     3077.638  2.135569E-11
     3078.034  2.144435E-11
     3078.429  2.153287E-11
     3078.823  2.162081E-11
     3079.219  2.170891E-11
     3079.613  2.179644E-11
     3080.006  2.188327E-11
       3080.4  2.194096E-11
     3080.796  2.199843E-11
      3081.19  2.205521E-11
     3081.584  2.211158E-11
     3081.982  2.216794E-11
     3082.376  2.222340E-11
     3082.771  2.227840E-11
     3083.167  2.233317E-11
     3083.561  2.238727E-11
     3083.955  2.244088E-11
     3084.352  2.249432E-11
     3084.746  2.254708E-11
     3085.141  2.259937E-11
     3085.537  2.265146E-11
     3085.933  2.270306E-11
     3086.328  2.275399E-11
     3086.723  2.280450E-11
      3087.12  2.285478E-11
     3087.514  2.290444E-11
     3087.909  2.295369E-11
     3088.306  2.300265E-11
     3088.701  2.305092E-11
     3089.098  2.309895E-11
     3089.493  2.314636E-11
