WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f850lp
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 8.356936E-18
PIVWV    r 9114.011
BANDW    r 434.0184
TPEAK    r 0.005385921
EQUVW    r 5.758464
RECTW    r 1069.17
EMFLX    r 1.060572E-14
        7900.            0.
     7900.261   2.945349E-8
     7900.521   5.884108E-8
     7900.786   8.872009E-8
     7901.046   1.180918E-7
      7901.31   1.478994E-7
     7901.571   1.773103E-7
     7901.831   2.066609E-7
     7902.095   2.364416E-7
     7902.356   2.658314E-7
     7902.616   2.951554E-7
     7902.876   3.244743E-7
     7903.137   3.537852E-7
     7903.401   3.835808E-7
     7903.666   4.133709E-7
     7903.926   4.426551E-7
     7904.187   4.719344E-7
     7904.447   5.012578E-7
     7904.712   5.310156E-7
     7904.972   5.602682E-7
     7905.232   5.895157E-7
     7905.493   6.187551E-7
     7905.753   6.480390E-7
     7906.018   6.777566E-7
     7906.283   7.074632E-7
     7906.543   7.367258E-7
     7906.804   7.659229E-7
     7907.064   7.951147E-7
     7907.325   8.243507E-7
     7907.589   8.540201E-7
      7907.85   8.831854E-7
      7908.11   9.124005E-7
     7908.375   9.420427E-7
     7908.636   9.712417E-7
       7908.9   1.000868E-6
     7909.161   1.030051E-6
     7909.421   1.059171E-6
     7909.682   1.088336E-6
     7909.942   1.117441E-6
     7910.208   1.147081E-6
     7910.468   1.176225E-6
     7910.733   1.205795E-6
     7910.994   1.234923E-6
     7911.254   1.263985E-6
     7911.519   1.293588E-6
      7911.78   1.322690E-6
      7912.04   1.351731E-6
     7912.301   1.380817E-6
     7912.562   1.409897E-6
     7912.827   1.439457E-6
     7913.091   1.468957E-6
     7913.352   1.498011E-6
     7913.613   1.527059E-6
     7913.874   1.556100E-6
     7914.139   1.585620E-6
     7914.399   1.614590E-6
      7914.66   1.643604E-6
      7914.92   1.672613E-6
     7915.181   1.701611E-6
     7915.446   1.731094E-6
     7915.711   1.760565E-6
     7915.972   1.789542E-6
     7916.233   1.818509E-6
     7916.494   1.847470E-6
     7916.754   1.876421E-6
      7917.02   1.905855E-6
      7917.28   1.934790E-6
     7917.541   1.963720E-6
     7917.806   1.993126E-6
     7918.067   2.022040E-6
     7918.332   2.051431E-6
     7918.593   2.080383E-6
     7918.854   2.109274E-6
     7919.115   2.138153E-6
     7919.375   2.167027E-6
     7919.641   2.196378E-6
     7919.902   2.225290E-6
     7920.167   2.254625E-6
     7920.428   2.283468E-6
     7920.688   2.312300E-6
     7920.954   2.341668E-6
     7921.215   2.370484E-6
     7921.476   2.399295E-6
     7921.737   2.428150E-6
     7921.998   2.456946E-6
     7922.263   2.486217E-6
     7922.528   2.515535E-6
     7922.789   2.544304E-6
      7923.05   2.573122E-6
     7923.311   2.601876E-6
     7923.577   2.631163E-6
     7923.837   2.659900E-6
     7924.099   2.688686E-6
     7924.359   2.717411E-6
     7924.621   2.746179E-6
      7924.89   2.775853E-6
     7925.151   2.804607E-6
     7925.412   2.833300E-6
     7925.673   2.862035E-6
     7925.935   2.890767E-6
       7926.2   2.919916E-6
     7926.461   2.948631E-6
     7926.722   2.977336E-6
     7926.983   3.005981E-6
     7927.249   3.035153E-6
      7927.51   3.063836E-6
     7927.775   3.092992E-6
     7928.036   3.121606E-6
     7928.297   3.150263E-6
     7928.559   3.178915E-6
      7928.82   3.207556E-6
     7929.085   3.236673E-6
     7929.347   3.265298E-6
     7929.607   3.293865E-6
     7929.873   3.322956E-6
     7930.134   3.351561E-6
       7930.4   3.380637E-6
     7930.661   3.409225E-6
     7930.922   3.437805E-6
     7931.184   3.466377E-6
     7931.445   3.494940E-6
      7931.71   3.523979E-6
     7931.976   3.553007E-6
     7932.237   3.581548E-6
     7932.499   3.610080E-6
      7932.76   3.638605E-6
     7933.026   3.667654E-6
     7933.287   3.696164E-6
     7933.548   3.724664E-6
      7933.81   3.753158E-6
     7934.071   3.781643E-6
     7934.336   3.810601E-6
     7934.603   3.839602E-6
     7934.864   3.868064E-6
     7935.125   3.896516E-6
     7935.386   3.924964E-6
     7935.652   3.953933E-6
     7935.914   3.982364E-6
     7936.175   4.010785E-6
     7936.437   4.039253E-6
     7936.698   4.067660E-6
     7936.968   4.097015E-6
     7937.229   4.125457E-6
     7937.491   4.153841E-6
     7937.752   4.182268E-6
     7938.014   4.210635E-6
     7938.275   4.239047E-6
     7938.541   4.267877E-6
     7938.803   4.296272E-6
     7939.064   4.324609E-6
      7939.33   4.353465E-6
     7939.591   4.381786E-6
     7939.857   4.410626E-6
     7940.119   4.438932E-6
      7940.38   4.467281E-6
     7940.642   4.495624E-6
     7940.903   4.523903E-6
     7941.169   4.552707E-6
     7941.431   4.581025E-6
     7941.697   4.609758E-6
     7941.958   4.638060E-6
      7942.22   4.666357E-6
     7942.486   4.695116E-6
     7942.748   4.723344E-6
     7943.009   4.751614E-6
     7943.271   4.779878E-6
     7943.533   4.808132E-6
     7943.799   4.836856E-6
     7944.064   4.865516E-6
     7944.326   4.893749E-6
     7944.588   4.921971E-6
      7944.85   4.950188E-6
     7945.116   4.978869E-6
     7945.377   5.007071E-6
     7945.639   5.035262E-6
     7945.901   5.063448E-6
     7946.163   5.091622E-6
     7946.433   5.120738E-6
     7946.695   5.148900E-6
     7946.957   5.177052E-6
     7947.218   5.205197E-6
      7947.48   5.233336E-6
     7947.746   5.261937E-6
     7948.008   5.290111E-6
      7948.27   5.318223E-6
     7948.532   5.346331E-6
     7948.798   5.374901E-6
      7949.06   5.402991E-6
     7949.326   5.431596E-6
     7949.588   5.459669E-6
      7949.85   5.487737E-6
     7950.111   5.515798E-6
     7950.374   5.543900E-6
      7950.64   5.572414E-6
     7950.901   5.600452E-6
     7951.168   5.629002E-6
      7951.43   5.657024E-6
     7951.691   5.685035E-6
     7951.958   5.713563E-6
      7952.22   5.741560E-6
     7952.482   5.769602E-6
     7952.744   5.797582E-6
     7953.006   5.825608E-6
     7953.272   5.854043E-6
     7953.539   5.882523E-6
       7953.8   5.910472E-6
     7954.063   5.938468E-6
     7954.324   5.966400E-6
     7954.591   5.994846E-6
     7954.853   6.022767E-6
     7955.115   6.050731E-6
     7955.377   6.078683E-6
     7955.639   6.106581E-6
      7955.91   6.135455E-6
     7956.172   6.163385E-6
     7956.434   6.191256E-6
     7956.696   6.219173E-6
     7956.958   6.247080E-6
     7957.225   6.275447E-6
     7957.486   6.303289E-6
     7957.749   6.331171E-6
     7958.011   6.359049E-6
     7958.277   6.387384E-6
     7958.544   6.415713E-6
     7958.806   6.443512E-6
     7959.068   6.471358E-6
      7959.33   6.499194E-6
     7959.592   6.527024E-6
     7959.854   6.554844E-6
     7960.121   6.583126E-6
     7960.383   6.610932E-6
      7960.65   6.639195E-6
     7960.912   6.666987E-6
