WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f190n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.995194E-19
PIVWV    r 19003.38
BANDW    r 62.56868
TPEAK    r 0.2514151
EQUVW    r 46.25806
RECTW    r 183.9908
EMFLX    r 9.200486E-17
     18544.05            0.
     18544.24            0.
     18544.42            0.
      18544.6            0.
     18544.79            0.
     18544.97            0.
     18545.15            0.
     18545.34            0.
     18545.52            0.
      18545.7            0.
     18545.87            0.
     18546.07            0.
     18546.23            0.
     18546.42            0.
      18546.6            0.
     18546.78            0.
     18546.97            0.
     18547.15            0.
     18547.33            0.
     18547.52            0.
      18547.7            0.
     18547.88            0.
     18548.04            0.
     18548.23            0.
     18548.43            0.
      18548.6            0.
     18548.78            0.
     18548.96            0.
     18549.14            0.
     18549.33            0.
     18549.51            0.
      18549.7            0.
     18549.88            0.
     18550.06            0.
     18550.24            0.
     18550.41            0.
     18550.59            0.
     18550.79            0.
     18550.96            0.
     18551.14            0.
     18551.32            0.
     18551.51            0.
     18551.69            0.
     18551.88   1.021216E-4
     18552.06   1.654346E-4
     18552.24   1.459183E-4
     18552.42   1.261920E-4
     18552.61   1.064657E-4
     18552.77   8.883781E-5
     18552.95   6.932122E-5
     18553.16   4.728626E-5
     18553.32   2.986811E-5
      18553.5   1.014147E-5
     18553.69            0.
     18553.87            0.
     18554.05            0.
     18554.24            0.
     18554.42   4.210883E-7
     18554.58   1.744926E-5
     18554.79   3.853184E-5
     18554.97   5.758731E-5
     18555.13   7.441291E-5
     18555.32   9.346848E-5
     18555.52   1.147541E-4
     18555.68   1.315798E-4
     18555.87   1.506355E-4
     18556.05   1.602369E-4
     18556.23   1.451117E-4
     18556.42   1.299863E-4
      18556.6   1.148610E-4
     18556.78   9.989642E-5
     18556.95   8.638006E-5
     18557.15   6.964542E-5
     18557.33   5.451988E-5
      18557.5   4.100337E-5
     18557.68   2.603862E-5
     18557.88   9.142893E-6
     18558.05            0.
     18558.23            0.
     18558.41            0.
      18558.6   4.007007E-9
     18558.78   1.130401E-7
     18558.96   2.220735E-7
     18559.15   3.311072E-7
     18559.31   4.273820E-7
     18559.51   5.480156E-7
      18559.7   6.570505E-7
     18559.86   7.544855E-7
     18560.04            0.
     18560.23            0.
     18560.41            0.
     18560.59            0.
     18560.78            0.
     18560.96            0.
     18561.14            0.
     18561.33            0.
     18561.51            0.
     18561.67            0.
     18561.88            0.
     18562.04            0.
     18562.22            0.
     18562.41            0.
     18562.59            0.
