WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f467m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 5.762720E-17
PIVWV    r 4670.3
BANDW    r 75.3204
TPEAK    r 0.007809299
EQUVW    r 1.63133
RECTW    r 208.8958
EMFLX    r 1.305510E-14
        1860.   8.023869E-8
     1860.331   7.771781E-8
     1860.661   7.519886E-8
     1860.992   7.266597E-8
     1861.323   7.012846E-8
     1861.654   6.758636E-8
     1861.985   6.503868E-8
     1862.316   6.248637E-8
     1862.646   5.993604E-8
     1862.978   5.737355E-8
     1863.309   5.480547E-8
      1863.64   5.224032E-8
     1863.971   4.966297E-8
     1864.303   4.707905E-8
     1864.634   4.449143E-8
     1864.966   4.189820E-8
     1865.298   3.929933E-8
     1865.628   3.670347E-8
      1865.96   3.409432E-8
     1866.292   3.148049E-8
     1866.623   2.886969E-8
     1866.955   2.624554E-8
     1867.287   2.361573E-8
      1867.62   2.098122E-8
     1867.952   1.834201E-8
     1868.284   1.569712E-8
     1868.615   1.305532E-8
     1868.948   1.039907E-8
      1869.28   7.739073E-9
     1869.613   5.073378E-9
     1869.944   2.410803E-9
     1870.277   8.814273E-9
     1870.609   1.706044E-8
     1870.942   2.532445E-8
     1871.275   3.360633E-8
     1871.607   4.187564E-8
      1871.94   5.019023E-8
     1872.273   5.851663E-8
     1872.606   6.686402E-8
     1872.938   7.519873E-8
     1873.271   8.357590E-8
     1873.604   9.197108E-8
     1873.938   1.003842E-7
     1874.271   1.088093E-7
     1874.604   1.172555E-7
     1874.937   1.256888E-7
      1875.27   1.341650E-7
     1875.604   1.426592E-7
     1875.937   1.511437E-7
      1876.27   1.596679E-7
     1876.604   1.682104E-7
     1876.938   1.767711E-7
     1877.272   1.853468E-7
     1877.606   1.939408E-7
     1877.939   2.025215E-7
     1878.273   2.111489E-7
     1878.607   2.197914E-7
      1878.94   2.284237E-7
     1879.274   2.370729E-7
     1879.609   2.457577E-7
     1879.943   2.544047E-7
     1880.277   2.560784E-7
     1880.612   2.563086E-7
     1880.945   2.565382E-7
      1881.28   2.567687E-7
     1881.615   2.569993E-7
     1881.948   2.572292E-7
     1882.283   2.574600E-7
     1882.619   2.576917E-7
     1882.953   2.579220E-7
     1883.288   2.581531E-7
     1883.623   2.583844E-7
     1883.957   2.586151E-7
     1884.292   2.588466E-7
     1884.627   2.590783E-7
     1884.961   2.593093E-7
     1885.297   2.595412E-7
     1885.633   2.597740E-7
     1885.967   2.600054E-7
     1886.303   2.602376E-7
     1886.638   2.604699E-7
     1886.973   2.607018E-7
     1887.309   2.609344E-7
     1887.644   2.611671E-7
     1887.979   2.613992E-7
     1888.315   2.616322E-7
     1888.652   2.618659E-7
     1888.987   2.620984E-7
     1889.323   2.623318E-7
     1889.659   2.625652E-7
     1889.994   2.627981E-7
      1890.33   2.543541E-7
     1890.666   2.457331E-7
     1891.003   2.370986E-7
     1891.338   2.284756E-7
     1891.676   2.197826E-7
     1892.011   2.111294E-7
     1892.348   2.024344E-7
     1892.684   1.937226E-7
      1893.02   1.850257E-7
     1893.357   1.762836E-7
     1893.693   1.675279E-7
      1894.03   1.587554E-7
     1894.366   1.499979E-7
     1894.704   1.411695E-7
      1895.04   1.323785E-7
     1895.377   1.235483E-7
     1895.714   1.147012E-7
     1896.052   1.058373E-7
     1896.388   9.698863E-8
     1896.725   8.809417E-8
     1897.063   7.918605E-8
     1897.399   7.029004E-8
     1897.736   6.135457E-8
     1898.074   5.239890E-8
     1898.412   4.342952E-8
     1898.749   3.444642E-8
     1899.087   2.544633E-8
     1899.424   1.645859E-8
     1899.762   7.427801E-9
       1900.1   1.075542E-9
     1900.437   1.147509E-9
     1900.776   1.220031E-9
     1901.114   1.292455E-9
     1901.451   1.364754E-9
     1901.789   1.437425E-9
     1902.128   1.510233E-9
     1902.465   1.582916E-9
     1902.803   1.655946E-9
     1903.142   1.729113E-9
     1903.479   1.802181E-9
     1903.818   1.875597E-9
     1904.158   1.949336E-9
     1904.495   2.022789E-9
     1904.834   2.096566E-9
     1905.173   2.170481E-9
     1905.511   2.244293E-9
      1905.85   2.318430E-9
     1906.189   2.392733E-9
     1906.527   2.466905E-9
     1906.866   2.541432E-9
     1907.206   2.616311E-9
     1907.544   2.690872E-9
     1907.884   2.765787E-9
     1908.223   2.840814E-9
     1908.562   2.915737E-9
     1908.901   2.991015E-9
     1909.241   3.066432E-9
     1909.579   3.141744E-9
     1909.919   3.217385E-9
      1910.26   3.377503E-9
     1910.598   3.563039E-9
     1910.938   3.749462E-9
     1911.278   3.936238E-9
     1911.617   4.122761E-9
     1911.957   4.310108E-9
     1912.297   4.497877E-9
     1912.636   4.685323E-9
     1912.977   4.873664E-9
     1913.318   5.062900E-9
     1913.657   5.251340E-9
     1913.998   5.440608E-9
     1914.338   5.630232E-9
     1914.678   5.819597E-9
     1915.018   6.009932E-9
     1915.359   6.200485E-9
       1915.7   6.391394E-9
     1916.039   6.582043E-9
     1916.381   6.774214E-9
     1916.721   6.965506E-9
     1917.062   7.157706E-9
     1917.403   7.350262E-9
     1917.744   7.543107E-9
     1918.084   7.735687E-9
     1918.425   7.929179E-9
     1918.767   8.123028E-9
     1919.107   8.316542E-9
     1919.449   8.511595E-9
      1919.79   8.705825E-9
     1920.131   8.727162E-9
     1920.473   8.469902E-9
     1920.814   8.212141E-9
     1921.155   7.954799E-9
     1921.497   7.696125E-9
     1921.839   7.437040E-9
     1922.179   7.178286E-9
     1922.522   6.917452E-9
     1922.864   6.657041E-9
     1923.205   6.396870E-9
     1923.547   6.135545E-9
      1923.89   5.873714E-9
     1924.231   5.612218E-9
     1924.573   5.349470E-9
     1924.916   5.086215E-9
     1925.257   4.823393E-9
       1925.6   4.558464E-9
     1925.943   4.293875E-9
     1926.284   4.029630E-9
     1926.627   3.764119E-9
      1926.97   3.498101E-9
     1927.312   3.232522E-9
     1927.654   2.965581E-9
     1927.997   2.698224E-9
     1928.339   2.431216E-9
     1928.683   2.162170E-9
     1929.026   1.893378E-9
     1929.368   1.625032E-9
     1929.712   1.355312E-9
     1930.055   1.134774E-9
     1930.397   1.174316E-9
     1930.741   1.214046E-9
     1931.084   1.253836E-9
     1931.427   1.293701E-9
     1931.771   1.333640E-9
     1932.115   1.373641E-9
     1932.457   1.413588E-9
     1932.801   1.453724E-9
     1933.145   1.493921E-9
     1933.488   1.534078E-9
     1933.832   1.574411E-9
     1934.176   1.614819E-9
      1934.52   1.655302E-9
     1934.864   1.695847E-9
     1935.208   1.736466E-9
     1935.551   1.777017E-9
     1935.896   1.817758E-9
      1936.24   1.858576E-9
     1936.584   1.899468E-9
     1936.928   1.940292E-9
     1937.272   1.981321E-9
     1937.617   2.022412E-9
     1937.962   2.063579E-9
