WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f625w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.195395E-19
PIVWV    r 6310.452
BANDW    r 415.454
TPEAK    r 0.4433655
EQUVW    r 580.8473
RECTW    r 1310.087
EMFLX    r 1.762527E-16
     3080.439  5.103055E-11
     3080.825  5.116787E-11
      3081.21  5.130417E-11
     3081.594  5.143900E-11
     3081.979  5.157287E-11
     3082.363  5.170578E-11
     3082.749  5.183838E-11
     3083.133  5.196934E-11
     3083.517  5.209937E-11
     3083.901  5.222845E-11
     3084.289  5.235773E-11
     3084.673  5.248500E-11
     3085.058  5.261123E-11
     3085.442  5.273653E-11
     3085.828  5.286142E-11
     3086.213  5.298476E-11
     3086.598  5.310719E-11
     3086.982  5.322867E-11
     3087.369  5.334984E-11
     3087.755  5.347014E-11
      3088.14  5.358888E-11
     3088.525  5.370664E-11
      3088.91  5.382337E-11
     3089.296  5.393972E-11
     3089.681  5.405461E-11
     3090.066  5.415559E-11
     3090.452  5.419314E-11
     3090.838  5.422929E-11
     3091.225  5.426396E-11
     3091.611  5.429695E-11
     3091.996  5.432841E-11
     3092.383  5.435847E-11
     3092.768  5.438687E-11
     3093.154  5.441378E-11
     3093.539  5.443916E-11
     3093.927  5.446315E-11
     3094.312  5.448536E-11
     3094.699  5.450614E-11
     3095.085  5.452529E-11
     3095.472  5.454310E-11
     3095.858  5.455929E-11
     3096.244  5.457399E-11
      3096.63  5.458713E-11
     3097.018  5.459881E-11
     3097.404  5.460890E-11
      3097.79  5.461746E-11
     3098.177  5.462451E-11
     3098.563  5.463005E-11
     3098.951  5.463406E-11
     3099.337  5.463657E-11
     3099.724  5.463753E-11
      3100.11  5.461870E-11
     3100.498  5.455190E-11
     3100.885  5.448342E-11
     3101.271  5.441292E-11
     3101.659  5.434013E-11
     3102.047  5.426541E-11
     3102.434  5.418913E-11
     3102.821  5.411092E-11
     3103.207  5.403080E-11
     3103.596  5.394832E-11
     3103.983  5.386422E-11
     3104.369  5.377834E-11
     3104.756  5.369050E-11
     3105.147  5.359993E-11
     3105.534  5.350818E-11
     3105.921  5.341452E-11
     3106.308  5.331897E-11
     3106.697  5.322115E-11
     3107.084  5.312180E-11
     3107.471  5.302053E-11
     3107.858  5.291735E-11
     3108.247  5.281173E-11
     3108.636  5.270416E-11
     3109.024  5.259525E-11
     3109.411  5.248443E-11
     3109.799  5.237165E-11
     3110.188  5.222650E-11
     3110.576  5.204767E-11
     3110.963  5.186656E-11
     3111.353  5.168237E-11
      3111.74  5.149671E-11
      3112.13  5.130791E-11
     3112.518  5.111751E-11
     3112.906  5.092484E-11
     3113.295  5.072905E-11
     3113.683  5.053187E-11
     3114.072  5.033225E-11
     3114.459  5.013043E-11
     3114.849  4.992531E-11
     3115.238  4.971884E-11
     3115.627  4.950920E-11
     3116.016  4.929808E-11
     3116.406  4.908392E-11
     3116.794  4.886829E-11
     3117.183  4.865042E-11
     3117.571  4.843029E-11
     3117.961  4.820678E-11
      3118.35  4.798199E-11
     3118.739  4.775510E-11
     3119.127  4.752579E-11
     3119.518  4.729302E-11
     3119.908  4.705813E-11
     3120.297  4.681603E-11
     3120.686  4.656999E-11
     3121.075  4.632151E-11
     3121.466  4.606950E-11
     3121.854  4.581646E-11
     3122.244  4.556097E-11
     3122.635  4.530206E-11
     3123.025  4.504085E-11
     3123.415  4.477848E-11
     3123.804  4.451386E-11
     3124.193  4.424678E-11
     3124.584  4.397624E-11
     3124.974  4.370460E-11
     3125.363  4.343070E-11
     3125.752  4.315452E-11
     3126.144  4.287466E-11
     3126.535  4.259251E-11
     3126.925  4.230932E-11
     3127.314  4.202384E-11
     3127.706  4.173484E-11
     3128.096  4.144466E-11
     3128.486  4.115228E-11
     3128.875  4.085764E-11
     3129.267  4.055943E-11
     3129.659  4.025895E-11
     3130.049  3.996101E-11
     3130.439  3.968668E-11
     3130.831  3.940909E-11
     3131.221  3.913066E-11
     3131.611  3.885019E-11
     3132.001  3.856750E-11
     3132.394  3.828157E-11
     3132.784  3.799482E-11
     3133.174  3.770605E-11
     3133.566  3.741395E-11
     3133.957  3.712090E-11
     3134.349  3.682454E-11
      3134.74  3.652745E-11
     3135.131  3.622832E-11
     3135.521  3.592715E-11
     3135.914  3.562246E-11
     3136.305  3.531709E-11
     3136.697  3.500836E-11
     3137.088  3.469897E-11
     3137.481  3.438620E-11
     3137.872  3.407259E-11
     3138.263  3.375697E-11
     3138.654  3.343936E-11
     3139.047  3.311835E-11
     3139.438  3.279670E-11
     3139.829  3.247287E-11
     3140.221  3.220482E-11
     3140.614  3.197884E-11
     3141.007  3.175133E-11
     3141.398  3.152329E-11
      3141.79  3.129359E-11
     3142.183  3.106137E-11
     3142.575  3.082865E-11
     3142.966  3.059442E-11
     3143.358  3.035866E-11
     3143.751  3.012020E-11
     3144.145  2.988023E-11
     3144.537  2.963980E-11
     3144.929  2.939787E-11
     3145.321  2.915440E-11
     3145.714  2.890822E-11
