WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f502n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 8.039258E-18
PIVWV    r 5022.9
BANDW    r 36.46442
TPEAK    r 0.1919561
EQUVW    r 10.87409
RECTW    r 56.64887
EMFLX    r 4.827480E-16
     3080.752   1.284322E-6
     3081.139   1.284428E-6
     3081.525   1.284535E-6
     3081.911   1.284641E-6
     3082.297   1.284746E-6
     3082.682   1.284849E-6
     3083.068   1.284952E-6
     3083.454   1.285056E-6
      3083.84   1.285159E-6
     3084.228   1.285264E-6
     3084.616   1.285369E-6
     3085.002   1.285474E-6
     3085.388   1.285579E-6
     3085.774   1.285684E-6
      3086.16   1.285789E-6
     3086.547   1.285894E-6
     3086.933   1.285999E-6
      3087.32   1.286104E-6
     3087.708   1.286209E-6
     3088.096   1.286315E-6
     3088.482   1.286418E-6
     3088.869   1.286521E-6
     3089.256   1.286625E-6
     3089.642   1.286730E-6
     3090.029   1.286842E-6
     3090.416   1.287029E-6
     3090.803   1.287217E-6
     3091.191   1.287405E-6
      3091.58   1.287593E-6
     3091.967   1.287781E-6
     3092.354   1.287969E-6
     3092.741   1.288156E-6
     3093.128   1.288343E-6
     3093.515   1.288529E-6
     3093.903   1.288715E-6
      3094.29   1.288902E-6
     3094.679   1.289088E-6
     3095.068   1.289276E-6
     3095.456   1.289464E-6
     3095.843   1.289652E-6
      3096.23   1.289841E-6
     3096.618   1.290030E-6
     3097.006   1.290220E-6
     3097.393   1.290404E-6
     3097.781   1.290589E-6
      3098.17   1.290776E-6
      3098.56   1.290965E-6
     3098.948   1.291154E-6
     3099.336   1.291340E-6
     3099.724   1.291527E-6
     3100.112   1.291721E-6
       3100.5   1.291932E-6
     3100.888   1.292143E-6
     3101.276   1.292356E-6
     3101.666   1.292570E-6
     3102.056   1.292784E-6
     3102.444   1.292995E-6
     3102.833   1.293207E-6
     3103.221   1.293419E-6
     3103.609   1.293632E-6
     3103.998   1.293845E-6
     3104.386   1.294056E-6
     3104.775   1.294266E-6
     3105.166   1.294477E-6
     3105.556   1.294688E-6
     3105.945   1.294898E-6
     3106.333   1.295110E-6
     3106.722   1.295321E-6
     3107.111   1.295534E-6
       3107.5   1.295747E-6
     3107.889   1.295961E-6
     3108.278   1.296175E-6
     3108.669   1.296389E-6
      3109.06   1.296603E-6
     3109.449   1.296812E-6
     3109.838   1.297021E-6
     3110.227   1.297243E-6
     3110.617   1.297475E-6
     3111.006   1.297706E-6
     3111.396   1.297938E-6
     3111.785   1.298170E-6
     3112.176   1.298403E-6
     3112.567   1.298636E-6
     3112.957   1.298868E-6
     3113.347   1.299100E-6
     3113.736   1.299332E-6
     3114.126   1.299564E-6
     3114.516   1.299796E-6
     3114.906   1.300028E-6
     3115.296   1.300261E-6
     3115.688   1.300494E-6
     3116.079   1.300727E-6
     3116.469   1.300960E-6
     3116.859   1.301192E-6
      3117.25   1.301424E-6
      3117.64   1.301655E-6
      3118.03   1.301886E-6
      3118.42   1.302118E-6
     3118.811   1.302351E-6
     3119.203   1.302585E-6
     3119.593   1.302820E-6
     3119.985   1.303055E-6
     3120.376   1.303311E-6
     3120.766   1.303569E-6
     3121.157   1.303826E-6
     3121.548   1.304084E-6
     3121.938   1.304341E-6
     3122.329   1.304602E-6
     3122.722   1.304863E-6
     3123.113   1.305124E-6
     3123.505   1.305384E-6
     3123.896   1.305644E-6
     3124.287   1.305903E-6
     3124.678   1.306163E-6
      3125.07   1.306422E-6
     3125.461   1.306678E-6
     3125.852   1.306935E-6
     3126.245   1.307195E-6
     3126.636   1.307457E-6
      3127.03   1.307719E-6
     3127.421   1.307979E-6
     3127.812   1.308239E-6
     3128.204   1.308499E-6
