WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f550m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 5.985469E-19
PIVWV    r 5579.85
BANDW    r 165.2026
TPEAK    r 0.246869
EQUVW    r 131.4178
RECTW    r 532.3381
EMFLX    r 3.231981E-16
     2577.235   1.164692E-6
     2577.606   1.164086E-6
     2577.977   1.163480E-6
     2578.346   1.162879E-6
     2578.715   1.162279E-6
     2579.086   1.161675E-6
     2579.456   1.161072E-6
     2579.825   1.160468E-6
     2580.197   1.159861E-6
     2580.566   1.159255E-6
     2580.937   1.158647E-6
     2581.307   1.158042E-6
     2581.679   1.157435E-6
     2582.049   1.156831E-6
     2582.419   1.156225E-6
      2582.79   1.155617E-6
      2583.16   1.155012E-6
     2583.532   1.154405E-6
     2583.902   1.153801E-6
     2584.274   1.153195E-6
     2584.644   1.152590E-6
     2585.016   1.151984E-6
     2585.386   1.151380E-6
     2585.757   1.150776E-6
     2586.129   1.150169E-6
     2586.499   1.149564E-6
      2586.87   1.148959E-6
     2587.242   1.148351E-6
     2587.614   1.147744E-6
     2587.985   1.147138E-6
     2588.357   1.146532E-6
     2588.728   1.145929E-6
     2589.099   1.145325E-6
     2589.471   1.144716E-6
     2589.842   1.144110E-6
     2590.213   1.143497E-6
     2590.586   1.142877E-6
     2590.959   1.142257E-6
      2591.33   1.141640E-6
     2591.703   1.141020E-6
     2592.074   1.140402E-6
     2592.446   1.139784E-6
     2592.818   1.139163E-6
      2593.19   1.138546E-6
     2593.562   1.137930E-6
     2593.935   1.137312E-6
     2594.308   1.136692E-6
     2594.679   1.136074E-6
     2595.053   1.135453E-6
     2595.425   1.134836E-6
     2595.796   1.134220E-6
      2596.17   1.133600E-6
     2596.542   1.132982E-6
     2596.914   1.132364E-6
     2597.288   1.131745E-6
     2597.661   1.131126E-6
     2598.033   1.130509E-6
     2598.406   1.129893E-6
     2598.779   1.129275E-6
     2599.152   1.128658E-6
     2599.524   1.128040E-6
     2599.898   1.127420E-6
     2600.271   1.126857E-6
     2600.645   1.126313E-6
     2601.019   1.125768E-6
     2601.392   1.125225E-6
     2601.764   1.124683E-6
     2602.138   1.124137E-6
     2602.511   1.123590E-6
     2602.884   1.123043E-6
     2603.259   1.122499E-6
     2603.632   1.121960E-6
     2604.005   1.121420E-6
     2604.381   1.120872E-6
     2604.754   1.120328E-6
     2605.127   1.119785E-6
     2605.502   1.119239E-6
     2605.875   1.118695E-6
     2606.249   1.118153E-6
     2606.624   1.117610E-6
     2606.997   1.117069E-6
     2607.371   1.116525E-6
     2607.747   1.115977E-6
     2608.121   1.115435E-6
     2608.495   1.114894E-6
      2608.87   1.114351E-6
     2609.244   1.113806E-6
     2609.617   1.113260E-6
     2609.993   1.112712E-6
     2610.367   1.112156E-6
     2610.741   1.111600E-6
     2611.116   1.111042E-6
     2611.492   1.110481E-6
     2611.866   1.109923E-6
      2612.24   1.109365E-6
     2612.616   1.108806E-6
     2612.991   1.108249E-6
     2613.366   1.107690E-6
     2613.741   1.107133E-6
     2614.115   1.106577E-6
     2614.492   1.106017E-6
     2614.868   1.105458E-6
     2615.242   1.104901E-6
     2615.617   1.104343E-6
     2615.993   1.103782E-6
     2616.368   1.103226E-6
     2616.743   1.102669E-6
     2617.119   1.102111E-6
     2617.495   1.101553E-6
     2617.871   1.100995E-6
     2618.248   1.100436E-6
     2618.623   1.099878E-6
     2618.998   1.099320E-6
     2619.375   1.098763E-6
      2619.75   1.098207E-6
     2620.125   1.097649E-6
     2620.502   1.097082E-6
     2620.878   1.096517E-6
     2621.253   1.095954E-6
     2621.632   1.095386E-6
     2622.008   1.094823E-6
     2622.383   1.094258E-6
      2622.76   1.093691E-6
     2623.136   1.093128E-6
     2623.512   1.092568E-6
      2623.89   1.092005E-6
     2624.266   1.091441E-6
     2624.643   1.090873E-6
     2625.019   1.090307E-6
     2625.397   1.089741E-6
     2625.773   1.089176E-6
     2626.151   1.088612E-6
     2626.527   1.088051E-6
     2626.903   1.087491E-6
     2627.281   1.086925E-6
     2627.658   1.086359E-6
     2628.034   1.085794E-6
     2628.412   1.085231E-6
      2628.79   1.084668E-6
     2629.167   1.084106E-6
     2629.544   1.083543E-6
     2629.922   1.082978E-6
     2630.299   1.082433E-6
     2630.676   1.081893E-6
     2631.054   1.081351E-6
     2631.433   1.080810E-6
      2631.81   1.080271E-6
     2632.188   1.079730E-6
     2632.565   1.079193E-6
     2632.943   1.078655E-6
     2633.321   1.078114E-6
     2633.699   1.077573E-6
     2634.076   1.077033E-6
     2634.455   1.076491E-6
     2634.833   1.075951E-6
     2635.211   1.075409E-6
     2635.591   1.074868E-6
     2635.968   1.074330E-6
     2636.346   1.073792E-6
     2636.725   1.073253E-6
     2637.103   1.072714E-6
     2637.481   1.072175E-6
      2637.86   1.071632E-6
      2638.24   1.071091E-6
     2638.618   1.070553E-6
     2638.997   1.070012E-6
     2639.375   1.069474E-6
     2639.754   1.068937E-6
     2640.133   1.068385E-6
     2640.512   1.067812E-6
      2640.89   1.067239E-6
      2641.27   1.066666E-6
     2641.648   1.066095E-6
     2642.028   1.065523E-6
     2642.407   1.064952E-6
     2642.787   1.064378E-6
     2643.166   1.063805E-6
     2643.546   1.063229E-6
     2643.925   1.062655E-6
     2644.303   1.062084E-6
     2644.684   1.061510E-6
     2645.064   1.060937E-6
     2645.443   1.060367E-6
     2645.823   1.059797E-6
     2646.203   1.059225E-6
     2646.582   1.058654E-6
     2646.961   1.058083E-6
     2647.342   1.057510E-6
     2647.721   1.056939E-6
     2648.101   1.056369E-6
     2648.482   1.055795E-6
     2648.863   1.055223E-6
     2649.242   1.054652E-6
     2649.624   1.054079E-6
     2650.003   1.053509E-6
     2650.383   1.052960E-6
     2650.764   1.052409E-6
     2651.144   1.051861E-6
     2651.524   1.051312E-6
     2651.905   1.050762E-6
     2652.287   1.050213E-6
     2652.667   1.049665E-6
     2653.048   1.049116E-6
     2653.428   1.048566E-6
     2653.809   1.048017E-6
      2654.19   1.047465E-6
     2654.571   1.046917E-6
     2654.951   1.046369E-6
     2655.333   1.045819E-6
     2655.715   1.045268E-6
     2656.095   1.044721E-6
     2656.478   1.044170E-6
     2656.858   1.043622E-6
     2657.239   1.043074E-6
     2657.621   1.042524E-6
     2658.002   1.041976E-6
     2658.383   1.041429E-6
     2658.765   1.040881E-6
     2659.148   1.040331E-6
     2659.529   1.039783E-6
      2659.91   1.039235E-6
     2660.292   1.038690E-6
     2660.674   1.038149E-6
     2661.055   1.037607E-6
     2661.438   1.037063E-6
     2661.819   1.036521E-6
     2662.202   1.035978E-6
     2662.585   1.035434E-6
     2662.966   1.034893E-6
     2663.348   1.034351E-6
     2663.731   1.033808E-6
     2664.113   1.033267E-6
     2664.495   1.032726E-6
     2664.878   1.032184E-6
      2665.26   1.031643E-6
     2665.642   1.031102E-6
     2666.026   1.030556E-6
     2666.408   1.030012E-6
     2666.791   1.029468E-6
     2667.174   1.028924E-6
     2667.556   1.028384E-6
     2667.939   1.027844E-6
     2668.322   1.027301E-6
     2668.705   1.026759E-6
     2669.087   1.026218E-6
     2669.473   1.025673E-6
     2669.855   1.025132E-6
     2670.238   1.024593E-6
     2670.622   1.024053E-6
     2671.004   1.023516E-6
     2671.387   1.022978E-6
     2671.771   1.022438E-6
     2672.154   1.021900E-6
     2672.537   1.021362E-6
     2672.922   1.020820E-6
