WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f660n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 8.985290E-18
PIVWV    r 6599.095
BANDW    r 74.61987
TPEAK    r 0.2071874
EQUVW    r 7.40532
RECTW    r 35.74213
EMFLX    r 3.268772E-16
        2500.   5.179519E-7
     2500.365   5.178911E-7
     2500.731   5.178298E-7
     2501.096   5.177689E-7
     2501.463   5.177075E-7
      2501.83   5.176462E-7
     2502.196   5.175849E-7
     2502.562   5.175239E-7
     2502.929   5.174624E-7
     2503.294   5.174007E-7
     2503.661   5.173388E-7
     2504.027   5.172770E-7
     2504.394   5.172155E-7
      2504.76   5.171543E-7
     2505.127   5.170927E-7
     2505.494   5.170313E-7
      2505.86   5.169698E-7
     2506.227   5.169079E-7
     2506.593   5.168459E-7
     2506.961   5.167837E-7
     2507.327   5.167227E-7
     2507.694   5.166615E-7
     2508.061   5.166003E-7
     2508.428   5.165373E-7
     2508.796   5.164744E-7
     2509.162   5.164123E-7
      2509.53   5.163511E-7
     2509.896   5.162902E-7
     2510.264   5.162410E-7
     2510.631   5.161968E-7
     2510.999   5.161523E-7
     2511.366   5.161075E-7
     2511.735   5.160623E-7
     2512.102   5.160176E-7
      2512.47   5.159730E-7
     2512.837   5.159285E-7
     2513.204   5.158840E-7
     2513.573   5.158388E-7
      2513.94   5.157937E-7
     2514.308   5.157495E-7
     2514.676   5.157055E-7
     2515.045   5.156611E-7
     2515.413   5.156159E-7
     2515.781   5.155706E-7
     2516.149   5.155258E-7
     2516.518   5.154816E-7
     2516.885   5.154375E-7
     2517.254   5.153920E-7
     2517.622   5.153460E-7
      2517.99   5.153002E-7
      2518.36   5.152555E-7
     2518.728   5.152112E-7
     2519.097   5.151667E-7
     2519.465   5.151218E-7
     2519.834   5.150769E-7
     2520.202   5.150261E-7
     2520.572   5.149706E-7
      2520.94   5.149151E-7
     2521.309   5.148603E-7
     2521.679   5.148059E-7
     2522.047   5.147514E-7
     2522.417   5.146964E-7
     2522.785   5.146414E-7
     2523.155   5.145862E-7
     2523.523   5.145312E-7
     2523.893   5.144760E-7
     2524.262   5.144200E-7
     2524.632   5.143635E-7
     2525.002   5.143070E-7
     2525.371   5.142524E-7
     2525.741   5.141977E-7
      2526.11   5.141429E-7
      2526.48   5.140874E-7
     2526.849   5.140321E-7
     2527.219   5.139763E-7
     2527.589   5.139204E-7
     2527.959   5.138643E-7
      2528.33   5.138091E-7
       2528.7   5.137542E-7
      2529.07   5.136991E-7
      2529.44   5.136434E-7
      2529.81   5.135879E-7
     2530.181   5.135367E-7
      2530.55   5.134904E-7
      2530.92   5.134441E-7
     2531.291   5.133980E-7
     2531.662   5.133521E-7
     2532.033   5.133060E-7
     2532.403   5.132588E-7
     2532.774   5.132116E-7
     2533.144   5.131645E-7
     2533.515   5.131171E-7
     2533.885   5.130699E-7
     2534.256   5.130233E-7
     2534.626   5.129773E-7
     2534.998   5.129311E-7
      2535.37   5.128836E-7
      2535.74   5.128364E-7
     2536.112   5.127891E-7
     2536.482   5.127429E-7
     2536.854   5.126965E-7
     2537.224   5.126499E-7
     2537.596   5.126029E-7
     2537.967   5.125560E-7
     2538.339   5.125095E-7
     2538.711   5.124629E-7
     2539.082   5.124162E-7
     2539.454   5.123685E-7
     2539.825   5.123208E-7
     2540.197   5.122713E-7
     2540.568   5.122205E-7
      2540.94   5.121694E-7
     2541.312   5.121175E-7
     2541.684   5.120651E-7
     2542.057   5.120127E-7
     2542.429   5.119604E-7
     2542.801   5.119082E-7
     2543.173   5.118565E-7
     2543.545   5.118061E-7
     2543.916   5.117557E-7
     2544.289   5.117034E-7
     2544.661   5.116510E-7
     2545.035   5.115983E-7
     2545.407   5.115472E-7
      2545.78   5.114957E-7
     2546.152   5.114442E-7
     2546.525   5.113921E-7
     2546.897   5.113400E-7
      2547.27   5.112880E-7
     2547.642   5.112360E-7
     2548.016   5.111838E-7
     2548.388   5.111324E-7
     2548.761   5.110807E-7
     2549.135   5.110286E-7
     2549.507   5.109758E-7
     2549.881   5.109229E-7
     2550.253   5.108726E-7
     2550.627   5.108232E-7
        2551.   5.107738E-7
     2551.374   5.107232E-7
     2551.746   5.106727E-7
      2552.12   5.106222E-7
     2552.494   5.105720E-7
     2552.867   5.105221E-7
     2553.241   5.104723E-7
     2553.614   5.104228E-7
     2553.989   5.103731E-7
     2554.362   5.103231E-7
     2554.736   5.102727E-7
     2555.109   5.102225E-7
     2555.485   5.101721E-7
     2555.858   5.101218E-7
     2556.231   5.100719E-7
     2556.606   5.100221E-7
     2556.979   5.099723E-7
     2557.354   5.099218E-7
     2557.728   5.098716E-7
     2558.103   5.098210E-7
     2558.476   5.097705E-7
     2558.853   5.097197E-7
     2559.226   5.096696E-7
     2559.602   5.096195E-7
     2559.975   5.095696E-7
     2560.351   5.095144E-7
     2560.725   5.094591E-7
       2561.1   5.094034E-7
     2561.474   5.093474E-7
     2561.848   5.092914E-7
     2562.225   5.092356E-7
     2562.599   5.091809E-7
     2562.975   5.091258E-7
     2563.349   5.090708E-7
     2563.725   5.090157E-7
     2564.099   5.089604E-7
     2564.475   5.089040E-7
      2564.85   5.088478E-7
     2565.226   5.087923E-7
     2565.602   5.087376E-7
     2565.976   5.086832E-7
     2566.353   5.086272E-7
     2566.727   5.085715E-7
     2567.104   5.085154E-7
     2567.479   5.084589E-7
     2567.855   5.084024E-7
      2568.23   5.083469E-7
     2568.606   5.082920E-7
     2568.983   5.082372E-7
     2569.358   5.081811E-7
     2569.735   5.081250E-7
      2570.11   5.080702E-7
     2570.487   5.080184E-7
     2570.862   5.079665E-7
     2571.239   5.079140E-7
     2571.614   5.078610E-7
     2571.991   5.078078E-7
     2572.368   5.077558E-7
     2572.745   5.077038E-7
     2573.121   5.076516E-7
     2573.498   5.075983E-7
     2573.874   5.075451E-7
      2574.25   5.074926E-7
     2574.627   5.074405E-7
     2575.003   5.073885E-7
     2575.381   5.073369E-7
     2575.758   5.072853E-7
     2576.136   5.072330E-7
     2576.512   5.071796E-7
      2576.89   5.071262E-7
     2577.266   5.070730E-7
     2577.644   5.070200E-7
     2578.021   5.069672E-7
     2578.398   5.069154E-7
     2578.775   5.068638E-7
     2579.153   5.068113E-7
     2579.531   5.067582E-7
     2579.908   5.067051E-7
     2580.286   5.066510E-7
     2580.663   5.065968E-7
     2581.041   5.065423E-7
     2581.418   5.064887E-7
     2581.796   5.064348E-7
     2582.173   5.063807E-7
     2582.552   5.063260E-7
      2582.93   5.062715E-7
     2583.308   5.062176E-7
     2583.686   5.061635E-7
     2584.064   5.061096E-7
     2584.442   5.060554E-7
      2584.82   5.060015E-7
     2585.199   5.059473E-7
     2585.576   5.058933E-7
     2585.957   5.058388E-7
     2586.334   5.057843E-7
