WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,ccd,f28x50lp
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.637050E-19
PIVWV    r 7218.918
BANDW    r 1140.357
TPEAK    r 0.1240126
EQUVW    r 366.392
RECTW    r 2954.473
EMFLX    r 6.195580E-16
     5076.869   2.595908E-5
     5077.268   2.611401E-5
     5077.672   2.627123E-5
      5078.07   2.642617E-5
     5078.472   2.658458E-5
     5078.871   2.674365E-5
      5079.27   2.690292E-5
     5079.671   2.706316E-5
      5080.07   2.722251E-5
     5080.471   2.738324E-5
      5080.87   2.754300E-5
     5081.275   2.770923E-5
     5081.674   2.787524E-5
     5082.075   2.804227E-5
     5082.474   2.820828E-5
     5082.874   2.837451E-5
     5083.275   2.854157E-5
     5083.674   2.870781E-5
     5084.076   2.888006E-5
     5084.475   2.905235E-5
      5084.88   2.922718E-5
     5085.279   2.939969E-5
     5085.681   2.957327E-5
     5086.081   2.974579E-5
      5086.48   2.991833E-5
     5086.882   3.009974E-5
     5087.281   3.028051E-5
     5087.684   3.046261E-5
     5088.083   3.064340E-5
     5088.488   3.082662E-5
     5088.887   3.100742E-5
      5089.29   3.118998E-5
     5089.689   3.137517E-5
     5090.089   3.156013E-5
     5090.491   3.174646E-5
     5090.891   3.193143E-5
     5091.293   3.211801E-5
     5091.693   3.230301E-5
     5092.098   3.249288E-5
     5092.498   3.268641E-5
     5092.901   3.288136E-5
       5093.3   3.307468E-5
       5093.7   3.326823E-5
     5094.103   3.346321E-5
     5094.503   3.365678E-5
     5094.906   3.385439E-5
     5095.306   3.405431E-5
     5095.711   3.425716E-5
     5096.111   3.445709E-5
     5096.514   3.465850E-5
     5096.915   3.485868E-5
     5097.314   3.505864E-5
     5097.717   3.526362E-5
     5098.118   3.546997E-5
     5098.521   3.567757E-5
     5098.921   3.588393E-5
     5099.327   3.609331E-5
     5099.727   3.629943E-5
      5100.13   3.650732E-5
     5100.531   3.671995E-5
     5100.931   3.693466E-5
     5101.334   3.715096E-5
     5101.735   3.736569E-5
     5102.138   3.758200E-5
     5102.539   3.779702E-5
     5102.945   3.801466E-5
     5103.346   3.823734E-5
     5103.749   3.846206E-5
      5104.15   3.868543E-5
      5104.55   3.890854E-5
     5104.954   3.913356E-5
     5105.355   3.935694E-5
     5105.758   3.958227E-5
     5106.159   3.981205E-5
     5106.566   4.004519E-5
     5106.967   4.027499E-5
     5107.371   4.050648E-5
     5107.771   4.073629E-5
     5108.172   4.096611E-5
     5108.576   4.119985E-5
     5108.977   4.143788E-5
     5109.381   4.167797E-5
     5109.782   4.191604E-5
     5110.189   4.215759E-5
      5110.59   4.239595E-5
     5110.994   4.263578E-5
     5111.396   4.287794E-5
     5111.797   4.312467E-5
     5112.201   4.337291E-5
     5112.602   4.361966E-5
     5113.006   4.386823E-5
     5113.408   4.411499E-5
     5113.815   4.436538E-5
     5114.216   4.461749E-5
     5114.621   4.487449E-5
     5115.022   4.512963E-5
     5115.424   4.538511E-5
     5115.828   4.564213E-5
      5116.23   4.589762E-5
     5116.634   4.615467E-5
     5117.036   4.641711E-5
      5117.44   4.668268E-5
     5117.845   4.694856E-5
      5118.25   4.721415E-5
     5118.651   4.747815E-5
     5119.053   4.774213E-5
     5119.458   4.800822E-5
      5119.86   4.828055E-5
     5120.265   4.855487E-5
     5120.667   4.882721E-5
     5121.074   4.910353E-5
     5121.477   4.937623E-5
     5121.881   4.965059E-5
     5122.283   4.992475E-5
     5122.686   5.020579E-5
      5123.09   5.048855E-5
     5123.493   5.076961E-5
     5123.897   5.105238E-5
       5124.3   5.133346E-5
     5124.705   5.161661E-5
      5125.11   5.190411E-5
     5125.515   5.219745E-5
     5125.918   5.248938E-5
      5126.32   5.278097E-5
     5126.726   5.307469E-5
     5127.128   5.336631E-5
     5127.533   5.366006E-5
     5127.936   5.395725E-5
     5128.344   5.426174E-5
     5128.747   5.456187E-5
     5129.152   5.486419E-5
     5129.555   5.516472E-5
     5129.958   5.546524E-5
     5130.363   5.576761E-5
     5130.766   5.607496E-5
     5131.171   5.638605E-5
     5131.574   5.669489E-5
      5131.98   5.700600E-5
     5132.386   5.731711E-5
     5132.792   5.762823E-5
     5133.194   5.793751E-5
     5133.597   5.825693E-5
     5134.003   5.857909E-5
     5134.406   5.889854E-5
     5134.812   5.922034E-5
     5135.215   5.954021E-5
     5135.624   5.986436E-5
     5136.027   6.018691E-5
     5136.433   6.051936E-5
     5136.836   6.084981E-5
      5137.24   6.118030E-5
     5137.646   6.151318E-5
     5138.049   6.184370E-5
     5138.456   6.217660E-5
     5138.859   6.251100E-5
     5139.265   6.285227E-5
     5139.671   6.319355E-5
     5140.078   6.353486E-5
     5140.481   6.387414E-5
     5140.885   6.421302E-5
     5141.291   6.455437E-5
     5141.695   6.490091E-5
     5142.102   6.525328E-5
     5142.505   6.560270E-5
     5142.915   6.595763E-5
     5143.318   6.630750E-5
     5143.725   6.665950E-5
     5144.128   6.700940E-5
     5144.532   6.736891E-5
     5144.939   6.773195E-5
     5145.343   6.809284E-5
      5145.75   6.845591E-5
     5146.154   6.881638E-5
     5146.561   6.917948E-5
     5146.967   6.954413E-5
     5147.375   6.991849E-5
     5147.778   7.028972E-5
     5148.183   7.066141E-5
      5148.59   7.103580E-5
     5148.994   7.140708E-5
     5149.401   7.178151E-5
     5149.805   7.215711E-5
     5150.215   7.254544E-5
      5150.62   7.292884E-5
     5151.027   7.331507E-5
     5151.431   7.369853E-5
     5151.835   7.408203E-5
     5152.243   7.446833E-5
     5152.647   7.486008E-5
     5153.055   7.525916E-5
     5153.459   7.565541E-5
     5153.867   7.605501E-5
     5154.274   7.645418E-5
     5154.682   7.685387E-5
     5155.086   7.725022E-5
     5155.491   7.765438E-5
     5155.898   7.806280E-5
     5156.303   7.846829E-5
     5156.711   7.887674E-5
     5157.116   7.928231E-5
     5157.523   7.969084E-5
     5157.931   8.010064E-5
     5158.339   8.052183E-5
     5158.744   8.093999E-5
     5159.149   8.135871E-5
     5159.557   8.177997E-5
     5159.962   8.219876E-5
      5160.37   8.261877E-5
     5160.775   8.303973E-5
     5161.183   8.347031E-5
     5161.591   8.390142E-5
     5161.999   8.433255E-5
     5162.404   8.476059E-5
     5162.812   8.519176E-5
     5163.218   8.561985E-5
     5163.623   8.605541E-5
     5164.031   8.649929E-5
     5164.437   8.694001E-5
     5164.845   8.738395E-5
     5165.253   8.782790E-5
     5165.662   8.827240E-5
     5166.067   8.871319E-5
     5166.473   8.916362E-5
     5166.881   8.961842E-5
     5167.287   9.007055E-5
     5167.695   9.052592E-5
     5168.101   9.097807E-5
     5168.509   9.143296E-5
     5168.918   9.188976E-5
     5169.327   9.235784E-5
     5169.732   9.282258E-5
     5170.141   9.329069E-5
     5170.547   9.375600E-5
     5170.953   9.422080E-5
     5171.362   9.468895E-5
     5171.768   9.515895E-5
     5172.177   9.563991E-5
     5172.585   9.612089E-5
     5172.995   9.660247E-5
       5173.4   9.708005E-5
     5173.807   9.755823E-5
     5174.216   9.803985E-5
     5174.622   9.852624E-5
     5175.031   9.902096E-5
     5175.437   9.951218E-5
     5175.847   1.000069E-4
     5176.256   1.005017E-4
     5176.665   1.009965E-4
     5177.071   1.014878E-4
     5177.478   1.019885E-4
     5177.887   1.024943E-4
     5178.293   1.029960E-4
     5178.703   1.035019E-4
     5179.109   1.040036E-4
     5179.519   1.045096E-4
     5179.928   1.050176E-4
     5180.338   1.055385E-4
     5180.745   1.060557E-4
     5181.151   1.065730E-4
     5181.561   1.070940E-4
     5181.968   1.076113E-4
     5182.377   1.081323E-4
     5182.784   1.086544E-4
     5183.194   1.091864E-4
     5183.604   1.097183E-4
     5184.014   1.102510E-4
      5184.42   1.107792E-4
     5184.828   1.113081E-4
     5185.237   1.118401E-4
     5185.645   1.123797E-4
     5186.055   1.129272E-4
     5186.461   1.134702E-4
     5186.872   1.140177E-4
     5187.282   1.145653E-4
     5187.692   1.151129E-4
     5188.099   1.156568E-4
     5188.506   1.162133E-4
     5188.917   1.167739E-4
     5189.324   1.173305E-4
     5189.734   1.178919E-4
     5190.142   1.184485E-4
     5190.552   1.190092E-4
     5190.962   1.195751E-4
     5191.373   1.201509E-4
      5191.78   1.207233E-4
     5192.188   1.212957E-4
     5192.598   1.218716E-4
     5193.006   1.224441E-4
     5193.417   1.230207E-4
     5193.824   1.236006E-4
     5194.235   1.241899E-4
     5194.646   1.247793E-4
     5195.056   1.253686E-4
     5195.464   1.259538E-4
     5195.872   1.265390E-4
     5196.283   1.271291E-4
      5196.69   1.277256E-4
     5197.102   1.283287E-4
     5197.509   1.289267E-4
      5197.92   1.295298E-4
     5198.328   1.301279E-4
     5198.742   1.307354E-4
      5199.15   1.313369E-4
     5199.559   1.319507E-4
      5199.97   1.325689E-4
     5200.378   1.331850E-4
     5200.789   1.338057E-4
     5201.197   1.344220E-4
     5201.608   1.350429E-4
      5202.02   1.356710E-4
     5202.431   1.363073E-4
     5202.839   1.369398E-4
     5203.248   1.375716E-4
     5203.659   1.382088E-4
     5204.067   1.388407E-4
     5204.479   1.394779E-4
     5204.888   1.401171E-4
     5205.299   1.407620E-4
     5205.708   1.414030E-4
     5206.122   1.420533E-4
     5206.531   1.426945E-4
     5206.939   1.433357E-4
     5207.351   1.439839E-4
      5207.76   1.446516E-4
     5208.172   1.453233E-4
     5208.581   1.459904E-4
     5208.992   1.466622E-4
     5209.404   1.473349E-4
     5209.816   1.480069E-4
     5210.225   1.486734E-4
     5210.637   1.493430E-4
     5211.046   1.500086E-4
     5211.455   1.506743E-4
     5211.867   1.513447E-4
     5212.276   1.520104E-4
     5212.688   1.526809E-4
     5213.098   1.533771E-4
     5213.513   1.540956E-4
     5213.922   1.548040E-4
     5214.331   1.555125E-4
     5214.743   1.562260E-4
     5215.153   1.569354E-4
     5215.565   1.576490E-4
     5215.975   1.583583E-4
     5216.387   1.590718E-4
     5216.799   1.597863E-4
     5217.212   1.605007E-4
     5217.621   1.612093E-4
     5218.034   1.619238E-4
     5218.443   1.626333E-4
     5218.853   1.633431E-4
     5219.266   1.640579E-4
     5219.675   1.647677E-4
     5220.088   1.654826E-4
     5220.498   1.661933E-4
     5220.914   1.669134E-4
     5221.323   1.676378E-4
     5221.733   1.683697E-4
     5222.146   1.691060E-4
