WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f547m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 7.691164E-18
PIVWV    r 5483.873
BANDW    r 205.5184
TPEAK    r 0.01630851
EQUVW    r 10.40373
RECTW    r 637.9322
EMFLX    r 4.990218E-15
      1920.92   5.835413E-9
     1921.263   6.345964E-9
     1921.605   6.857305E-9
     1921.948   7.369619E-9
     1922.291   7.882722E-9
     1922.633   8.395152E-9
     1922.976   8.910201E-9
     1923.319   9.426040E-9
     1923.661   9.941020E-9
     1924.005   1.045863E-8
     1924.348   1.097721E-8
     1924.692   1.149659E-8
     1925.035   1.201677E-8
     1925.377   1.253625E-8
     1925.721   1.305838E-8
     1926.064   1.358111E-8
     1926.407   1.410335E-8
     1926.751   1.462805E-8
     1927.095   1.515373E-8
     1927.438   1.567853E-8
     1927.782   1.620749E-8
     1928.126   1.673575E-8
     1928.469   1.726313E-8
     1928.813   1.779317E-8
     1929.158   1.832420E-8
     1929.501   1.885434E-8
     1929.845   1.938697E-8
     1930.189   2.159405E-8
     1930.533   2.516376E-8
     1930.878   2.876192E-8
     1931.223   3.235422E-8
     1931.566   3.594190E-8
     1931.911   3.954790E-8
     1932.255   4.314797E-8
     1932.599   4.676513E-8
     1932.944   5.038917E-8
     1933.289   5.402010E-8
     1933.633   5.764502E-8
     1933.979   6.129874E-8
     1934.323   6.493744E-8
     1934.668   6.859204E-8
     1935.014   7.225357E-8
     1935.358   7.591032E-8
     1935.703   7.958435E-8
     1936.049   8.326399E-8
     1936.393   8.693885E-8
     1936.739   9.063234E-8
     1937.085   9.434325E-8
      1937.43   9.803620E-8
     1937.775   1.017479E-7
     1938.121   1.054666E-7
     1938.466   1.091790E-7
     1938.812   1.129103E-7
     1939.158   1.166472E-7
     1939.503   1.203791E-7
     1939.849   1.241287E-7
     1940.195   1.254714E-7
     1940.541   1.249444E-7
     1940.887   1.244161E-7
     1941.233   1.238887E-7
     1941.579   1.233584E-7
     1941.926   1.228271E-7
     1942.272   1.222949E-7
     1942.618   1.217630E-7
     1942.964   1.212286E-7
     1943.311   1.206931E-7
     1943.658   1.201565E-7
     1944.004   1.196188E-7
      1944.35   1.190818E-7
     1944.697   1.185420E-7
     1945.044   1.180011E-7
      1945.39   1.174609E-7
     1945.737   1.169179E-7
     1946.084   1.163739E-7
     1946.432   1.158288E-7
     1946.779   1.152825E-7
     1947.126   1.147354E-7
     1947.473   1.141887E-7
      1947.82   1.136394E-7
     1948.168   1.130888E-7
     1948.514   1.125389E-7
     1948.862   1.119863E-7
      1949.21   1.114328E-7
     1949.558   1.108779E-7
     1949.905   1.103222E-7
     1950.252   1.074803E-7
       1950.6   1.037640E-7
     1950.948   1.000419E-7
     1951.295   9.632429E-8
     1951.644   9.258899E-8
     1951.992   8.884646E-8
     1952.339   8.510981E-8
     1952.688   8.134226E-8
     1953.037   7.758060E-8
     1953.384   7.382354E-8
     1953.733   7.004736E-8
     1954.081   6.626654E-8
     1954.429   6.248906E-8
     1954.778   5.869369E-8
     1955.127   5.489237E-8
     1955.474   5.109574E-8
     1955.823   4.727983E-8
     1956.173   4.344724E-8
     1956.521   3.963008E-8
      1956.87   3.579490E-8
      1957.22   3.195375E-8
     1957.568   2.811737E-8
     1957.917   2.426157E-8
     1958.266   2.039977E-8
     1958.615   1.654280E-8
     1958.965   1.265685E-8
     1959.314   8.786562E-9
     1959.663   4.898080E-9
     1960.013   1.169958E-9
     1960.362   1.724660E-9
     1960.712   2.281778E-9
     1961.061   2.839954E-9
     1961.411   3.399188E-9
      1961.76   3.957528E-9
      1962.11   4.518685E-9
      1962.46   5.080708E-9
     1962.811   5.643595E-9
     1963.161   6.207546E-9
      1963.51   6.770786E-9
      1963.86   7.336664E-9
     1964.211   7.903608E-9
      1964.56   8.469640E-9
     1964.911   9.038515E-9
     1965.262   9.610045E-9
     1965.612   1.017907E-8
     1965.963   1.075075E-8
     1966.314   1.132351E-8
     1966.663   1.189533E-8
     1967.014   1.247002E-8
     1967.365   1.304559E-8
     1967.715   1.362041E-8
     1968.066   1.419792E-8
     1968.417   1.477650E-8
     1968.769   1.535595E-8
      1969.12   1.593648E-8
      1969.47   1.651627E-8
     1969.822   1.709854E-8
     1970.173   1.714932E-8
     1970.524   1.665275E-8
     1970.875   1.615384E-8
     1971.227   1.565396E-8
     1971.579   1.515329E-8
      1971.93   1.465165E-8
     1972.282   1.414904E-8
     1972.633   1.364722E-8
     1972.985   1.314303E-8
     1973.337   1.263787E-8
     1973.688   1.213332E-8
      1974.04   1.162639E-8
     1974.393   1.111868E-8
     1974.744   1.061140E-8
     1975.097   1.010033E-8
      1975.45   9.589867E-9
     1975.801   9.080027E-9
     1976.154   8.567801E-9
     1976.506   8.054773E-9
     1976.858   7.542197E-9
     1977.211   7.027399E-9
     1977.563   6.511623E-9
     1977.916   5.994870E-9
     1978.269   5.477316E-9
     1978.621   4.960398E-9
     1978.974   4.441066E-9
     1979.327   3.920753E-9
     1979.679   3.401261E-9
     1980.033   2.920030E-9
     1980.386   2.840417E-9
     1980.738   2.760898E-9
     1981.092   2.680978E-9
     1981.446   2.600711E-9
     1981.799   2.520759E-9
     1982.152   2.440434E-9
     1982.506   2.359982E-9
     1982.859   2.279626E-9
     1983.212   2.198894E-9
     1983.566   2.118007E-9
     1983.919   2.037218E-9
     1984.274   1.955799E-9
     1984.628   1.874505E-9
     1984.981   1.793310E-9
     1985.336   1.711706E-9
      1985.69   1.629976E-9
     1986.043   1.548373E-9
     1986.397   1.466333E-9
     1986.752   1.384195E-9
     1987.105   1.302157E-9
      1987.46   1.219707E-9
     1987.814   1.137131E-9
     1988.169   1.054399E-9
     1988.524  9.715401E-10
     1988.878  8.887822E-10
     1989.233  8.056398E-10
     1989.588  7.223416E-10
     1989.941  6.391738E-10
     1990.297  6.260992E-10
     1990.652  6.269475E-10
     1991.007  6.277968E-10
     1991.362  6.286466E-10
     1991.717  6.294973E-10
     1992.072  6.303462E-10
     1992.427  6.311985E-10
     1992.783  6.320516E-10
     1993.137  6.329025E-10
     1993.493  6.337572E-10
     1993.849  6.346125E-10
     1994.204  6.354686E-10
      1994.56  6.363255E-10
     1994.915  6.371805E-10
     1995.271  6.380390E-10
     1995.627  6.388978E-10
     1995.983  6.397579E-10
     1996.338  6.406159E-10
     1996.694  6.414774E-10
     1997.051  6.423397E-10
     1997.407  6.432027E-10
     1997.763  6.440666E-10
     1998.119  6.449283E-10
     1998.475  6.457937E-10
     1998.832  6.466598E-10
     1999.187  6.475239E-10
     1999.544  6.483916E-10
     1999.901  6.492600E-10
     2000.257  7.318816E-10
     2000.615  8.470074E-10
     2000.972  9.619862E-10
     2001.328   1.076855E-9
     2001.685   1.192285E-9
     2002.042   1.307961E-9
     2002.398   1.423526E-9
     2002.755   1.539654E-9
     2003.113   1.655988E-9
     2003.469   1.772212E-9
     2003.828   1.889400E-9
     2004.184   2.006076E-9
     2004.542   2.123360E-9
     2004.899   2.240852E-9
     2005.256   2.358189E-9
     2005.614   2.476138E-9
     2005.972   2.594333E-9
     2006.329   2.712738E-9
     2006.686   2.831028E-9
     2007.046   2.950256E-9
     2007.403   3.069004E-9
     2007.761   3.188326E-9
     2008.119   3.307898E-9
     2008.476   3.427313E-9
     2008.835   3.547345E-9
     2009.193   3.667628E-9
      2009.55   3.787712E-9
     2009.909   3.908456E-9
     2010.269   4.687986E-9
     2010.626   5.685659E-9
     2010.985   6.688526E-9
     2011.344   7.693522E-9
     2011.702   8.697225E-9
     2012.061   9.705799E-9
