WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f775w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.006545E-19
PIVWV    r 7693.018
BANDW    r 434.5953
TPEAK    r 0.4286797
EQUVW    r 566.1641
RECTW    r 1320.716
EMFLX    r 1.464063E-16
        4000.   1.659310E-7
     4000.385   1.661888E-7
      4000.77   1.664465E-7
     4001.156   1.667056E-7
     4001.541   1.669635E-7
     4001.927   1.672229E-7
     4002.312   1.674812E-7
     4002.696   1.677396E-7
     4003.081   1.679982E-7
     4003.468   1.682586E-7
     4003.852   1.685175E-7
     4004.237   1.687768E-7
     4004.622   1.690361E-7
     4005.006   1.692956E-7
     4005.393   1.695568E-7
      4005.78   1.698182E-7
     4006.165   1.700781E-7
      4006.55   1.703385E-7
     4006.935   1.705989E-7
      4007.32   1.708596E-7
     4007.707   1.711220E-7
     4008.092   1.713831E-7
     4008.477   1.716447E-7
     4008.865   1.719077E-7
      4009.25   1.721695E-7
     4009.637   1.724329E-7
     4010.022   1.726946E-7
     4010.408   1.729518E-7
     4010.793   1.732090E-7
     4011.178   1.734665E-7
     4011.564   1.737243E-7
     4011.951   1.739835E-7
     4012.339   1.742430E-7
     4012.724   1.745012E-7
      4013.11   1.747595E-7
     4013.495   1.750181E-7
     4013.883   1.752785E-7
     4014.269   1.755374E-7
     4014.655   1.757967E-7
      4015.04   1.760561E-7
     4015.426   1.763156E-7
     4015.814   1.765768E-7
     4016.202   1.768381E-7
     4016.588   1.770979E-7
     4016.974   1.773581E-7
      4017.36   1.776186E-7
     4017.746   1.778791E-7
     4018.134   1.781414E-7
      4018.52   1.784024E-7
     4018.906   1.786634E-7
     4019.294   1.789264E-7
     4019.681   1.791881E-7
     4020.067   1.794513E-7
     4020.455   1.797240E-7
     4020.842   1.799956E-7
     4021.228   1.802672E-7
     4021.614   1.805390E-7
        4022.   1.808111E-7
     4022.389   1.810850E-7
     4022.778   1.813591E-7
     4023.164   1.816318E-7
     4023.551   1.819048E-7
     4023.937   1.821780E-7
     4024.324   1.824514E-7
     4024.713   1.827266E-7
       4025.1   1.830004E-7
     4025.486   1.832744E-7
     4025.873   1.835485E-7
     4026.262   1.838244E-7
     4026.649   1.840990E-7
     4027.038   1.843754E-7
     4027.425   1.846505E-7
     4027.812   1.849258E-7
     4028.199   1.852012E-7
     4028.586   1.854769E-7
     4028.975   1.857545E-7
     4029.362   1.860306E-7
     4029.751   1.863085E-7
     4030.139   1.865814E-7
     4030.526   1.868478E-7
     4030.913   1.871147E-7
     4031.302   1.873833E-7
      4031.69   1.876505E-7
     4032.077   1.879180E-7
     4032.465   1.881857E-7
     4032.852   1.884534E-7
     4033.244   1.887244E-7
     4033.631   1.889924E-7
     4034.019   1.892605E-7
     4034.406   1.895292E-7
     4034.794   1.897977E-7
     4035.184   1.900682E-7
     4035.572   1.903374E-7
     4035.959   1.906067E-7
     4036.347   1.908763E-7
     4036.737   1.911474E-7
     4037.125   1.914172E-7
     4037.515   1.916886E-7
     4037.903   1.919589E-7
     4038.291   1.922293E-7
     4038.679   1.925000E-7
     4039.067   1.927708E-7
     4039.457   1.930432E-7
     4039.845   1.933144E-7
     4040.236   1.935821E-7
     4040.624   1.938451E-7
     4041.012   1.941082E-7
       4041.4   1.943715E-7
     4041.791   1.946366E-7
     4042.179   1.949002E-7
     4042.567   1.951639E-7
     4042.956   1.954278E-7
     4043.344   1.956920E-7
     4043.735   1.959578E-7
     4044.126   1.962240E-7
     4044.514   1.964886E-7
     4044.903   1.967535E-7
     4045.291   1.970184E-7
      4045.68   1.972835E-7
     4046.071   1.975503E-7
      4046.46   1.978158E-7
     4046.848   1.980814E-7
      4047.24   1.983488E-7
     4047.628   1.986147E-7
     4048.017   1.988810E-7
     4048.408   1.991488E-7
     4048.797   1.994155E-7
     4049.186   1.996821E-7
     4049.575   1.999488E-7
     4049.964   2.002158E-7
     4050.356   2.004778E-7
     4050.745   2.007378E-7
     4051.136   2.009994E-7
     4051.525   2.012596E-7
     4051.915   2.015201E-7
     4052.304   2.017805E-7
     4052.696   2.020428E-7
     4053.085   2.023037E-7
     4053.474   2.025646E-7
     4053.864   2.028257E-7
     4054.253   2.030869E-7
     4054.647   2.033513E-7
     4055.037   2.036130E-7
     4055.426   2.038748E-7
     4055.816   2.041368E-7
     4056.206   2.043989E-7
     4056.595   2.046611E-7
     4056.987   2.049249E-7
     4057.377   2.051876E-7
     4057.767   2.054503E-7
     4058.159   2.057146E-7
     4058.549   2.059776E-7
     4058.941   2.062420E-7
     4059.331   2.065053E-7
     4059.721   2.067684E-7
     4060.111   2.070345E-7
     4060.501   2.073074E-7
     4060.891   2.075805E-7
     4061.284   2.078549E-7
     4061.676   2.081294E-7
     4062.066   2.084025E-7
     4062.457   2.086761E-7
     4062.847   2.089499E-7
      4063.24   2.092253E-7
      4063.63   2.094993E-7
      4064.02   2.097736E-7
     4064.411   2.100479E-7
     4064.801   2.103225E-7
     4065.194   2.105986E-7
     4065.587   2.108751E-7
     4065.977   2.111501E-7
     4066.368   2.114253E-7
     4066.759   2.117007E-7
     4067.149   2.119763E-7
     4067.542   2.122536E-7
     4067.933   2.125294E-7
     4068.324   2.128055E-7
     4068.717   2.130834E-7
     4069.108   2.133599E-7
     4069.499   2.136366E-7
     4069.892   2.139149E-7
     4070.283   2.141957E-7
     4070.674   2.144781E-7
     4071.065   2.147606E-7
     4071.457   2.150434E-7
      4071.85   2.153278E-7
     4072.243   2.156125E-7
     4072.635   2.158956E-7
     4073.026   2.161790E-7
     4073.417   2.164627E-7
     4073.809   2.167465E-7
     4074.202   2.170320E-7
     4074.594   2.173161E-7
     4074.985   2.176005E-7
     4075.376   2.178853E-7
      4075.77   2.181720E-7
     4076.162   2.184571E-7
     4076.556   2.187438E-7
     4076.948   2.190292E-7
     4077.339   2.193146E-7
     4077.731   2.196004E-7
     4078.123   2.198861E-7
     4078.517   2.201738E-7
     4078.908   2.204599E-7
     4079.303   2.207482E-7
     4079.695   2.210348E-7
     4080.086   2.213189E-7
     4080.479   2.215938E-7
     4080.873   2.218704E-7
     4081.265   2.221454E-7
     4081.657   2.224206E-7
     4082.049   2.226959E-7
     4082.441   2.229716E-7
     4082.838   2.232504E-7
      4083.23   2.235261E-7
     4083.623   2.238020E-7
     4084.015   2.240781E-7
     4084.407   2.243544E-7
       4084.8   2.246309E-7
     4085.194   2.249091E-7
     4085.587   2.251859E-7
     4085.979   2.254630E-7
     4086.374   2.257417E-7
     4086.767   2.260192E-7
     4087.162   2.262983E-7
     4087.554   2.265761E-7
     4087.947   2.268539E-7
      4088.34   2.271318E-7
     4088.733   2.274098E-7
     4089.128   2.276897E-7
     4089.521   2.279683E-7
     4089.916   2.282488E-7
     4090.309   2.285282E-7
