WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f658n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.357474E-18
PIVWV    r 6583.764
BANDW    r 57.86948
TPEAK    r 0.265051
EQUVW    r 19.86424
RECTW    r 74.94498
EMFLX    r 2.547792E-16
        2500.   6.474398E-7
     2500.356   6.473217E-7
     2500.715   6.472031E-7
     2501.072   6.470847E-7
      2501.43   6.469659E-7
     2501.788   6.468471E-7
     2502.147   6.467283E-7
     2502.504   6.466099E-7
     2502.863   6.464909E-7
      2503.22   6.463721E-7
     2503.579   6.462525E-7
     2503.936   6.461332E-7
     2504.295   6.460142E-7
     2504.652   6.458957E-7
     2505.011   6.457767E-7
      2505.37   6.456576E-7
     2505.728   6.455393E-7
     2506.087   6.454198E-7
     2506.445   6.453005E-7
     2506.804   6.451807E-7
     2507.162   6.450618E-7
     2507.521   6.449436E-7
     2507.879   6.448255E-7
     2508.238   6.447057E-7
     2508.597   6.445850E-7
     2508.956   6.444649E-7
     2509.315   6.443459E-7
     2509.673   6.442278E-7
     2510.033   6.441114E-7
     2510.391   6.440137E-7
     2510.751   6.439158E-7
     2511.109   6.438181E-7
      2511.47   6.437189E-7
     2511.829   6.436205E-7
     2512.187   6.435226E-7
     2512.548   6.434245E-7
     2512.906   6.433268E-7
     2513.266   6.432281E-7
     2513.625   6.431297E-7
     2513.985   6.430307E-7
     2514.344   6.429336E-7
     2514.706   6.428357E-7
     2515.065   6.427385E-7
     2515.425   6.426395E-7
     2515.784   6.425408E-7
     2516.145   6.424424E-7
     2516.504   6.423451E-7
     2516.863   6.422479E-7
     2517.224   6.421487E-7
     2517.583   6.420494E-7
     2517.945   6.419491E-7
     2518.305   6.418513E-7
     2518.666   6.417536E-7
     2519.025   6.416561E-7
     2519.386   6.415576E-7
     2519.746   6.414595E-7
     2520.107   6.413571E-7
     2520.466   6.412461E-7
     2520.828   6.411348E-7
     2521.189   6.410241E-7
     2521.549   6.409145E-7
      2521.91   6.408044E-7
      2522.27   6.406943E-7
     2522.631   6.405836E-7
     2522.991   6.404730E-7
     2523.353   6.403623E-7
     2523.713   6.402519E-7
     2524.075   6.401407E-7
     2524.437   6.400283E-7
     2524.797   6.399164E-7
     2525.159   6.398050E-7
     2525.519   6.396951E-7
     2525.881   6.395848E-7
     2526.242   6.394744E-7
     2526.604   6.393635E-7
     2526.964   6.392528E-7
     2527.326   6.391410E-7
     2527.688   6.390292E-7
     2528.049   6.389180E-7
     2528.412   6.388076E-7
     2528.772   6.386977E-7
     2529.135   6.385869E-7
     2529.496   6.384760E-7
     2529.858   6.383648E-7
     2530.219   6.382607E-7
     2530.582   6.381606E-7
     2530.945   6.380607E-7
     2531.307   6.379610E-7
     2531.669   6.378622E-7
     2532.031   6.377625E-7
     2532.393   6.376620E-7
     2532.754   6.375615E-7
     2533.117   6.374604E-7
     2533.479   6.373598E-7
     2533.842   6.372589E-7
     2534.205   6.371587E-7
     2534.568   6.370590E-7
      2534.93   6.369597E-7
     2535.293   6.368590E-7
     2535.655   6.367581E-7
     2536.018   6.366572E-7
      2536.38   6.365576E-7
     2536.744   6.364580E-7
     2537.106   6.363584E-7
     2537.469   6.362579E-7
     2537.833   6.361572E-7
     2538.195   6.360575E-7
     2538.559   6.359575E-7
     2538.921   6.358578E-7
     2539.285   6.357569E-7
     2539.648   6.356559E-7
     2540.012   6.355542E-7
     2540.374   6.354493E-7
     2540.738   6.353440E-7
     2541.102   6.352381E-7
     2541.465   6.351318E-7
     2541.829   6.350247E-7
     2542.192   6.349183E-7
     2542.556   6.348114E-7
     2542.919   6.347048E-7
     2543.284   6.345995E-7
     2543.647   6.344951E-7
     2544.012   6.343897E-7
     2544.376   6.342831E-7
     2544.739   6.341764E-7
     2545.104   6.340697E-7
     2545.467   6.339644E-7
     2545.832   6.338587E-7
     2546.195   6.337530E-7
      2546.56   6.336464E-7
     2546.923   6.335406E-7
     2547.288   6.334339E-7
     2547.653   6.333273E-7
     2548.018   6.332210E-7
     2548.382   6.331155E-7
     2548.747   6.330095E-7
     2549.111   6.329033E-7
     2549.475   6.327966E-7
      2549.84   6.326891E-7
     2550.204   6.325845E-7
      2550.57   6.324814E-7
     2550.935   6.323783E-7
     2551.301   6.322741E-7
     2551.665   6.321697E-7
     2552.031   6.320651E-7
     2552.395   6.319615E-7
      2552.76   6.318576E-7
     2553.125   6.317542E-7
     2553.491   6.316508E-7
     2553.855   6.315479E-7
     2554.221   6.314442E-7
     2554.587   6.313400E-7
     2554.952   6.312363E-7
     2555.318   6.311322E-7
     2555.683   6.310284E-7
     2556.049   6.309242E-7
     2556.414   6.308212E-7
      2556.78   6.307177E-7
     2557.145   6.306142E-7
     2557.511   6.305098E-7
     2557.878   6.304056E-7
     2558.243   6.303016E-7
      2558.61   6.301971E-7
     2558.975   6.300932E-7
     2559.342   6.299894E-7
     2559.707   6.298860E-7
     2560.074   6.297810E-7
     2560.439   6.296711E-7
     2560.806   6.295609E-7
     2561.173   6.294502E-7
     2561.539   6.293396E-7
     2561.906   6.292285E-7
     2562.271   6.291190E-7
     2562.638   6.290093E-7
     2563.004   6.289001E-7
     2563.372   6.287905E-7
     2563.738   6.286810E-7
     2564.106   6.285705E-7
     2564.472   6.284595E-7
      2564.84   6.283484E-7
     2565.206   6.282388E-7
     2565.572   6.281300E-7
      2565.94   6.280208E-7
     2566.306   6.279109E-7
     2566.674   6.278004E-7
      2567.04   6.276899E-7
     2567.409   6.275780E-7
     2567.776   6.274671E-7
     2568.144   6.273564E-7
      2568.51   6.272477E-7
     2568.878   6.271381E-7
     2569.245   6.270284E-7
     2569.613   6.269174E-7
      2569.98   6.268070E-7
     2570.347   6.267014E-7
     2570.717   6.265955E-7
     2571.083   6.264900E-7
     2571.452   6.263828E-7
     2571.819   6.262761E-7
     2572.187   6.261696E-7
     2572.555   6.260643E-7
     2572.923   6.259588E-7
     2573.291   6.258521E-7
     2573.659   6.257448E-7
     2574.028   6.256377E-7
     2574.396   6.255323E-7
     2574.764   6.254263E-7
     2575.132   6.253210E-7
     2575.501   6.252159E-7
     2575.869   6.251111E-7
     2576.238   6.250045E-7
     2576.605   6.248973E-7
     2576.975   6.247899E-7
     2577.344   6.246830E-7
     2577.713   6.245761E-7
     2578.081   6.244700E-7
     2578.449   6.243652E-7
     2578.819   6.242595E-7
     2579.187   6.241539E-7
     2579.556   6.240469E-7
     2579.925   6.239404E-7
     2580.294   6.238321E-7
     2580.664   6.237237E-7
     2581.034   6.236153E-7
     2581.402   6.235080E-7
     2581.772   6.234002E-7
     2582.141   6.232925E-7
     2582.509   6.231842E-7
     2582.879   6.230758E-7
     2583.248   6.229680E-7
     2583.618   6.228601E-7
     2583.989   6.227521E-7
     2584.359   6.226443E-7
