WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f555w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.955929E-19
PIVWV    r 5359.551
BANDW    r 360.0216
TPEAK    r 0.3709286
EQUVW    r 417.9305
RECTW    r 1126.714
EMFLX    r 2.346415E-16
        3480.   1.120213E-6
     3480.384   1.135274E-6
     3480.768   1.150380E-6
     3481.152   1.165533E-6
     3481.536   1.180742E-6
     3481.922   1.196066E-6
     3482.307   1.211366E-6
     3482.691   1.226713E-6
     3483.077   1.242184E-6
     3483.462   1.257635E-6
     3483.846   1.273122E-6
      3484.23   1.288666E-6
     3484.615   1.304257E-6
        3485.   1.319895E-6
     3485.386   1.335655E-6
     3485.771   1.351381E-6
     3486.155   1.367164E-6
      3486.54   1.382986E-6
     3486.925   1.398863E-6
     3487.309   1.414788E-6
     3487.694   1.430770E-6
     3488.081   1.446870E-6
     3488.466   1.462938E-6
     3488.853   1.479144E-6
     3489.238   1.495316E-6
     3489.623   1.511535E-6
     3490.008   1.527799E-6
     3490.393   1.544007E-6
     3490.778   1.560260E-6
     3491.163   1.576548E-6
     3491.549   1.592893E-6
     3491.934   1.609293E-6
     3492.321   1.625809E-6
     3492.707   1.642288E-6
     3493.092   1.658822E-6
     3493.479   1.675485E-6
     3493.865   1.692110E-6
      3494.25   1.708778E-6
     3494.636   1.725492E-6
     3495.022   1.742261E-6
     3495.407   1.759082E-6
     3495.795   1.776024E-6
     3496.181   1.792946E-6
     3496.567   1.809902E-6
     3496.952   1.826904E-6
     3497.338   1.843962E-6
     3497.724   1.861065E-6
      3498.11   1.878214E-6
     3498.498   1.895492E-6
     3498.884   1.912730E-6
     3499.272   1.930103E-6
     3499.658   1.947448E-6
     3500.045   1.964826E-6
     3500.431   1.982148E-6
     3500.817   1.999515E-6
     3501.203   2.016925E-6
      3501.59   2.034390E-6
     3501.976   2.051901E-6
     3502.363   2.069440E-6
     3502.751   2.087123E-6
     3503.138   2.104776E-6
     3503.524   2.122469E-6
     3503.911   2.140217E-6
     3504.299   2.158086E-6
     3504.686   2.175919E-6
     3505.073   2.193796E-6
      3505.46   2.211730E-6
     3505.846   2.229697E-6
     3506.235   2.247810E-6
     3506.622   2.265864E-6
     3507.009   2.283974E-6
     3507.396   2.302146E-6
     3507.783   2.320352E-6
      3508.17   2.338601E-6
     3508.557   2.356906E-6
     3508.945   2.375255E-6
     3509.334   2.393742E-6
     3509.723   2.412275E-6
      3510.11   2.430703E-6
     3510.498   2.449042E-6
     3510.885   2.467424E-6
     3511.272   2.485849E-6
      3511.66   2.504318E-6
     3512.047   2.522829E-6
     3512.435   2.541381E-6
     3512.823   2.559986E-6
     3513.212   2.578727E-6
       3513.6   2.597414E-6
     3513.988   2.616144E-6
     3514.375   2.634919E-6
     3514.765   2.653833E-6
     3515.153   2.672707E-6
     3515.541   2.691626E-6
     3515.929   2.710588E-6
     3516.317   2.729589E-6
     3516.707   2.748729E-6
     3517.095   2.767828E-6
     3517.483   2.786966E-6
     3517.871   2.806148E-6
     3518.259   2.825374E-6
     3518.647   2.844645E-6
     3519.036   2.863959E-6
     3519.424   2.883328E-6
     3519.814   2.902837E-6
     3520.203   2.902387E-6
     3520.593   2.883570E-6
     3520.982   2.864800E-6
      3521.37   2.845969E-6
     3521.759   2.827068E-6
     3522.147   2.808109E-6
     3522.536   2.789092E-6
     3522.925   2.770016E-6
     3523.313   2.750880E-6
     3523.702   2.731673E-6
     3524.093   2.712325E-6
     3524.482   2.693007E-6
     3524.871   2.673630E-6
      3525.26   2.654180E-6
     3525.651   2.634586E-6
      3526.04   2.615018E-6
     3526.429   2.595404E-6
     3526.818   2.575718E-6
     3527.209   2.555874E-6
     3527.599   2.536056E-6
     3527.988   2.516192E-6
     3528.377   2.496256E-6
     3528.766   2.476274E-6
     3529.156   2.456222E-6
     3529.545   2.436100E-6
     3529.935   2.415932E-6
     3530.324   2.395670E-6
     3530.716   2.375255E-6
     3531.107   2.354768E-6
     3531.497   2.334320E-6
     3531.887   2.313813E-6
     3532.277   2.293235E-6
     3532.666   2.272611E-6
     3533.056   2.251915E-6
     3533.446   2.231163E-6
     3533.836   2.210352E-6
     3534.226   2.189483E-6
     3534.618   2.168439E-6
     3535.008   2.147453E-6
     3535.398   2.126391E-6
     3535.788   2.105269E-6
      3536.18   2.083983E-6
     3536.571   2.062732E-6
     3536.961   2.041435E-6
     3537.351   2.020065E-6
     3537.741   1.998636E-6
     3538.134   1.977040E-6
     3538.524   1.955490E-6
     3538.915   1.933880E-6
     3539.305   1.912198E-6
     3539.696   1.890456E-6
     3540.086   1.868620E-6
     3540.477   1.846603E-6
     3540.868   1.824530E-6
      3541.26   1.802290E-6
     3541.651   1.780090E-6
     3542.044   1.757722E-6
     3542.435   1.735412E-6
     3542.826   1.713046E-6
     3543.217   1.690624E-6
     3543.608   1.668132E-6
     3543.999   1.645584E-6
      3544.39   1.622992E-6
     3544.781   1.600316E-6
     3545.174   1.577485E-6
     3545.565   1.554713E-6
     3545.957   1.531870E-6
     3546.348   1.508985E-6
     3546.739   1.486029E-6
     3547.133   1.462889E-6
     3547.524   1.439821E-6
     3547.915   1.416697E-6
     3548.307   1.393502E-6
       3548.7   1.370134E-6
     3549.092   1.346826E-6
     3549.484   1.323457E-6
     3549.875   1.300033E-6
     3550.267   1.276552E-6
     3550.659   1.253021E-6
     3551.051   1.229447E-6
     3551.442   1.205799E-6
     3551.834   1.182080E-6
     3552.228   1.158200E-6
     3552.622   1.134248E-6
     3553.014   1.110372E-6
     3553.406   1.086425E-6
     3553.799   1.062405E-6
     3554.191   1.038342E-6
     3554.583   1.014220E-6
     3554.975   9.900265E-7
     3555.367   9.657773E-7
     3555.762   9.413496E-7
     3556.154   9.169852E-7
     3556.546   8.925627E-7
     3556.939   8.680678E-7
     3557.332   8.435152E-7
     3557.726   8.187826E-7
     3558.119   7.941150E-7
     3558.511   7.693907E-7
     3558.904   7.446085E-7
     3559.299   7.196292E-7
     3559.691   6.947154E-7
     3560.084   6.745894E-7
     3560.477   6.721889E-7
      3560.87   6.697821E-7
     3561.263   6.673664E-7
     3561.656   6.649449E-7
     3562.049   6.625159E-7
     3562.442   6.600814E-7
     3562.837   6.576268E-7
      3563.23   6.551788E-7
     3563.625   6.527101E-7
     3564.019   6.502489E-7
     3564.412   6.477795E-7
     3564.805   6.453034E-7
     3565.199   6.428193E-7
     3565.592   6.403304E-7
     3565.986   6.378332E-7
     3566.381   6.353176E-7
     3566.775   6.328081E-7
     3567.168   6.302916E-7
     3567.562   6.277682E-7
     3567.956   6.252367E-7
     3568.351   6.226877E-7
     3568.745   6.201428E-7
     3569.139   6.175916E-7
     3569.532   6.150337E-7
     3569.928   6.124550E-7
     3570.323   6.098888E-7
