WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f160w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.208483E-20
PIVWV    r 16030.47
BANDW    r 1176.615
TPEAK    r 0.2493621
EQUVW    r 851.4484
RECTW    r 3414.506
EMFLX    r 1.342418E-16
     12134.61   6.201259E-6
     12135.24   6.936943E-6
     12135.85   5.891485E-6
     12136.48   4.824337E-6
     12137.09   3.778782E-6
     12137.72   2.711531E-6
     12138.34   1.644229E-6
     12138.97   5.752095E-7
     12139.58            0.
     12140.21            0.
     12140.83   1.309762E-6
     12141.45   3.141019E-6
     12142.07   5.010272E-6
      12142.7   6.882532E-6
     12143.31   8.714055E-6
     12143.94   1.058649E-5
     12144.57   1.245611E-5
     12145.19   1.271557E-5
     12145.81   9.456490E-6
     12146.43   6.124608E-6
     12147.06   2.792558E-6
     12147.67            0.
      12148.3            0.
     12148.92            0.
     12149.54            0.
     12150.17            0.
      12150.8            0.
     12151.42            0.
     12152.04            0.
     12152.66            0.
     12153.28            0.
     12153.91            0.
     12154.53   1.299007E-6
     12155.15   2.999078E-6
     12155.77   4.034329E-6
      12156.4   5.069632E-6
     12157.03   6.106596E-6
     12157.64   7.121032E-6
     12158.27   8.156486E-6
      12158.9   9.193599E-6
     12159.51   1.020657E-5
     12160.14   1.083662E-5
     12160.77   1.003010E-5
     12161.39   9.224809E-6
     12162.01   8.435775E-6
     12162.64   7.629149E-6
     12163.26   6.822481E-6
     12163.88   6.033340E-6
      12164.5   5.227846E-6
     12165.12   4.283016E-6
     12165.75   2.671770E-6
     12166.38   1.057933E-6
       12167.            0.
     12167.62            0.
     12168.25            0.
     12168.87            0.
     12169.49            0.
     12170.12            0.
     12170.74            0.
     12171.36            0.
     12171.99            0.
     12172.62            0.
     12173.24   1.118783E-6
     12173.86   2.898254E-6
     12174.49   4.714530E-6
     12175.11   5.869557E-6
     12175.73   4.088126E-6
     12176.36   2.267022E-6
     12176.97   4.882462E-7
      12177.6            0.
     12178.23            0.
     12178.86            0.
     12179.49            0.
      12180.1            0.
     12180.73            0.
     12181.35            0.
     12181.97            0.
      12182.6            0.
     12183.22            0.
     12183.85            0.
     12184.48            0.
      12185.1            0.
     12185.72            0.
     12186.35            0.
     12186.98            0.
     12187.59            0.
     12188.22            0.
     12188.85            0.
     12189.47            0.
      12190.1            0.
     12190.72            0.
     12191.35            0.
     12191.97            0.
      12192.6            0.
     12193.21            0.
     12193.84            0.
     12194.47            0.
      12195.1            0.
     12195.73            0.
     12196.35            0.
     12196.98            0.
     12197.59            0.
     12198.22            0.
     12198.85            0.
     12199.47            0.
      12200.1            0.
     12200.73            0.
     12201.36            0.
     12201.97            0.
      12202.6            0.
     12203.23            0.
     12203.85            0.
     12204.48            0.
     12205.11            0.
     12205.73            0.
     12206.36            0.
     12206.99            0.
     12207.62            0.
     12208.23   4.248978E-7
     12208.86   1.581260E-6
     12209.48   2.714310E-6
     12210.11   3.608611E-6
     12210.74   3.242250E-6
     12211.36   2.883276E-6
     12211.99   2.516921E-6
     12212.62   2.150567E-6
     12213.25   1.783649E-6
     12213.86   1.425251E-6
     12214.49   1.058336E-6
     12215.12   1.012632E-6
     12215.74   2.261958E-6
     12216.37   3.536975E-6
       12217.   4.813960E-6
     12217.63   6.090939E-6
     12218.25   7.338257E-6
     12218.88   8.615222E-6
     12219.51   9.892176E-6
     12220.13   1.062791E-5
     12220.76   9.352955E-6
     12221.39   8.079978E-6
       12222.   6.832668E-6
     12222.64   5.557734E-6
     12223.25   4.310438E-6
      12223.9   3.007891E-6
     12224.51   1.760611E-6
     12225.15   3.831208E-7
     12225.76            0.
     12226.39            0.
     12227.03            0.
     12227.64            0.
     12228.27            0.
      12228.9            0.
     12229.54            0.
     12230.15            0.
     12230.78            0.
     12231.42            0.
     12232.03            0.
     12232.67   8.655772E-7
      12233.3   4.112130E-6
     12233.91   7.293327E-6
     12234.54   1.053984E-5
     12235.18   1.232872E-5
     12235.81   1.035494E-5
     12236.43   8.420903E-6
     12237.06   6.444101E-6
     12237.68   4.510087E-6
     12238.31   2.536362E-6
     12238.94   5.595965E-7
     12239.56            0.
     12240.19            0.
     12240.82            0.
     12241.45            0.
     12242.07            0.
      12242.7            0.
     12243.33            0.
     12243.95            0.
     12244.58            0.
     12245.22            0.
     12245.83            0.
     12246.47            0.
      12247.1            0.
     12247.73            0.
     12248.35            0.
     12248.98            0.
     12249.61   1.055311E-6
     12250.23   1.537727E-6
     12250.86   7.236411E-7
     12251.48            0.
     12252.13            0.
     12252.75            0.
     12253.38            0.
       12254.            0.
     12254.63            0.
     12255.26            0.
     12255.88            0.
     12256.51            0.
     12257.15            0.
     12257.78            0.
      12258.4            0.
     12259.03            0.
     12259.66   4.487208E-7
     12260.28   1.495657E-6
     12260.92   3.023011E-6
     12261.55   4.550353E-6
     12262.17   6.044689E-6
      12262.8   7.572014E-6
     12263.43   9.099328E-6
     12264.07   1.062664E-5
     12264.69   1.212093E-5
     12265.32   1.223660E-5
     12265.94   1.098362E-5
     12266.57   9.705005E-6
      12267.2   8.426394E-6
     12267.82   7.173438E-6
     12268.46   5.894840E-6
     12269.09   4.616250E-6
     12269.72   3.337670E-6
     12270.34   2.712722E-6
     12270.98   2.593492E-6
     12271.61   2.474078E-6
     12272.23   2.357239E-6
     12272.86   2.238011E-6
      12273.5   2.118598E-6
     12274.12   2.001947E-6
     12274.75   1.882537E-6
     12275.38   1.554226E-6
     12276.02   1.089675E-6
     12276.64   6.344471E-7
     12277.27   1.691854E-7
      12277.9            0.
     12278.52            0.
     12279.16            0.
     12279.78            0.
     12280.42            0.
     12281.04            0.
     12281.68   3.295167E-7
      12282.3   1.129158E-6
     12282.93   1.946425E-6
     12283.57   2.763686E-6
     12284.19   3.563313E-6
     12284.82   4.380564E-6
     12285.46   4.779284E-6
     12286.09   5.011887E-6
     12286.71   5.239477E-6
     12287.34   5.472078E-6
     12287.98   5.705037E-6
      12288.6   5.932620E-6
     12289.23   6.165572E-6
     12289.87   6.398169E-6
     12290.49   5.909116E-6
     12291.12   5.209200E-6
     12291.76   4.508207E-6
     12292.39   3.808294E-6
     12293.01   3.122408E-6
     12293.65   2.421427E-6
     12294.28   1.721529E-6
      12294.9   1.035655E-6
     12295.54   1.318473E-6
     12296.16   1.774368E-6
     12296.79   2.239578E-6
     12297.42   2.705502E-6
     12298.06   3.171422E-6
     12298.68   3.627305E-6
     12299.32   4.093221E-6
     12299.95   4.559134E-6
     12300.57   3.861016E-6
     12301.21   3.044672E-6
     12301.84   2.228290E-6
     12302.46   1.429451E-6
      12303.1   6.117323E-7
     12303.73            0.
     12304.37            0.
     12304.99            0.
     12305.62            0.
     12306.26   1.644550E-6
     12306.88   3.361692E-6
     12307.52   5.119419E-6
     12308.14   6.836730E-6
     12308.79   8.629734E-6
     12309.41   1.034991E-5
     12310.04   1.195748E-5
     12310.68   1.148959E-5
      12311.3   1.103104E-5
     12311.93   1.056311E-5
     12312.56   1.010452E-5
     12313.19   9.635817E-6
     12313.83   9.167817E-6
     12314.45   8.709156E-6
     12315.08   8.099298E-6
     12315.72   6.574760E-6
     12316.36   5.050145E-6
     12316.98   3.558245E-6
     12317.61   2.035825E-6
     12318.25   5.109870E-7
     12318.87            0.
     12319.51            0.
     12320.14            0.
     12320.78            0.
      12321.4            0.
     12322.04            0.
     12322.67            0.
     12323.29            0.
     12323.93            0.
     12324.55            0.
     12325.19            0.
     12325.83            0.
     12326.46            0.
     12327.08            0.
     12327.72            0.
     12328.36            0.
     12328.98            0.
     12329.62            0.
     12330.25            0.
     12330.88   1.171973E-7
     12331.51   4.307411E-7
     12332.15   7.447820E-7
     12332.78   1.058838E-6
     12333.41   1.365684E-6
     12334.04   1.679771E-6
     12334.68   1.993873E-6
      12335.3   2.301246E-6
     12335.94   2.615378E-6
     12336.56   2.922780E-6
      12337.2   3.236944E-6
     12337.84   3.551123E-6
     12338.47   3.865316E-6
     12339.11   4.179527E-6
     12339.73   4.487004E-6
     12340.37   3.732952E-6
     12340.99   2.237290E-6
     12341.63   7.087360E-7
     12342.27            0.
      12342.9            0.
     12343.53            0.
     12344.16            0.
      12344.8            0.
     12345.42            0.
