WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,nuvmama,f25cn182
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 6.291831E-17
PIVWV    r 2006.844
BANDW    r 287.6637
TPEAK    r 0.00537141
EQUVW    r 3.440498
RECTW    r 640.5204
EMFLX    r 4.058965E-14
        1199.            0.
     1199.266   1.570543E-5
     1199.532   3.159845E-5
     1199.797   4.759752E-5
     1200.063   6.000527E-5
     1200.329   6.028430E-5
     1200.595   6.056237E-5
      1200.86   6.084104E-5
     1201.127   6.112099E-5
     1201.393   6.140093E-5
     1201.658   6.168120E-5
     1201.925   6.196286E-5
     1202.191   6.224417E-5
     1202.457   6.252603E-5
     1202.724   6.280993E-5
      1202.99   6.309287E-5
     1203.257   6.337628E-5
     1203.524   6.366108E-5
      1203.79   6.394555E-5
     1204.056   6.423065E-5
     1204.323   6.451707E-5
      1204.59   6.480328E-5
     1204.856   6.509013E-5
     1205.124   6.537870E-5
     1205.391   6.566653E-5
     1205.658   6.595482E-5
     1205.925   6.624426E-5
     1206.192   6.653364E-5
     1206.459   6.682349E-5
     1206.726   6.711474E-5
     1206.993   6.740568E-5
      1207.26   6.769728E-5
     1207.528   6.799003E-5
     1207.796   6.828353E-5
     1208.063   6.857666E-5
     1208.331   6.887101E-5
     1208.599   6.916518E-5
     1208.866   6.945995E-5
     1209.134   6.975600E-5
     1209.402   7.005170E-5
     1209.669   7.034805E-5
     1209.938   7.064666E-5
     1210.206   7.095087E-5
     1210.474   7.125799E-5
     1210.742   7.156631E-5
      1211.01   7.187457E-5
     1211.278   7.218321E-5
     1211.547   7.249318E-5
     1211.815   7.280298E-5
     1212.083   7.311324E-5
     1212.352   7.342499E-5
     1212.621   7.373725E-5
     1212.889   7.404931E-5
     1213.158   7.436276E-5
     1213.427   7.467606E-5
     1213.695   7.498985E-5
     1213.964   7.530499E-5
     1214.233   7.561998E-5
     1214.501   7.593542E-5
     1214.771   7.625225E-5
      1215.04   7.656954E-5
     1215.309   7.688664E-5
     1215.578   7.720437E-5
     1215.848   7.752347E-5
     1216.117   7.784241E-5
     1216.386   7.816275E-5
     1216.656   7.848274E-5
     1216.925   7.880350E-5
     1217.195   7.912544E-5
     1217.465   7.944800E-5
     1217.734   7.977019E-5
     1218.004   8.009316E-5
     1218.274   8.041734E-5
     1218.543   8.074131E-5
     1218.813   8.106665E-5
     1219.083   8.139193E-5
     1219.353   8.171764E-5
     1219.623   8.204491E-5
     1219.894   8.237326E-5
     1220.164   8.270148E-5
     1220.434   8.303179E-5
     1220.704   8.336334E-5
     1220.975   8.369480E-5
     1221.245   8.402678E-5
     1221.516   8.436018E-5
     1221.786   8.469331E-5
     1222.057   8.502803E-5
     1222.328   8.536318E-5
     1222.599   8.569826E-5
     1222.869   8.603383E-5
      1223.14   8.637078E-5
     1223.411   8.670743E-5
     1223.682   8.704459E-5
     1223.953   8.738331E-5
     1224.224   8.772166E-5
     1224.495   8.806157E-5
     1224.767   8.840200E-5
     1225.038   8.874217E-5
     1225.309   8.908296E-5
     1225.581   8.942532E-5
     1225.852   8.976729E-5
     1226.123   9.010988E-5
     1226.395   9.045383E-5
     1226.667   9.079753E-5
     1226.939   9.114266E-5
     1227.211   9.148847E-5
     1227.482   9.183387E-5
     1227.754   9.217993E-5
     1228.026   9.252747E-5
     1228.298   9.287483E-5
      1228.57   9.322269E-5
     1228.842   9.357218E-5
     1229.114   9.392117E-5
     1229.386   9.427081E-5
     1229.659   9.462266E-5
     1229.932   9.497389E-5
     1230.204   9.531890E-5
     1230.477   9.566362E-5
     1230.749   9.600804E-5
     1231.021   9.635313E-5
     1231.294   9.669975E-5
     1231.567   9.704612E-5
      1231.84   9.739391E-5
     1232.113   9.774217E-5
     1232.386   9.809004E-5
     1232.658   9.843861E-5
     1232.932   9.878859E-5
     1233.205   9.913831E-5
     1233.477   9.948851E-5
     1233.751   9.984032E-5
     1234.024   1.001917E-4
     1234.297   1.005439E-4
     1234.572   1.008982E-4
     1234.845   1.012516E-4
     1235.118   1.016054E-4
     1235.392   1.019605E-4
     1235.665   1.023155E-4
     1235.939   1.026709E-4
     1236.213   1.030279E-4
     1236.486   1.033846E-4
      1236.76   1.037418E-4
     1237.035   1.041014E-4
     1237.309   1.044599E-4
     1237.582   1.048190E-4
     1237.857   1.051797E-4
     1238.131   1.055398E-4
     1238.405   1.059007E-4
     1238.679   1.062628E-4
     1238.953   1.066247E-4
     1239.228   1.069873E-4
     1239.503   1.073521E-4
     1239.777   1.077159E-4
     1240.052   1.080780E-4
     1240.327   1.084302E-4
     1240.601   1.087827E-4
     1240.876   1.091354E-4
     1241.151   1.094897E-4
     1241.426   1.098437E-4
       1241.7   1.101981E-4
     1241.976   1.105539E-4
     1242.251   1.109104E-4
     1242.526   1.112666E-4
     1242.802   1.116240E-4
     1243.077   1.119814E-4
     1243.352   1.123393E-4
     1243.628   1.126988E-4
     1243.903   1.130578E-4
     1244.178   1.134173E-4
     1244.454   1.137783E-4
      1244.73   1.141399E-4
     1245.005   1.145011E-4
     1245.281   1.148637E-4
     1245.557   1.152260E-4
     1245.833   1.155890E-4
     1246.109   1.159534E-4
     1246.385   1.163175E-4
     1246.661   1.166824E-4
     1246.937   1.170485E-4
     1247.214   1.174152E-4
      1247.49   1.177814E-4
     1247.766   1.181492E-4
     1248.042   1.185167E-4
     1248.318   1.188847E-4
     1248.595   1.192541E-4
     1248.872   1.196232E-4
     1249.148   1.199931E-4
     1249.425   1.203644E-4
     1249.702   1.207363E-4
     1249.979   1.211080E-4
     1250.256   1.214674E-4
     1250.533   1.218253E-4
     1250.809   1.221839E-4
     1251.087   1.225437E-4
     1251.364   1.229033E-4
      1251.64   1.232634E-4
     1251.918   1.236250E-4
     1252.196   1.239872E-4
     1252.473   1.243490E-4
      1252.75   1.247114E-4
     1253.028   1.250754E-4
     1253.305   1.254387E-4
     1253.583   1.258035E-4
      1253.86   1.261681E-4
     1254.138   1.265330E-4
     1254.416   1.268995E-4
     1254.694   1.272666E-4
     1254.972   1.276332E-4
      1255.25   1.280006E-4
     1255.528   1.283694E-4
     1255.806   1.287377E-4
     1256.084   1.291075E-4
     1256.362   1.294770E-4
      1256.64   1.298468E-4
     1256.919   1.302183E-4
     1257.198   1.305903E-4
     1257.476   1.309617E-4
     1257.754   1.313340E-4
     1258.033   1.317075E-4
     1258.312   1.320809E-4
      1258.59   1.324548E-4
     1258.869   1.328302E-4
     1259.148   1.332052E-4
     1259.427   1.335816E-4
     1259.706   1.339584E-4
     1259.985   1.343349E-4
     1260.264   1.346980E-4
     1260.543   1.350615E-4
     1260.822   1.354246E-4
     1261.101   1.357884E-4
     1261.381   1.361536E-4
      1261.66   1.365186E-4
      1261.94   1.368848E-4
      1262.22   1.372515E-4
