WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f205w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.285569E-20
PIVWV    r 20636.09
BANDW    r 1832.142
TPEAK    r 0.3485115
EQUVW    r 1648.744
RECTW    r 4730.817
EMFLX    r 7.258410E-17
       15995.   3.152695E-5
     15995.72   4.017361E-5
     15996.42   4.859870E-5
     15997.14   5.724753E-5
     15997.85   6.567474E-5
     15998.58   7.453675E-5
     15999.29   8.296610E-5
     16000.01   9.153671E-5
     16000.71   9.148111E-5
     16001.43   9.142404E-5
     16002.15   9.136701E-5
     16002.85   9.131129E-5
     16003.57   9.125416E-5
     16004.29   9.119700E-5
     16005.01   9.100670E-5
     16005.72   8.409798E-5
     16006.44   7.701483E-5
     16007.16   6.992986E-5
     16007.86   6.301596E-5
     16008.58   5.592746E-5
     16009.29   4.901010E-5
     16010.01   4.197816E-5
     16010.73   4.227777E-5
     16011.45   4.257746E-5
     16012.15   4.286989E-5
     16012.87   4.316973E-5
     16013.59   4.346963E-5
     16014.29   4.376228E-5
     16015.02   4.406871E-5
     16015.74   4.466422E-5
     16016.44   4.524454E-5
     16017.16   4.583953E-5
     16017.88   4.643546E-5
      16018.6   4.703074E-5
     16019.31   4.761165E-5
     16020.03   4.840191E-5
     16020.73   5.379760E-5
     16021.45   5.933706E-5
     16022.17   6.487043E-5
     16022.88   7.027765E-5
      16023.6   7.582125E-5
     16024.32   8.135875E-5
     16025.04   8.682049E-5
     16025.75   9.081325E-5
     16026.47   9.490118E-5
     16027.19   9.899569E-5
     16027.89   1.029914E-4
     16028.61   1.070879E-4
     16029.32   1.110857E-4
     16030.04   1.143121E-4
     16030.76   1.026904E-4
     16031.48   9.106576E-5
     16032.19   7.972139E-5
     16032.91   6.809095E-5
     16033.63   5.645758E-5
     16034.33   4.510472E-5
     16035.06   3.504465E-5
     16035.78   4.352513E-5
     16036.48   5.180110E-5
     16037.21   6.029729E-5
     16037.93   6.878411E-5
     16038.65   7.727306E-5
     16039.35   8.555733E-5
     16040.08   9.290557E-5
     16040.78   9.036421E-5
      16041.5   8.775523E-5
     16042.22   8.514913E-5
     16042.93   8.260234E-5
     16043.65   7.999493E-5
     16044.37   7.738334E-5
     16045.09   7.504413E-5
      16045.8   7.450101E-5
     16046.52   7.394422E-5
     16047.24   7.338802E-5
     16047.95   7.284452E-5
     16048.67   7.228728E-5
     16049.38   7.174425E-5
     16050.12   7.178723E-5
     16050.82   7.496920E-5
     16051.54   7.823128E-5
     16052.25   8.141484E-5
     16052.97   8.467855E-5
     16053.69   8.794302E-5
      16054.4   9.112894E-5
     16055.12   9.355046E-5
     16055.84   9.181651E-5
     16056.57   9.008209E-5
     16057.27   8.838944E-5
       16058.   8.665186E-5
     16058.72   8.491618E-5
     16059.42   8.322223E-5
     16060.15   8.208229E-5
     16060.85   8.326121E-5
     16061.58   8.446812E-5
      16062.3   8.567533E-5
     16063.02   8.688448E-5
     16063.73   8.806293E-5
     16064.45   8.927265E-5
     16065.17   9.062558E-5
     16065.88   9.239689E-5
      16066.6   9.421038E-5
     16067.33   9.602673E-5
     16068.03   9.779936E-5
     16068.75   9.961414E-5
     16069.48   1.014318E-4
      16070.2   1.023377E-4
     16070.91   1.009097E-4
     16071.63   9.944782E-5
     16072.34   9.801910E-5
     16073.06   9.655450E-5
     16073.78   9.508952E-5
     16074.49   9.365979E-5
     16075.21   9.246111E-5
     16075.94   9.190280E-5
     16076.66   9.134445E-5
     16077.37   9.079950E-5
     16078.09   9.024079E-5
     16078.81   8.968198E-5
     16079.52   8.913663E-5
     16080.24   8.933595E-5
     16080.95   9.098619E-5
     16081.67   9.267797E-5
      16082.4   9.437017E-5
     16083.12   9.606503E-5
     16083.83   9.771695E-5
     16084.55   9.941269E-5
     16085.28   1.001790E-4
     16085.98   9.946235E-5
     16086.71   9.872656E-5
     16087.43   9.799060E-5
     16088.14   9.727340E-5
     16088.86   9.653706E-5
     16089.59   9.580157E-5
     16090.31   9.475124E-5
     16091.02   9.331803E-5
     16091.74   9.185079E-5
     16092.45   9.041686E-5
     16093.17   8.894692E-5
      16093.9   8.747666E-5
      16094.6   8.604167E-5
     16095.33   8.798402E-5
     16096.05   9.402129E-5
     16096.78   1.000683E-4
     16097.48   1.059699E-4
     16098.21   1.120199E-4
     16098.93   1.180795E-4
     16099.64   1.239855E-4
     16100.37   1.247181E-4
     16101.07   1.203504E-4
      16101.8   1.158729E-4
     16102.52   1.113939E-4
     16103.25   1.069076E-4
     16103.96   1.025348E-4
     16104.68   9.805184E-5
     16105.41   9.846020E-5
     16106.11   1.026315E-4
     16106.84   1.069078E-4
     16107.56   1.111911E-4
     16108.27   1.153661E-4
       16109.   1.196519E-4
     16109.72   1.239332E-4
     16110.45   1.251461E-4
     16111.15   1.244418E-4
     16111.88   1.237188E-4
     16112.59   1.230131E-4
     16113.31   1.222896E-4
     16114.04   1.215670E-4
     16114.74   1.208606E-4
     16115.47   1.213256E-4
      16116.2   1.224384E-4
     16116.92   1.235516E-4
     16117.63   1.246381E-4
     16118.35   1.257519E-4
     16119.06   1.268376E-4
     16119.79   1.279520E-4
     16120.51   1.272308E-4
     16121.22   1.257857E-4
     16121.96   1.242683E-4
     16122.67   1.228223E-4
      16123.4   1.213399E-4
     16124.11   1.198931E-4
     16124.83   1.184079E-4
     16125.56   1.195185E-4
     16126.27   1.213595E-4
     16126.99   1.232468E-4
      16127.7   1.250914E-4
     16128.44   1.270256E-4
     16129.15   1.288713E-4
     16129.88   1.307608E-4
     16130.59   1.283724E-4
     16131.31   1.250344E-4
     16132.04   1.216910E-4
     16132.75   1.184319E-4
     16133.47   1.150866E-4
      16134.2   1.117401E-4
     16134.93   1.083972E-4
     16135.64   1.107942E-4
     16136.36   1.139203E-4
     16137.09   1.170472E-4
      16137.8   1.200951E-4
     16138.52   1.232238E-4
     16139.23   1.262777E-4
     16139.96   1.294082E-4
     16140.69   1.308035E-4
     16141.41   1.320952E-4
     16142.12   1.333560E-4
     16142.85   1.346485E-4
     16143.57   1.359413E-4
     16144.28   1.372032E-4
     16145.01   1.384847E-4
     16145.74   1.388406E-4
     16146.45   1.391881E-4
     16147.17   1.395441E-4
      16147.9   1.399008E-4
     16148.63   1.402571E-4
     16149.34   1.406049E-4
     16150.06   1.406639E-4
     16150.77   1.376825E-4
      16151.5   1.346222E-4
     16152.23   1.315651E-4
     16152.94   1.285771E-4
     16153.66   1.255182E-4
     16154.39   1.224544E-4
     16155.12   1.209075E-4
     16155.83   1.270288E-4
     16156.55   1.333121E-4
     16157.28   1.395973E-4
     16157.99   1.457240E-4
     16158.72   1.520128E-4
     16159.43   1.581515E-4
     16160.16   1.637071E-4
     16160.88   1.665693E-4
     16161.61   1.694325E-4
