4351.22 0.000000
4351.29 0.000024
4351.35 0.000047
4351.42 0.000071
4351.48 0.000095
4351.55 0.000119
4351.61 0.000144
4351.68 0.000166
4351.74 0.000190
4351.81 0.000215
4351.87 0.000237
4351.94 0.000262
4352.00 0.000285
4352.07 0.000309
4352.13 0.000334
4352.20 0.000357
4352.26 0.000381
4352.33 0.000405
4352.39 0.000429
4352.46 0.000452
4352.52 0.000476
4352.59 0.000500
4352.65 0.000523
4352.72 0.000548
4352.78 0.000571
4352.85 0.000595
4352.91 0.000619
4352.98 0.000643
4353.04 0.000666
4353.11 0.000690
4353.17 0.000714
4353.23 0.000737
4353.30 0.000763
4353.37 0.000786
4353.43 0.000810
4353.50 0.000834
4353.56 0.000856
4353.63 0.000881
4353.69 0.000904
4353.76 0.000928
4353.82 0.000952
4353.89 0.000976
4353.95 0.001000
4354.02 0.001024
4354.08 0.001047
4354.14 0.001071
4354.21 0.001095
4354.27 0.001118
4354.34 0.001143
4354.41 0.001166
4354.47 0.001190
4354.54 0.001214
4354.60 0.001237
4354.67 0.001262
4354.73 0.001285
4354.79 0.001309
4354.86 0.001333
4354.92 0.001356
4354.99 0.001380
4355.06 0.001404
4355.12 0.001429
4355.18 0.001452
4355.25 0.001476
4355.32 0.001500
4355.38 0.001523
4355.45 0.001547
4355.51 0.001571
4355.57 0.001594
4355.64 0.001619
4355.71 0.001642
4355.77 0.001666
4355.84 0.001690
4355.90 0.001713
4355.96 0.001737
4356.03 0.001761
4356.09 0.001784
4356.16 0.001809
4356.23 0.001833
4356.29 0.001856
4356.36 0.001880
4356.42 0.001903
4356.49 0.001928
4356.55 0.001951
4356.62 0.001975
4356.68 0.001998
4356.74 0.002022
4356.81 0.002047
4356.88 0.002070
4356.94 0.002095
4357.00 0.002117
4357.07 0.002142
4357.14 0.002166
4357.20 0.002188
4357.27 0.002213
4357.33 0.002236
4357.40 0.002261
4357.46 0.002285
4357.53 0.002308
4357.59 0.002332
4357.66 0.002355
4357.72 0.002379
4357.78 0.002403
4357.85 0.002427
4357.91 0.002450
4357.98 0.002475
4358.05 0.002499
4358.11 0.002522
4358.18 0.002546
4358.24 0.002570
4358.31 0.002593
4358.37 0.002617
4358.43 0.002640
4358.50 0.002664
4358.56 0.002688
4358.63 0.002712
4358.70 0.002736
4358.76 0.002760
4358.83 0.002783
4358.89 0.002808
4358.96 0.002831
4359.02 0.002854
4359.09 0.002878
4359.15 0.002902
4359.22 0.002926
4359.28 0.002950
4359.35 0.002974
4359.41 0.002997
4359.48 0.003021
4359.54 0.003044
4359.61 0.003068
4359.67 0.003092
4359.74 0.003115
4359.80 0.003141
4359.87 0.003164
4359.93 0.003187
4360.00 0.003211
4360.06 0.003235
4360.13 0.003259
4360.19 0.003282
4360.26 0.003307
4360.32 0.003330
4360.39 0.003354
4360.45 0.003378
4360.52 0.003401
4360.58 0.003426
4360.65 0.003448
4360.71 0.003473
4360.78 0.003496
4360.84 0.003519
4360.91 0.003544
4360.98 0.003568
4361.04 0.003592
4361.10 0.003615
4361.17 0.003639
4361.23 0.003662
4361.30 0.003686
4361.36 0.003710
4361.43 0.003733
4361.49 0.003758
4361.56 0.003781
4361.63 0.003806
4361.69 0.003829
4361.75 0.003852
4361.82 0.003877
4361.88 0.003900
4361.95 0.003924
4362.01 0.003947
4362.08 0.003972
