WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,sbc,f125lp
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.724050E-17
PIVWV    r 1437.528
BANDW    r 141.873
TPEAK    r 0.05290009
EQUVW    r 17.62305
RECTW    r 333.1383
EMFLX    r 7.467937E-15
        1216.   4.330900E-4
     1216.194   4.473998E-4
     1216.388   4.617013E-4
     1216.582   4.760668E-4
     1216.776   4.904512E-4
     1216.971   5.048548E-4
     1217.165   5.192861E-4
      1217.36   5.337367E-4
     1217.554   5.481607E-4
     1217.748   5.626491E-4
     1217.943   5.771656E-4
     1218.137   6.313863E-4
     1218.331   7.026013E-4
     1218.526   7.739558E-4
      1218.72   8.453607E-4
     1218.915   9.169502E-4
      1219.11   9.885901E-4
     1219.304     0.0010601
     1219.499   0.001131975
     1219.694   0.001203946
     1219.889   0.001276012
     1220.083   0.001350953
     1220.278   0.001430339
     1220.473   0.001509823
     1220.668   0.001589456
     1220.863   0.001669139
     1221.058    0.00174897
     1221.252   0.001828651
     1221.447   0.001908681
     1221.642    0.00198886
     1221.837   0.002068837
     1222.032   0.002148033
     1222.227   0.002221362
     1222.423   0.002294735
     1222.618   0.002368245
     1222.813   0.002441847
     1223.008   0.002515307
     1223.203   0.002589136
     1223.399   0.002663056
     1223.594   0.002736835
     1223.789   0.002810936
     1223.985   0.002885407
      1224.18   0.003053053
     1224.376   0.003229129
     1224.571   0.003405424
     1224.766   0.003581387
     1224.962   0.003758228
     1225.158   0.003934471
     1225.353   0.004109955
     1225.548   0.004286105
     1225.745    0.00446314
      1225.94   0.004639082
     1226.136   0.004932209
     1226.332   0.005277014
     1226.527   0.005620757
     1226.723   0.005966229
     1226.919   0.006311715
     1227.115   0.006657642
     1227.311   0.007002719
     1227.507   0.007350179
     1227.703   0.007695707
     1227.899   0.008042758
     1228.095   0.008549777
     1228.291   0.009227821
     1228.487   0.009903776
     1228.683    0.01058271
     1228.879    0.01126208
     1229.075    0.01193979
     1229.272     0.0126226
     1229.468    0.01330119
     1229.664    0.01398276
     1229.861    0.01466521
     1230.057    0.01529794
     1230.253    0.01580846
      1230.45    0.01632079
     1230.646    0.01683335
     1230.842    0.01734455
     1231.039     0.0178598
     1231.236    0.01837337
     1231.432    0.01888557
     1231.629    0.01939959
     1231.826    0.01991416
     1232.022    0.02040838
     1232.219    0.02075162
     1232.415     0.0210948
     1232.612    0.02143728
     1232.809    0.02178226
     1233.006    0.02212611
     1233.203    0.02246904
       1233.4     0.0228134
     1233.597    0.02315813
     1233.793    0.02350172
      1233.99    0.02384654
     1234.187    0.02419172
     1234.385    0.02453726
     1234.582    0.02488274
     1234.779    0.02522858
     1234.976    0.02557351
     1235.173    0.02591966
      1235.37    0.02626617
     1235.568    0.02661262
     1235.764    0.02695836
     1235.962    0.02730532
     1236.159    0.02765265
     1236.357    0.02800013
     1236.554    0.02834776
     1236.752    0.02869554
     1236.949    0.02904239
     1237.146    0.02939069
     1237.344    0.02973935
     1237.541    0.03008666
     1237.739    0.03043563
     1237.936    0.03078474
     1238.134    0.03113292
     1238.332    0.03148363
      1238.53     0.0318332
     1238.727    0.03218205
     1238.925    0.03253213
     1239.123    0.03288257
      1239.32    0.03323188
     1239.518    0.03358262
     1239.716    0.03393352
     1239.914    0.03428479
     1240.112    0.03454756
     1240.311    0.03474317
     1240.508    0.03493797
     1240.706    0.03513367
     1240.904     0.0353294
     1241.102    0.03552445
       1241.3    0.03572038
     1241.499    0.03591624
     1241.697    0.03611225
     1241.895    0.03630831
     1242.094    0.03650453
     1242.292    0.03670007
      1242.49    0.03689637
     1242.688    0.03709271
     1242.887    0.03728909
     1243.085    0.03748491
     1243.283    0.03768149
     1243.482    0.03787812
     1243.681    0.03807491
      1243.88    0.03827174
     1244.078    0.03846788
     1244.276     0.0386648
     1244.475    0.03886186
     1244.674    0.03905898
     1244.872    0.03925541
     1245.071     0.0394526
      1245.27    0.03964996
     1245.469    0.03984736
     1245.668    0.04004479
     1245.867    0.04024228
     1246.065    0.04043919
     1246.264    0.04063688
     1246.463    0.04083459
     1246.662    0.04103175
     1246.861    0.04122956
      1247.06    0.04142752
     1247.259    0.04162552
     1247.459    0.04182369
     1247.658    0.04202179
     1247.857    0.04221943
     1248.056    0.04238855
     1248.255    0.04248307
     1248.454    0.04257739
     1248.654    0.04267201
     1248.853    0.04276665
     1249.053    0.04286131
     1249.252    0.04295604
     1249.452    0.04305079
     1249.651    0.04314527
      1249.85    0.04324005
      1250.05    0.04333294
      1250.25    0.04341992
     1250.449    0.04350663
     1250.649    0.04359358
     1250.848    0.04368057
     1251.048    0.04376754
     1251.248    0.04385455
     1251.448    0.04394149
     1251.647    0.04402821
     1251.847    0.04411517
     1252.047    0.04420212
     1252.247    0.04428879
     1252.447    0.04437576
     1252.647    0.04446271
     1252.847    0.04454971
     1253.047    0.04463669
     1253.247    0.04472365
     1253.447    0.04481027
     1253.647    0.04489726
     1253.847    0.04498423
     1254.047    0.04507086
     1254.247     0.0451578
     1254.448    0.04524503
     1254.648    0.04533173
     1254.849    0.04541866
     1255.049     0.0455056
     1255.249    0.04559224
     1255.449     0.0456792
      1255.65    0.04576612
      1255.85    0.04585277
     1256.051    0.04593967
     1256.252    0.04602692
     1256.452    0.04611353
     1256.653    0.04620049
     1256.854    0.04628743
     1257.054    0.04637404
     1257.254    0.04646095
     1257.455    0.04654789
     1257.656    0.04663477
     1257.856    0.04672142
     1258.058    0.04680865
     1258.258    0.04689526
     1258.459    0.04698212
     1258.661    0.04706908
     1258.861    0.04715566
     1259.062    0.04724257
     1259.263    0.04732948
     1259.464    0.04741637
     1259.665    0.04750293
     1259.867    0.04759016
     1260.067    0.04766111
     1260.269    0.04770128
      1260.47    0.04774147
     1260.671    0.04778162
     1260.872    0.04782165
     1261.074     0.0478618
     1261.275    0.04790192
     1261.476     0.0479419
     1261.678    0.04798217
      1261.88    0.04802227
     1262.081    0.04806224
     1262.282    0.04810233
     1262.484    0.04814242
     1262.685    0.04818236
     1262.887     0.0482224
     1263.088    0.04826247
      1263.29    0.04830238
     1263.492    0.04834255
     1263.694    0.04838259
     1263.895    0.04842246
     1264.097    0.04846247
     1264.299    0.04850245
       1264.5     0.0485423
     1264.702    0.04858227
     1264.904    0.04862227
     1265.106    0.04866221
     1265.309    0.04870217
     1265.511    0.04874211
     1265.712    0.04878192
     1265.914    0.04882182
     1266.117    0.04886173
     1266.318     0.0489015
     1266.521     0.0489414
     1266.723    0.04898127
     1266.925    0.04902115
     1267.128    0.04906102
      1267.33    0.04910088
     1267.532    0.04914059
     1267.734    0.04918043
     1267.937    0.04922025
      1268.14    0.04926006
     1268.341    0.04929972
     1268.544    0.04933952
     1268.747    0.04937933
     1268.949    0.04941909
     1269.152    0.04945887
