WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f625w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.973007E-19
PIVWV    r 6295.515
BANDW    r 415.1162
TPEAK    r 0.2649575
EQUVW    r 352.7509
RECTW    r 1331.349
EMFLX    r 2.889404E-16
        3000.   1.245378E-6
     3000.375   1.245262E-6
      3000.75   1.245147E-6
     3001.124   1.245031E-6
     3001.498   1.244914E-6
     3001.874   1.244796E-6
     3002.248   1.244679E-6
     3002.624   1.244561E-6
     3002.998   1.244443E-6
     3003.372   1.244326E-6
     3003.747   1.244208E-6
     3004.123   1.244090E-6
     3004.497   1.243974E-6
     3004.871   1.243858E-6
     3005.248   1.243740E-6
     3005.624   1.243621E-6
     3005.998   1.243503E-6
     3006.373   1.243386E-6
     3006.748   1.243270E-6
     3007.124   1.243151E-6
     3007.499   1.243033E-6
     3007.874   1.242914E-6
     3008.248   1.242795E-6
     3008.625   1.242674E-6
     3009.001   1.242553E-6
     3009.376   1.242437E-6
     3009.751   1.242321E-6
     3010.128   1.242199E-6
     3010.503   1.242068E-6
     3010.879   1.241936E-6
     3011.254   1.241805E-6
     3011.631   1.241673E-6
     3012.008   1.241541E-6
     3012.383   1.241411E-6
     3012.759   1.241281E-6
     3013.134   1.241149E-6
     3013.511   1.241015E-6
     3013.887   1.240882E-6
     3014.262   1.240750E-6
     3014.638   1.240619E-6
     3015.015   1.240488E-6
     3015.393   1.240355E-6
     3015.769   1.240222E-6
     3016.145   1.240089E-6
     3016.522   1.239954E-6
     3016.898   1.239820E-6
     3017.274   1.239688E-6
      3017.65   1.239556E-6
     3018.028   1.239425E-6
     3018.404   1.239294E-6
     3018.781   1.239164E-6
     3019.158   1.239032E-6
     3019.536   1.238898E-6
     3019.912   1.238765E-6
     3020.288   1.238645E-6
     3020.665   1.238529E-6
     3021.043   1.238413E-6
     3021.419   1.238296E-6
     3021.796   1.238179E-6
     3022.174   1.238062E-6
     3022.551   1.237948E-6
     3022.929   1.237832E-6
     3023.306   1.237717E-6
     3023.683   1.237600E-6
      3024.06   1.237484E-6
     3024.438   1.237365E-6
     3024.815   1.237247E-6
     3025.192   1.237131E-6
     3025.571   1.237015E-6
     3025.949   1.236899E-6
     3026.326   1.236783E-6
     3026.704   1.236668E-6
     3027.081   1.236551E-6
      3027.46   1.236432E-6
     3027.837   1.236314E-6
     3028.214   1.236196E-6
     3028.592   1.236080E-6
     3028.973   1.235963E-6
      3029.35   1.235845E-6
     3029.728   1.235727E-6
     3030.105   1.235607E-6
     3030.485   1.235478E-6
     3030.862   1.235351E-6
      3031.24   1.235225E-6
     3031.618   1.235100E-6
     3031.997   1.234975E-6
     3032.377   1.234847E-6
     3032.755   1.234721E-6
     3033.133   1.234594E-6
      3033.51   1.234465E-6
      3033.89   1.234336E-6
     3034.268   1.234211E-6
     3034.646   1.234087E-6
     3035.025   1.233962E-6
     3035.405   1.233834E-6
     3035.785   1.233706E-6
     3036.163   1.233578E-6
     3036.541   1.233448E-6
     3036.921   1.233319E-6
       3037.3   1.233192E-6
     3037.678   1.233065E-6
     3038.057   1.232938E-6
     3038.437   1.232808E-6
     3038.816   1.232678E-6
     3039.196   1.232548E-6
     3039.575   1.232418E-6
     3039.956   1.232287E-6
     3040.334   1.232139E-6
     3040.713   1.231990E-6
     3041.092   1.231840E-6
     3041.473   1.231687E-6
     3041.852   1.231536E-6
     3042.231   1.231383E-6
      3042.61   1.231230E-6
     3042.991   1.231076E-6
     3043.372   1.230925E-6
     3043.751   1.230774E-6
     3044.131   1.230623E-6
      3044.51   1.230471E-6
     3044.891   1.230317E-6
     3045.271   1.230165E-6
      3045.65   1.230012E-6
     3046.031   1.229859E-6
     3046.413   1.229706E-6
     3046.792   1.229553E-6
     3047.172   1.229400E-6
     3047.552   1.229249E-6
     3047.933   1.229096E-6
     3048.313   1.228944E-6
     3048.693   1.228790E-6
     3049.073   1.228636E-6
     3049.455   1.228481E-6
     3049.836   1.228325E-6
     3050.216   1.228191E-6
     3050.596   1.228073E-6
     3050.979   1.227955E-6
     3051.359   1.227836E-6
     3051.739   1.227717E-6
     3052.119   1.227598E-6
     3052.501   1.227477E-6
     3052.882   1.227358E-6
     3053.264   1.227237E-6
     3053.644   1.227118E-6
     3054.025   1.226998E-6
     3054.407   1.226877E-6
     3054.788   1.226757E-6
     3055.169   1.226637E-6
     3055.551   1.226516E-6
     3055.932   1.226396E-6
     3056.313   1.226274E-6
     3056.695   1.226151E-6
     3057.076   1.226029E-6
     3057.459   1.225908E-6
      3057.84   1.225787E-6
     3058.221   1.225665E-6
     3058.602   1.225542E-6
     3058.985   1.225419E-6
     3059.366   1.225297E-6
     3059.748   1.225176E-6
      3060.13   1.225047E-6
     3060.513   1.224903E-6
     3060.895   1.224760E-6
     3061.276   1.224617E-6
     3061.658   1.224473E-6
     3062.041   1.224329E-6
     3062.423   1.224186E-6
     3062.804   1.224042E-6
     3063.186   1.223898E-6
      3063.57   1.223754E-6
     3063.953   1.223609E-6
     3064.335   1.223465E-6
     3064.717   1.223321E-6
     3065.099   1.223177E-6
     3065.482   1.223032E-6
     3065.865   1.222888E-6
     3066.247   1.222743E-6
      3066.63   1.222598E-6
     3067.014   1.222452E-6
     3067.396   1.222307E-6
     3067.779   1.222162E-6
     3068.161   1.222017E-6
     3068.545   1.221871E-6
     3068.927   1.221726E-6
      3069.31   1.221579E-6
     3069.693   1.221433E-6
     3070.077   1.221282E-6
     3070.461   1.221123E-6
     3070.844   1.220965E-6
     3071.227   1.220806E-6
     3071.611   1.220647E-6
     3071.994   1.220488E-6
     3072.376   1.220329E-6
      3072.76   1.220170E-6
     3073.144   1.220009E-6
     3073.527   1.219848E-6
     3073.912   1.219687E-6
     3074.295   1.219527E-6
      3074.68   1.219366E-6
     3075.063   1.219207E-6
     3075.446   1.219047E-6
     3075.829   1.218887E-6
     3076.214   1.218726E-6
     3076.598   1.218566E-6
     3076.981   1.218406E-6
     3077.366   1.218246E-6
      3077.75   1.218087E-6
     3078.135   1.217926E-6
     3078.519   1.217762E-6
     3078.902   1.217599E-6
     3079.286   1.217437E-6
     3079.672   1.217275E-6
     3080.055   1.217106E-6
     3080.439   1.216883E-6
     3080.825   1.216660E-6
      3081.21   1.216437E-6
     3081.594   1.216216E-6
     3081.979   1.215995E-6
     3082.363   1.215771E-6
     3082.749   1.215545E-6
     3083.133   1.215321E-6
     3083.517   1.215096E-6
     3083.901   1.214872E-6
     3084.289   1.214646E-6
     3084.673   1.214423E-6
     3085.058   1.214199E-6
     3085.442   1.213976E-6
     3085.828   1.213751E-6
     3086.213   1.213527E-6
     3086.598   1.213303E-6
     3086.982   1.213079E-6
     3087.369   1.212854E-6
     3087.755   1.212629E-6
      3088.14   1.212405E-6
