WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f450w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 9.022467E-18
PIVWV    r 4557.314
BANDW    r 404.1857
TPEAK    r 0.01219103
EQUVW    r 10.63793
RECTW    r 872.6033
EMFLX    r 1.242822E-14
        1860.   6.107346E-9
     1860.331   5.978038E-9
     1860.661   5.848826E-9
     1860.992   5.718897E-9
     1861.323   5.588729E-9
     1861.654   5.458322E-9
     1861.985   5.327627E-9
     1862.316   5.196692E-9
     1862.646   5.065855E-9
     1862.978   4.934393E-9
     1863.309   4.802641E-9
      1863.64   4.671037E-9
     1863.971   4.538805E-9
     1864.303   4.406234E-9
     1864.634   4.273470E-9
     1864.966   4.140416E-9
     1865.298   4.007069E-9
     1865.628   3.873875E-9
      1865.96   3.739997E-9
     1866.292   3.605876E-9
     1866.623   3.471909E-9
     1866.955   3.337252E-9
     1867.287   3.202304E-9
      1867.62   3.067112E-9
     1867.952   2.931677E-9
     1868.284   2.795948E-9
     1868.615   2.660374E-9
     1868.948   2.524057E-9
      1869.28   2.387545E-9
     1869.613   2.250738E-9
     1869.944   2.114089E-9
     1870.277   2.469220E-9
     1870.609   2.924310E-9
     1870.942   3.380383E-9
     1871.275   3.837440E-9
     1871.607   4.293799E-9
      1871.94   4.752655E-9
     1872.273   5.212161E-9
     1872.606   5.672823E-9
     1872.938   6.132782E-9
     1873.271   6.595082E-9
     1873.604   7.058374E-9
     1873.938   7.522655E-9
     1874.271   7.987591E-9
     1874.604   8.453693E-9
     1874.937   8.919077E-9
      1875.27   9.386826E-9
     1875.604   9.855569E-9
     1875.937   1.032377E-8
      1876.27   1.079417E-8
     1876.604   1.126556E-8
     1876.938   1.173796E-8
     1877.272   1.221119E-8
     1877.606   1.268542E-8
     1877.939   1.315892E-8
     1878.273   1.363499E-8
     1878.607   1.411190E-8
      1878.94   1.458823E-8
     1879.274   1.506527E-8
     1879.609   1.554423E-8
     1879.943   1.602110E-8
     1880.277   1.679805E-8
     1880.612   1.763795E-8
     1880.945   1.847665E-8
      1881.28   1.931940E-8
     1881.615   2.016372E-8
     1881.948   2.100653E-8
     1882.283   2.185370E-8
     1882.619   2.270462E-8
     1882.953   2.355186E-8
     1883.288   2.440316E-8
     1883.623   2.525574E-8
     1883.957   2.610741E-8
     1884.292   2.696286E-8
     1884.627   2.781988E-8
     1884.961   2.867569E-8
     1885.297   2.953559E-8
     1885.633   3.039959E-8
     1885.967   3.125954E-8
     1886.303   3.212359E-8
     1886.638   3.298924E-8
     1886.973   3.385365E-8
     1887.309   3.472217E-8
     1887.644   3.559199E-8
     1887.979   3.646054E-8
     1888.315   3.733324E-8
     1888.652   3.821009E-8
     1888.987   3.908313E-8
     1889.323   3.996033E-8
     1889.659   4.083881E-8
     1889.994   4.171602E-8
      1890.33   4.201753E-8
     1890.666   4.230882E-8
     1891.003   4.260052E-8
     1891.338   4.289178E-8
     1891.676   4.318535E-8
     1892.011   4.347751E-8
     1892.348   4.377104E-8
     1892.684   4.406507E-8
      1893.02   4.435855E-8
     1893.357   4.465351E-8
     1893.693   4.494886E-8
      1894.03   4.524473E-8
     1894.366   4.554004E-8
     1894.704   4.583768E-8
      1895.04   4.613402E-8
     1895.377   4.643161E-8
     1895.714   4.672973E-8
     1896.052   4.702836E-8
     1896.388   4.732641E-8
     1896.725   4.762595E-8
     1897.063   4.792592E-8
     1897.399   4.822540E-8
     1897.736   4.852618E-8
     1898.074   4.882757E-8
     1898.412   4.912937E-8
     1898.749   4.943158E-8
     1899.087   4.973430E-8
     1899.424   5.003656E-8
     1899.762   5.034022E-8
       1900.1   5.028588E-8
     1900.437   4.937721E-8
     1900.776   4.846146E-8
     1901.114   4.754689E-8
     1901.451   4.663382E-8
     1901.789   4.571598E-8
     1902.128   4.479633E-8
     1902.465   4.387821E-8
     1902.803   4.295563E-8
     1903.142   4.203124E-8
     1903.479   4.110806E-8
     1903.818   4.018039E-8
     1904.158   3.924857E-8
     1904.495   3.832029E-8
     1904.834   3.738786E-8
     1905.173   3.645362E-8
     1905.511   3.552060E-8
      1905.85   3.458340E-8
     1906.189   3.364404E-8
     1906.527   3.270626E-8
     1906.866   3.176395E-8
     1907.206   3.081709E-8
     1907.544   2.987420E-8
     1907.884   2.892675E-8
     1908.223   2.797782E-8
     1908.562   2.703015E-8
     1908.901   2.607791E-8
     1909.241   2.512384E-8
     1909.579   2.417103E-8
     1909.919   2.321399E-8
      1910.26   2.249110E-8
     1910.598   2.184581E-8
     1910.938   2.119740E-8
     1911.278   2.054773E-8
     1911.617   1.989890E-8
     1911.957   1.924716E-8
     1912.297   1.859393E-8
     1912.636   1.794177E-8
     1912.977   1.728647E-8
     1913.318   1.662801E-8
     1913.657   1.597229E-8
     1913.998   1.531364E-8
     1914.338   1.465373E-8
     1914.678   1.399467E-8
     1915.018   1.333220E-8
     1915.359   1.266893E-8
       1915.7   1.200439E-8
     1916.039   1.134072E-8
     1916.381   1.067171E-8
     1916.721   1.000572E-8
     1917.062   9.336542E-9
     1917.403   8.666080E-9
     1917.744   7.994576E-9
     1918.084   7.323954E-9
     1918.425   6.650124E-9
     1918.767   5.975008E-9
     1919.107   5.301025E-9
     1919.449   4.621640E-9
      1919.79   3.945087E-9
     1920.131   3.512471E-9
     1920.473   3.475008E-9
     1920.814   3.437471E-9
     1921.155   3.399991E-9
     1921.497   3.362315E-9
     1921.839   3.324578E-9
     1922.179   3.286885E-9
     1922.522   3.248887E-9
     1922.864   3.210948E-9
     1923.205   3.173042E-9
     1923.547   3.134965E-9
      1923.89   3.096812E-9
     1924.231   3.058706E-9
     1924.573   3.020414E-9
     1924.916   2.982045E-9
     1925.257   2.943739E-9
       1925.6   2.905122E-9
     1925.943   2.866552E-9
     1926.284   2.828030E-9
     1926.627   2.789321E-9
      1926.97   2.750536E-9
     1927.312   2.711812E-9
     1927.654   2.672887E-9
     1927.997   2.633899E-9
     1928.339   2.594960E-9
     1928.683   2.555721E-9
     1929.026   2.516516E-9
     1929.368   2.477374E-9
     1929.712   2.438029E-9
     1930.055   2.477900E-9
     1930.397   2.932981E-9
     1930.741   3.390231E-9
     1931.084   3.848190E-9
     1931.427   4.307021E-9
     1931.771   4.766726E-9
     1932.115   5.227141E-9
     1932.457   5.686957E-9
     1932.801   6.148958E-9
     1933.145   6.611668E-9
     1933.488   7.073938E-9
     1933.832   7.538238E-9
     1934.176   8.003415E-9
      1934.52   8.469469E-9
     1934.864   8.936236E-9
     1935.208   9.403886E-9
     1935.551   9.870752E-9
     1935.896   1.033983E-8
      1936.24   1.080979E-8
     1936.584   1.128063E-8
     1936.928   1.175068E-8
     1937.272   1.222312E-8
     1937.617   1.269627E-8
     1937.962   1.317031E-8
