WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f250w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.781334E-18
PIVWV    r 2715.875
BANDW    r 239.4074
TPEAK    r 0.06112375
EQUVW    r 33.6724
RECTW    r 550.889
EMFLX    r 3.527868E-15
        1940.   1.306457E-4
     1940.328   1.309332E-4
     1940.655   1.312199E-4
     1940.983   1.315077E-4
      1941.31   1.317950E-4
      1941.64   1.320843E-4
     1941.967   1.323721E-4
     1942.295   1.326610E-4
     1942.623   1.329493E-4
     1942.951   1.332388E-4
     1943.279   1.335277E-4
     1943.607   1.338177E-4
     1943.935   1.341070E-4
     1944.264   1.343976E-4
     1944.593   1.346885E-4
     1944.921   1.349797E-4
     1945.249   1.352701E-4
     1945.578   1.355617E-4
     1945.906   1.358526E-4
     1946.235   1.361449E-4
     1946.564   1.364375E-4
     1946.892   1.367294E-4
     1947.222   1.370223E-4
     1947.551   1.373154E-4
      1947.88   1.376087E-4
     1948.208   1.379016E-4
     1948.538   1.381956E-4
     1948.866   1.384890E-4
     1949.196   1.387836E-4
     1949.524   1.390775E-4
     1949.854   1.393726E-4
     1950.183   1.396700E-4
     1950.514   1.399716E-4
     1950.842   1.402716E-4
     1951.172   1.405731E-4
     1951.501   1.408738E-4
     1951.831   1.411758E-4
      1952.16   1.414770E-4
      1952.49   1.417795E-4
      1952.82   1.420823E-4
      1953.15   1.423845E-4
      1953.48   1.426878E-4
      1953.81   1.429916E-4
     1954.141   1.432955E-4
      1954.47   1.435986E-4
       1954.8   1.439031E-4
      1955.13   1.442068E-4
      1955.46   1.445120E-4
      1955.79   1.448165E-4
     1956.121   1.451222E-4
     1956.452   1.454284E-4
     1956.782   1.457347E-4
     1957.112   1.460404E-4
     1957.443   1.463472E-4
     1957.773   1.466534E-4
     1958.104   1.469608E-4
     1958.434   1.472677E-4
     1958.765   1.475759E-4
     1959.097   1.478843E-4
     1959.428   1.481930E-4
     1959.758   1.485011E-4
     1960.089   1.488254E-4
     1960.421   1.491911E-4
     1960.751   1.495557E-4
     1961.083   1.499127E-4
     1961.413   1.502410E-4
     1961.745   1.505706E-4
     1962.076   1.508994E-4
     1962.409   1.512303E-4
      1962.74   1.515592E-4
     1963.071   1.518894E-4
     1963.402   1.522185E-4
     1963.734   1.525491E-4
     1964.065   1.528787E-4
     1964.397   1.532097E-4
     1964.729   1.535398E-4
     1965.061   1.538710E-4
     1965.393   1.542024E-4
     1965.725   1.545341E-4
     1966.057   1.548648E-4
     1966.389   1.551968E-4
     1966.722   1.555289E-4
     1967.053   1.558601E-4
     1967.386   1.561926E-4
     1967.717   1.565242E-4
      1968.05   1.568569E-4
     1968.383   1.571901E-4
     1968.716   1.575233E-4
     1969.048   1.578558E-4
      1969.38   1.581891E-4
     1969.713   1.585218E-4
     1970.046   1.588559E-4
     1970.378   1.591913E-4
     1970.711   1.595280E-4
     1971.043   1.598637E-4
     1971.377   1.602015E-4
      1971.71   1.605374E-4
     1972.043   1.608746E-4
     1972.375   1.612109E-4
     1972.709   1.615484E-4
     1973.043   1.618863E-4
     1973.375   1.622231E-4
     1973.709   1.625613E-4
     1974.042   1.628984E-4
     1974.376   1.632380E-4
     1974.709   1.635755E-4
     1975.043   1.639144E-4
     1975.376   1.642522E-4
      1975.71   1.645912E-4
     1976.043   1.649294E-4
     1976.377   1.652689E-4
      1976.71   1.656074E-4
     1977.045   1.659472E-4
     1977.378   1.662862E-4
     1977.713   1.666276E-4
     1978.047   1.669670E-4
     1978.381   1.673076E-4
     1978.714   1.676472E-4
     1979.049   1.679882E-4
     1979.384   1.683296E-4
     1979.717   1.686700E-4
     1980.052   1.690565E-4
     1980.387   1.696867E-4
     1980.722   1.703175E-4
     1981.056   1.709464E-4
     1981.391   1.715775E-4
     1981.725   1.722071E-4
      1982.06   1.728390E-4
     1982.394   1.734693E-4
     1982.729   1.741020E-4
     1983.063   1.747331E-4
     1983.399   1.753667E-4
     1983.734   1.760005E-4
     1984.069   1.766349E-4
     1984.404   1.772675E-4
      1984.74   1.779024E-4
     1985.074   1.785356E-4
      1985.41   1.791714E-4
     1985.745   1.798074E-4
      1986.08   1.804418E-4
     1986.416   1.810786E-4
     1986.752   1.817159E-4
     1987.088   1.823534E-4
     1987.423   1.829894E-4
     1987.759   1.836276E-4
     1988.094   1.842644E-4
      1988.43   1.849035E-4
     1988.765   1.855408E-4
     1989.101   1.861806E-4
     1989.437   1.868189E-4
     1989.774   1.874616E-4
      1990.11   1.880983E-4
     1990.446   1.887334E-4
     1990.782   1.893665E-4
     1991.118   1.900022E-4
     1991.454   1.906359E-4
     1991.791   1.912722E-4
     1992.127   1.919087E-4
     1992.463   1.925437E-4
       1992.8   1.931810E-4
     1993.137   1.938185E-4
     1993.473   1.944547E-4
      1993.81   1.950929E-4
     1994.147   1.957315E-4
     1994.483   1.963681E-4
     1994.821   1.970073E-4
     1995.157   1.976450E-4
     1995.494   1.982850E-4
     1995.832   1.989252E-4
     1996.169   1.995659E-4
     1996.506   2.002046E-4
     1996.843   2.008456E-4
      1997.18   2.014853E-4
     1997.518   2.021272E-4
     1997.854   2.027674E-4
     1998.192   2.034102E-4
      1998.53   2.040532E-4
     1998.868   2.046964E-4
     1999.205   2.053379E-4
     1999.543   2.059819E-4
     1999.881   2.066261E-4
     2000.218   2.073321E-4
     2000.556   2.080759E-4
     2000.894   2.088177E-4
     2001.232   2.095629E-4
     2001.569   2.103062E-4
     2001.909   2.110550E-4
     2002.246   2.117989E-4
     2002.585   2.125457E-4
     2002.922   2.132905E-4
     2003.261   2.140385E-4
     2003.599   2.147845E-4
     2003.938   2.155332E-4
     2004.275   2.162802E-4
     2004.614   2.170302E-4
     2004.953   2.177804E-4
     2005.292   2.185314E-4
      2005.63   2.192804E-4
     2005.969   2.200322E-4
     2006.309   2.207846E-4
     2006.647   2.215350E-4
     2006.986   2.222885E-4
     2007.324   2.230398E-4
     2007.664   2.237943E-4
     2008.003   2.245491E-4
     2008.343   2.253045E-4
     2008.681   2.260581E-4
     2009.021   2.268147E-4
      2009.36   2.275691E-4
     2009.699   2.283266E-4
     2010.038   2.290823E-4
     2010.378   2.298455E-4
     2010.717   2.306066E-4
     2011.058   2.313732E-4
     2011.397   2.321359E-4
     2011.737   2.329013E-4
     2012.076   2.336651E-4
     2012.416   2.344316E-4
     2012.757   2.351989E-4
     2013.096   2.359640E-4
     2013.436   2.367322E-4
     2013.776   2.374983E-4
     2014.116   2.382676E-4
     2014.457   2.390377E-4
     2014.797   2.398081E-4
     2015.137   2.405765E-4
     2015.478   2.413477E-4
     2015.818   2.421168E-4
     2016.158   2.428890E-4
     2016.498   2.436596E-4
     2016.839   2.444331E-4
      2017.18   2.452070E-4
     2017.521   2.459813E-4
