WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f502n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 5.327810E-18
PIVWV    r 5022.974
BANDW    r 28.89492
TPEAK    r 0.2898417
EQUVW    r 16.408
RECTW    r 56.61023
EMFLX    r 3.199819E-16
        3000.  2.174872E-36
     3000.376  1.904009E-13
     3000.752  3.807699E-13
     3001.127  5.716001E-13
     3001.505  7.635127E-13
      3001.88  9.550196E-13
     3002.258  1.147741E-12
     3002.634  1.339931E-12
      3003.01  1.532585E-12
     3003.385  1.725563E-12
     3003.761  1.918754E-12
     3004.137  2.112539E-12
     3004.513  2.306544E-12
     3004.889  2.500890E-12
     3005.267  2.696584E-12
     3005.645  2.892494E-12
     3006.021  3.087984E-12
     3006.398  3.283934E-12
     3006.774  3.480098E-12
      3007.15  3.676728E-12
     3007.527  3.873569E-12
     3007.903  4.070879E-12
      3008.28  4.268664E-12
     3008.658  4.467565E-12
     3009.036  4.666810E-12
     3009.413  4.865613E-12
      3009.79  5.064759E-12
     3010.166  5.267663E-12
     3010.543  5.475784E-12
      3010.92  5.684688E-12
     3011.297  5.894647E-12
     3011.674  6.105524E-12
     3012.052  6.318282E-12
     3012.431  6.531970E-12
     3012.808  6.745614E-12
     3013.185  6.960311E-12
     3013.562  7.175920E-12
      3013.94  7.392450E-12
     3014.317  7.609901E-12
     3014.694  7.828414E-12
     3015.072  8.047847E-12
     3015.451  8.269062E-12
      3015.83  8.491345E-12
     3016.207  8.713546E-12
     3016.585  8.936803E-12
     3016.962  9.160838E-12
      3017.34  9.385957E-12
     3017.718  9.612003E-12
     3018.096  9.839116E-12
     3018.473  1.006699E-11
     3018.853  1.029683E-11
     3019.232  1.052775E-11
      3019.61  1.075856E-11
     3019.988  1.099030E-11
     3020.366  1.121900E-11
     3020.744  1.144819E-11
     3021.123  1.167830E-11
     3021.501  1.190918E-11
     3021.879  1.214082E-11
     3022.259  1.237429E-11
     3022.639  1.260868E-11
     3023.017  1.284264E-11
     3023.396  1.307754E-11
     3023.774  1.331336E-11
     3024.153  1.354980E-11
     3024.531  1.378701E-11
      3024.91  1.402515E-11
     3025.288  1.426399E-11
     3025.669  1.450466E-11
     3026.049  1.474614E-11
     3026.428  1.498758E-11
     3026.807  1.522964E-11
     3027.186  1.547261E-11
     3027.564  1.571633E-11
     3027.944  1.596099E-11
     3028.323  1.620618E-11
     3028.702  1.645230E-11
     3029.082  1.670016E-11
     3029.463  1.694905E-11
     3029.843  1.719775E-11
     3030.222  1.745036E-11
     3030.601  1.770634E-11
      3030.98  1.796308E-11
      3031.36  1.822099E-11
     3031.739  1.847999E-11
     3032.119  1.873975E-11
       3032.5  1.900177E-11
     3032.881  1.926454E-11
     3033.261  1.952720E-11
      3033.64  1.979076E-11
      3034.02  2.005541E-11
       3034.4  2.032076E-11
      3034.78  2.058720E-11
      3035.16  2.085460E-11
      3035.54  2.112298E-11
     3035.921  2.139367E-11
     3036.303  2.166504E-11
     3036.683  2.193627E-11
     3037.063  2.220842E-11
     3037.443  2.248150E-11
     3037.823  2.275549E-11
     3038.204  2.303066E-11
     3038.584  2.330665E-11
     3038.964  2.358374E-11
     3039.346  2.386283E-11
     3039.729  2.414300E-11
     3040.109  2.441576E-11
      3040.49  2.467212E-11
      3040.87  2.492896E-11
     3041.251  2.518625E-11
     3041.632  2.544402E-11
     3042.012  2.570241E-11
     3042.393  2.596101E-11
     3042.776  2.622140E-11
     3043.158  2.648230E-11
     3043.539  2.674256E-11
      3043.92  2.700346E-11
     3044.301  2.726466E-11
     3044.682  2.752649E-11
     3045.063  2.778877E-11
     3045.445  2.805159E-11
     3045.826  2.831472E-11
     3046.208  2.857956E-11
     3046.592  2.884508E-11
     3046.973  2.910989E-11
     3047.354  2.937506E-11
     3047.736  2.964087E-11
     3048.117  2.990717E-11
     3048.499  3.017386E-11
      3048.88  3.044117E-11
     3049.262  3.070905E-11
     3049.646  3.097840E-11
     3050.029  3.125147E-11
     3050.411  3.156399E-11
     3050.792  3.187763E-11
     3051.174  3.219239E-11
     3051.556  3.250846E-11
     3051.938  3.282545E-11
      3052.32  3.314379E-11
     3052.702  3.346327E-11
     3053.086  3.378526E-11
      3053.47  3.410825E-11
     3053.852  3.443113E-11
     3054.235  3.475518E-11
     3054.617  3.508040E-11
     3054.999  3.540673E-11
     3055.382  3.573418E-11
     3055.764  3.606295E-11
     3056.146  3.639264E-11
     3056.531  3.672512E-11
     3056.915  3.705873E-11
     3057.298  3.739211E-11
      3057.68  3.772637E-11
     3058.063  3.806197E-11
     3058.446  3.839879E-11
     3058.829  3.873672E-11
     3059.212  3.907575E-11
     3059.595  3.941607E-11
     3059.979  3.975883E-11
     3060.364  4.005579E-11
     3060.747  4.034928E-11
      3061.13  4.064322E-11
     3061.513  4.093777E-11
     3061.897  4.123280E-11
      3062.28  4.152818E-11
     3062.663  4.182446E-11
     3063.047  4.212103E-11
     3063.432  4.241942E-11
     3063.817  4.271851E-11
       3064.2  4.301675E-11
     3064.584  4.331549E-11
     3064.968  4.361472E-11
     3065.351  4.391439E-11
     3065.735  4.421475E-11
     3066.119  4.451561E-11
     3066.502  4.481700E-11
     3066.888  4.512024E-11
     3067.273  4.542398E-11
     3067.657  4.572705E-11
     3068.042  4.603063E-11
     3068.426  4.633475E-11
      3068.81  4.663936E-11
     3069.194  4.694457E-11
     3069.578  4.725000E-11
     3069.962  4.755611E-11
     3070.348  4.780112E-11
     3070.734  4.803906E-11
     3071.119  4.827589E-11
     3071.503  4.851237E-11
     3071.887  4.874874E-11
     3072.272  4.898474E-11
     3072.656  4.922042E-11
     3073.041  4.945600E-11
     3073.426  4.969128E-11
     3073.812  4.992748E-11
     3074.199  5.016340E-11
     3074.583  5.039798E-11
     3074.968  5.063231E-11
     3075.353  5.086653E-11
     3075.738  5.110047E-11
     3076.123  5.133416E-11
     3076.508  5.156752E-11
     3076.893  5.180063E-11
      3077.28  5.203474E-11
     3077.667  5.226863E-11
     3078.052  5.250123E-11
     3078.438  5.273356E-11
     3078.823  5.296561E-11
     3079.208  5.319748E-11
     3079.594  5.342886E-11
     3079.979  5.366011E-11
     3080.365  5.382420E-11
     3080.752  5.398434E-11
     3081.139  5.414346E-11
     3081.525  5.430107E-11
     3081.911  5.445772E-11
     3082.297  5.461346E-11
     3082.682  5.476822E-11
     3083.068  5.492213E-11
     3083.454  5.507505E-11
      3083.84  5.522702E-11
     3084.228  5.537874E-11
     3084.616  5.552953E-11
     3085.002  5.567880E-11
     3085.388  5.582697E-11
     3085.774  5.597431E-11
      3086.16  5.612065E-11
     3086.547  5.626611E-11
     3086.933  5.641052E-11
      3087.32  5.655428E-11
     3087.708  5.669774E-11
     3088.096  5.684020E-11
     3088.482  5.698095E-11
