WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f658n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.999179E-18
PIVWV    r 6584.016
BANDW    r 37.15238
TPEAK    r 0.4449753
EQUVW    r 33.35851
RECTW    r 74.96711
EMFLX    r 1.515987E-16
     3079.433  2.595123E-11
     3079.819  2.605895E-11
     3080.204  2.614839E-11
     3080.588  2.622099E-11
     3080.972  2.629305E-11
     3081.358  2.636502E-11
     3081.742  2.643619E-11
     3082.126  2.650688E-11
      3082.51  2.657708E-11
     3082.896  2.664715E-11
     3083.282  2.671672E-11
     3083.666  2.678544E-11
     3084.052  2.685408E-11
     3084.436  2.692191E-11
     3084.821  2.698924E-11
     3085.207  2.705643E-11
     3085.591  2.712283E-11
     3085.976  2.718873E-11
     3086.362  2.725442E-11
     3086.749  2.731968E-11
     3087.133  2.738415E-11
     3087.518  2.744824E-11
     3087.904  2.751215E-11
     3088.289  2.757521E-11
     3088.674  2.763783E-11
     3089.061  2.770024E-11
     3089.446  2.776184E-11
     3089.831  2.782305E-11
     3090.218  2.786215E-11
     3090.604  2.788352E-11
      3090.99  2.790403E-11
     3091.375  2.792377E-11
     3091.762  2.794282E-11
     3092.147  2.796099E-11
     3092.532  2.797838E-11
     3092.919  2.799507E-11
     3093.305  2.801092E-11
     3093.692  2.802605E-11
     3094.078  2.804032E-11
     3094.465  2.805381E-11
     3094.851  2.806646E-11
     3095.236  2.807836E-11
     3095.624  2.808955E-11
      3096.01  2.809991E-11
     3096.395  2.810948E-11
     3096.783  2.811831E-11
     3097.171  2.812635E-11
     3097.557  2.813356E-11
     3097.944  2.814002E-11
      3098.33  2.814566E-11
     3098.717  2.815054E-11
     3099.103  2.815463E-11
     3099.491  2.815797E-11
     3099.877  2.816050E-11
     3100.263  2.813968E-11
     3100.653  2.810704E-11
      3101.04  2.807367E-11
     3101.426  2.803924E-11
     3101.814  2.800365E-11
     3102.201  2.796725E-11
     3102.587  2.792985E-11
     3102.976  2.789132E-11
     3103.362  2.785188E-11
     3103.749  2.781142E-11
     3104.138  2.776983E-11
     3104.526  2.772727E-11
     3104.913  2.768387E-11
       3105.3  2.763945E-11
     3105.689  2.759383E-11
     3106.076  2.754739E-11
     3106.463  2.750003E-11
     3106.852  2.745144E-11
     3107.239  2.740206E-11
     3107.628  2.735145E-11
     3108.015  2.730008E-11
     3108.404  2.724744E-11
     3108.792  2.719405E-11
     3109.179  2.713968E-11
     3109.568  2.708409E-11
     3109.956  2.702776E-11
     3110.344  2.694202E-11
     3110.733  2.685109E-11
     3111.122  2.675890E-11
      3111.51  2.666594E-11
     3111.898  2.657171E-11
     3112.287  2.647592E-11
     3112.675  2.637929E-11
     3113.063  2.628146E-11
     3113.453  2.618201E-11
     3113.841  2.608182E-11
     3114.229  2.598034E-11
     3114.619  2.587719E-11
     3115.008  2.577292E-11
     3115.397  2.566781E-11
     3115.785  2.556156E-11
     3116.175  2.545366E-11
     3116.563  2.534499E-11
     3116.952  2.523513E-11
     3117.342  2.512360E-11
      3117.73  2.501137E-11
     3118.119  2.489788E-11
     3118.511  2.478220E-11
       3118.9  2.466634E-11
     3119.288  2.454926E-11
     3119.677  2.443100E-11
     3120.067  2.431034E-11
     3120.456  2.418567E-11
     3120.845  2.405978E-11
     3121.236  2.393214E-11
     3121.626  2.380329E-11
     3122.016  2.367371E-11
     3122.406  2.354235E-11
     3122.796  2.341036E-11
     3123.185  2.327716E-11
     3123.574  2.314276E-11
     3123.965  2.300656E-11
     3124.354  2.286967E-11
     3124.744  2.273157E-11
     3125.135  2.259166E-11
     3125.526  2.245054E-11
     3125.916  2.230875E-11
     3126.307  2.216511E-11
     3126.697  2.202090E-11
     3127.086  2.187549E-11
     3127.478  2.172822E-11
     3127.867  2.158041E-11
     3128.257  2.143132E-11
     3128.649  2.128038E-11
      3129.04  2.112824E-11
      3129.43  2.097557E-11
      3129.82  2.082159E-11
     3130.212  2.067406E-11
     3130.602  2.053316E-11
     3130.992  2.039099E-11
     3131.384  2.024720E-11
     3131.774  2.010295E-11
     3132.165  1.995754E-11
     3132.557  1.981041E-11
     3132.949  1.966219E-11
     3133.339  1.951352E-11
      3133.73  1.936368E-11
     3134.122  1.921219E-11
     3134.513  1.906019E-11
     3134.903  1.890711E-11
     3135.296  1.875217E-11
     3135.688  1.859625E-11
     3136.079  1.843983E-11
      3136.47  1.828235E-11
     3136.863  1.812310E-11
     3137.253  1.796347E-11
     3137.645  1.780267E-11
     3138.037  1.764019E-11
     3138.428  1.747725E-11
     3138.819  1.731324E-11
     3139.212  1.714733E-11
     3139.605  1.698044E-11
     3139.997  1.681312E-11
     3140.388  1.669759E-11
     3140.781  1.658120E-11
     3141.172  1.646452E-11
     3141.564  1.634694E-11
     3141.957  1.622812E-11
     3142.349  1.610894E-11
     3142.742  1.598842E-11
     3143.135  1.586701E-11
     3143.527  1.574540E-11
     3143.919  1.562289E-11
     3144.311  1.549959E-11
     3144.704  1.537494E-11
     3145.096  1.525003E-11
     3145.488  1.512421E-11
     3145.882  1.499712E-11
     3146.274  1.486971E-11
     3146.668  1.474094E-11
     3147.062  1.461128E-11
     3147.454  1.448145E-11
     3147.846  1.435073E-11
      3148.24  1.421865E-11
     3148.633  1.408633E-11
     3149.025  1.395322E-11
     3149.417  1.381924E-11
     3149.813  1.368336E-11
     3150.206  1.359303E-11
     3150.598  1.354329E-11
     3150.993  1.349291E-11
     3151.385  1.344240E-11
     3151.778  1.339147E-11
     3152.173  1.333993E-11
     3152.566  1.328823E-11
     3152.958  1.323614E-11
     3153.353  1.318340E-11
     3153.748  1.313026E-11
     3154.141  1.307700E-11
     3154.534  1.302327E-11
     3154.929  1.296895E-11
     3155.322  1.291449E-11
     3155.715  1.285962E-11
      3156.11  1.280411E-11
     3156.504  1.274845E-11
     3156.897  1.269237E-11
     3157.292  1.263571E-11
     3157.688  1.257863E-11
     3158.081  1.252140E-11
     3158.475  1.246379E-11
      3158.87  1.240554E-11
     3159.264  1.234713E-11
     3159.657  1.228833E-11
     3160.053  1.225451E-11
     3160.447  1.238578E-11
     3160.842  1.251804E-11
     3161.236  1.265024E-11
     3161.632  1.278335E-11
     3162.026  1.291640E-11
      3162.42  1.304989E-11
     3162.816  1.318447E-11
      3163.21  1.331882E-11
     3163.604  1.345368E-11
        3164.  1.358956E-11
     3164.396  1.372586E-11
     3164.791  1.386208E-11
     3165.185  1.399864E-11
     3165.581  1.413630E-11
     3165.976  1.427380E-11
      3166.37  1.441171E-11
     3166.767  1.455073E-11
