WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f656n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.461279E-16
PIVWV    r 6563.76
BANDW    r 53.76788
TPEAK    r 0.01614914
EQUVW    r 0.4578058
RECTW    r 28.34861
EMFLX    r 4.180899E-15
        1850.   3.396405E-8
      1850.33   3.368611E-8
     1850.659   3.340794E-8
     1850.989   3.312842E-8
     1851.319   3.284825E-8
      1851.65   3.256754E-8
      1851.98   3.228629E-8
      1852.31   3.200440E-8
      1852.64   3.172271E-8
     1852.971   3.143964E-8
     1853.301   3.115602E-8
     1853.631   3.087261E-8
     1853.962   3.058771E-8
     1854.292   3.030226E-8
     1854.623   3.001628E-8
     1854.954   2.972964E-8
     1855.284   2.944331E-8
     1855.615   2.915548E-8
     1855.946   2.886711E-8
     1856.276   2.857894E-8
     1856.608   2.828937E-8
     1856.939   2.799915E-8
     1857.269   2.770924E-8
     1857.602   2.741695E-8
     1857.933   2.712488E-8
     1858.264   2.683322E-8
     1858.595   2.654005E-8
     1858.927   2.624621E-8
     1859.258   2.595270E-8
     1859.589   2.565766E-8
     1859.921   2.536208E-8
     1860.252   2.522363E-8
     1860.585   2.513344E-8
     1860.917   2.504332E-8
     1861.248   2.495331E-8
      1861.58   2.486277E-8
     1861.912   2.477204E-8
     1862.243   2.468139E-8
     1862.576   2.459020E-8
     1862.908   2.449886E-8
      1863.24   2.440756E-8
     1863.573   2.431549E-8
     1863.904   2.422380E-8
     1864.237   2.413158E-8
      1864.57   2.403917E-8
     1864.901   2.394683E-8
     1865.234   2.385399E-8
     1865.567   2.376093E-8
     1865.899   2.366797E-8
     1866.232   2.357448E-8
     1866.566   2.348052E-8
     1866.898   2.338691E-8
     1867.231   2.329279E-8
     1867.564   2.319848E-8
     1867.896   2.310422E-8
      1868.23   2.300948E-8
     1868.563   2.291451E-8
     1868.895   2.281963E-8
     1869.229   2.272422E-8
     1869.562   2.262863E-8
     1869.896   2.253280E-8
      1870.23   2.232533E-8
     1870.563   2.206683E-8
     1870.896   2.180860E-8
      1871.23   2.154911E-8
     1871.564   2.128894E-8
     1871.897   2.102914E-8
     1872.231   2.076798E-8
     1872.565   2.050623E-8
     1872.899   2.024397E-8
     1873.233   1.998113E-8
     1873.566   1.971856E-8
     1873.901   1.945472E-8
     1874.235   1.919029E-8
     1874.568   1.892603E-8
     1874.903   1.866050E-8
     1875.237   1.839447E-8
     1875.572   1.812784E-8
     1875.907   1.786062E-8
     1876.241   1.759289E-8
     1876.575   1.732544E-8
      1876.91   1.705661E-8
     1877.245   1.678717E-8
     1877.579   1.651812E-8
     1877.914   1.624759E-8
     1878.249   1.597655E-8
     1878.584   1.570499E-8
     1878.919   1.543284E-8
     1879.254   1.515939E-8
     1879.589   1.488411E-8
     1879.924   1.460828E-8
      1880.26   1.424028E-8
     1880.594   1.384610E-8
      1880.93   1.345001E-8
     1881.265   1.305329E-8
     1881.601   1.265580E-8
     1881.937   1.225768E-8
     1882.272   1.185996E-8
     1882.607   1.146045E-8
     1882.943   1.106018E-8
     1883.278   1.066044E-8
     1883.614   1.025877E-8
      1883.95   9.856465E-9
     1884.286   9.454708E-9
     1884.623   9.049688E-9
     1884.959   8.645214E-9
     1885.294   8.241286E-9
     1885.631   7.835407E-9
     1885.967   7.428901E-9
     1886.303   7.022947E-9
     1886.639   6.615035E-9
     1886.976   6.206344E-9
     1887.312   5.798214E-9
     1887.648   5.388115E-9
     1887.985   4.977386E-9
     1888.322   4.565877E-9
     1888.659   4.153736E-9
     1888.995   3.742162E-9
     1889.332   3.328608E-9
     1889.669   2.914272E-9
     1890.006   2.505830E-9
     1890.343   2.437327E-9
     1890.681   2.368267E-9
     1891.017   2.299523E-9
     1891.355   2.230444E-9
     1891.692   2.161232E-9
     1892.029   2.092112E-9
     1892.366   2.022682E-9
     1892.704   1.953092E-9
     1893.041   1.883620E-9
     1893.378   1.813811E-9
     1893.716   1.743894E-9
     1894.054   1.673841E-9
     1894.392   1.603654E-9
      1894.73   1.533357E-9
     1895.067   1.463153E-9
     1895.405   1.392612E-9
     1895.744   1.321935E-9
     1896.081   1.251378E-9
     1896.419   1.180456E-9
     1896.757   1.109424E-9
     1897.096   1.038256E-9
     1897.434  9.669775E-10
     1897.772  8.957953E-10
     1898.111  8.242715E-10
     1898.449  7.526371E-10
     1898.787  6.810735E-10
     1899.126  6.091929E-10
     1899.465  5.371759E-10
     1899.802  4.652564E-10
     1900.143  4.269056E-10
     1900.482  4.358073E-10
      1900.82  4.446996E-10
     1901.159  4.536311E-10
     1901.498  4.625791E-10
     1901.836  4.715148E-10
     1902.176  4.804928E-10
     1902.515  4.894875E-10
     1902.854  4.984664E-10
     1903.194  5.075170E-10
     1903.534  5.165552E-10
     1903.872  5.255807E-10
     1904.212  5.346489E-10
     1904.552  5.437306E-10
     1904.891  5.528030E-10
      1905.23  5.619147E-10
      1905.57  5.710433E-10
     1905.909  5.801590E-10
      1906.25  5.893442E-10
      1906.59  5.984903E-10
      1906.93  6.076793E-10
      1907.27  6.168853E-10
     1907.609  6.260749E-10
      1907.95  6.353076E-10
      1908.29  6.445574E-10
     1908.631  6.538239E-10
      1908.97  6.630742E-10
     1909.312  6.723977E-10
     1909.651  6.816783E-10
     1909.992  6.910059E-10
     1910.333  7.723219E-10
     1910.673  8.551590E-10
     1911.014  9.384220E-10
     1911.355   1.021844E-9
     1911.695   1.105125E-9
     1912.036   1.188805E-9
     1912.378   1.272913E-9
     1912.718   1.356641E-9
      1913.06   1.440737E-9
     1913.401   1.525023E-9
     1913.741   1.609167E-9
     1914.083   1.693711E-9
     1914.424   1.778415E-9
     1914.765   1.863006E-9
     1915.107   1.947999E-9
     1915.448   2.033122E-9
      1915.79   2.118406E-9
     1916.132   2.203848E-9
     1916.473   2.289147E-9
     1916.815   2.374849E-9
     1917.157   2.460713E-9
     1917.498   2.546461E-9
      1917.84   2.632615E-9
     1918.182   2.718899E-9
     1918.524   2.805345E-9
     1918.867   2.891921E-9
     1919.209   2.978658E-9
     1919.551   3.065278E-9
     1919.893   3.152307E-9
     1920.236   3.248045E-9
     1920.577   3.347540E-9
      1920.92   3.447543E-9
     1921.263   3.547698E-9
     1921.605   3.648006E-9
     1921.948   3.748502E-9
     1922.291   3.849150E-9
     1922.633   3.949663E-9
     1922.976   4.050687E-9
     1923.319   4.151865E-9
     1923.661   4.252871E-9
     1924.005   4.354390E-9
     1924.348   4.456098E-9
     1924.692   4.557959E-9
     1925.035   4.659973E-9
     1925.377   4.761850E-9
     1925.721   4.864242E-9
     1926.064   4.966753E-9
     1926.407   5.069161E-9
     1926.751   5.172049E-9
     1927.095   5.275130E-9
     1927.438   5.378033E-9
     1927.782   5.481751E-9
