WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f300w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 6.137463E-17
PIVWV    r 2992.787
BANDW    r 325.4557
TPEAK    r 0.002766136
EQUVW    r 2.374097
RECTW    r 858.2719
EMFLX    r 6.051428E-14
     2296.254   2.978849E-6
      2296.62   3.053644E-6
      2296.99   3.129186E-6
     2297.357   3.204327E-6
     2297.724   3.279616E-6
     2298.092   3.355355E-6
     2298.459   3.430992E-6
     2298.828   3.507030E-6
     2299.195   3.582964E-6
     2299.564   3.659352E-6
     2299.931   3.735634E-6
       2300.3   3.844461E-6
     2300.669   3.960967E-6
     2301.036   4.077238E-6
     2301.405   4.194202E-6
     2301.773   4.311005E-6
     2302.142   4.428504E-6
      2302.51   4.545764E-6
     2302.879   4.663720E-6
     2303.247   4.781514E-6
     2303.616   4.900008E-6
     2303.985   5.018653E-6
     2304.353   5.137214E-6
     2304.723   5.256397E-6
     2305.091   5.375495E-6
      2305.46   5.495139E-6
     2305.829   5.614696E-6
     2306.198   5.734881E-6
     2306.567   5.854898E-6
     2306.937   5.975624E-6
     2307.307   6.096582E-6
     2307.675   6.217290E-6
     2308.045   6.338790E-6
     2308.414   6.460039E-6
     2308.784   6.582004E-6
     2309.153   6.703798E-6
     2309.523   6.826227E-6
     2309.892   6.948564E-6
     2310.262   7.139257E-6
     2310.633   7.358388E-6
     2311.002   7.577215E-6
     2311.372   7.797327E-6
     2311.742   8.017133E-6
     2312.112   8.238084E-6
     2312.482   8.458723E-6
     2312.852   8.680513E-6
     2313.222   8.902137E-6
     2313.593   9.124914E-6
     2313.964   9.348109E-6
     2314.333   9.570991E-6
     2314.704   9.795177E-6
     2315.074   1.001890E-5
     2315.445   1.024407E-5
     2315.815   1.046878E-5
     2316.185   1.069391E-5
     2316.556   1.092035E-5
     2316.928   1.114722E-5
     2317.299   1.137466E-5
     2317.669   1.160163E-5
     2318.041   1.182991E-5
     2318.411   1.205787E-5
     2318.783   1.228716E-5
     2319.154   1.251597E-5
     2319.524   1.274535E-5
     2319.896   1.297591E-5
     2320.268   1.325542E-5
      2320.64   1.355450E-5
      2321.01   1.385296E-5
     2321.383   1.415314E-5
     2321.753   1.445289E-5
     2322.125   1.475338E-5
     2322.497   1.505541E-5
     2322.868   1.535701E-5
      2323.24   1.566014E-5
     2323.613   1.596383E-5
     2323.985   1.626828E-5
     2324.356   1.657227E-5
     2324.729   1.687782E-5
     2325.101   1.718312E-5
     2325.472   1.748877E-5
     2325.845   1.779618E-5
     2326.216   1.810314E-5
     2326.589   1.841187E-5
     2326.962   1.872094E-5
     2327.335   1.903079E-5
     2327.707   1.934016E-5
     2328.079   1.965030E-5
     2328.452   1.996181E-5
     2328.824   2.027305E-5
     2329.198   2.058589E-5
      2329.57   2.089845E-5
     2329.943   2.121239E-5
     2330.317   2.168185E-5
      2330.69   2.217997E-5
     2331.063   2.267768E-5
     2331.435   2.317595E-5
     2331.809   2.367707E-5
     2332.181   2.417745E-5
     2332.555   2.468035E-5
     2332.928   2.518285E-5
     2333.302   2.568788E-5
     2333.675   2.619215E-5
     2334.049   2.669897E-5
     2334.423   2.720702E-5
     2334.796   2.771398E-5
      2335.17   2.822416E-5
     2335.543   2.873325E-5
     2335.918   2.924489E-5
     2336.291   2.975610E-5
     2336.666   3.026988E-5
      2337.04   3.078457E-5
     2337.414   3.129882E-5
     2337.788   3.181563E-5
     2338.162   3.233134E-5
     2338.537   3.285031E-5
      2338.91   3.336816E-5
     2339.285   3.388893E-5
     2339.659   3.440893E-5
     2340.034   3.493583E-5
     2340.408   3.550559E-5
     2340.783   3.607780E-5
     2341.158   3.665137E-5
     2341.532   3.722407E-5
     2341.908   3.779998E-5
     2342.282   3.837501E-5
     2342.657   3.895290E-5
     2343.032   3.952989E-5
     2343.407   4.010975E-5
     2343.783   4.069097E-5
     2344.157   4.127129E-5
     2344.533   4.185451E-5
     2344.908   4.243679E-5
     2345.284   4.302236E-5
     2345.658   4.360700E-5
     2346.034   4.419454E-5
     2346.409   4.478117E-5
     2346.785   4.537107E-5
      2347.16   4.596006E-5
     2347.537   4.655196E-5
     2347.913   4.714523E-5
     2348.288   4.773719E-5
     2348.665   4.833247E-5
      2349.04   4.892679E-5
     2349.417   4.952445E-5
     2349.792   5.012077E-5
     2350.167   5.085424E-5
     2350.545   5.176403E-5
     2350.921   5.266947E-5
     2351.298   5.357996E-5
     2351.673   5.448901E-5
      2352.05   5.540254E-5
     2352.426   5.631464E-5
     2352.803   5.723181E-5
     2353.179   5.814754E-5
     2353.555   5.906479E-5
     2353.932   5.998656E-5
      2354.31   6.091044E-5
     2354.687   6.183588E-5
     2355.063   6.275983E-5
     2355.441   6.368833E-5
     2355.817   6.461592E-5
     2356.194   6.554447E-5
     2356.571   6.647817E-5
     2356.948   6.741037E-5
     2357.327   6.835078E-5
     2357.704   6.928665E-5
     2358.082   7.022712E-5
     2358.458   7.116606E-5
     2358.835   7.210716E-5
     2359.213   7.305286E-5
      2359.59   7.399703E-5
     2359.969   7.494583E-5
     2360.345   7.607792E-5
     2360.724   7.723324E-5
     2361.102   7.839041E-5
     2361.481   7.955019E-5
     2361.858   8.070736E-5
     2362.236   8.186713E-5
     2362.614   8.303254E-5
     2362.992   8.419604E-5
     2363.371   8.536594E-5
     2363.748   8.653318E-5
     2364.128   8.771138E-5
     2364.506   8.888314E-5
     2364.884   9.005674E-5
     2365.263   9.123679E-5
     2365.641   9.241491E-5
      2366.02   9.359872E-5
     2366.398   9.478137E-5
     2366.778   9.596973E-5
     2367.156   9.715536E-5
     2367.535   9.834825E-5
     2367.915   9.954227E-5
     2368.293   1.007351E-4
     2368.673   1.019336E-4
     2369.051   1.031302E-4
     2369.431   1.043333E-4
     2369.809   1.055337E-4
     2370.189   1.068809E-4
     2370.568   1.083650E-4
     2370.948   1.098561E-4
     2371.328   1.113506E-4
     2371.707   1.128426E-4
     2372.087   1.143417E-4
     2372.466   1.158392E-4
     2372.846   1.173430E-4
     2373.226   1.188453E-4
     2373.606   1.203557E-4
     2373.985   1.218626E-4
     2374.366   1.233776E-4
     2374.747   1.248950E-4
     2375.126   1.264099E-4
     2375.507   1.279330E-4
     2375.886   1.294525E-4
     2376.267   1.309803E-4
     2376.647   1.325055E-4
     2377.028   1.340390E-4
     2377.407   1.355689E-4
     2377.789   1.371070E-4
      2378.17   1.386485E-4
      2378.55   1.401865E-4
     2378.931   1.417326E-4
     2379.311   1.432762E-4
     2379.693   1.448272E-4
     2380.073   1.464150E-4
     2380.454   1.481788E-4
     2380.835   1.499397E-4
     2381.216   1.517089E-4
     2381.598   1.534818E-4
     2381.979   1.552518E-4
     2382.361   1.570301E-4
     2382.741   1.588053E-4
     2383.123   1.605890E-4
     2383.504   1.623707E-4
     2383.886   1.641607E-4
     2384.267   1.659478E-4
     2384.648   1.677375E-4
     2385.031   1.695436E-4
     2385.412   1.713386E-4
     2385.795   1.731444E-4
     2386.176   1.749459E-4
     2386.559   1.767570E-4
      2386.94   1.785651E-4
     2387.323   1.803816E-4
     2387.704   1.821949E-4
     2388.085   1.840121E-4
     2388.469   1.858437E-4
     2388.851   1.876662E-4
     2389.234   1.894984E-4
     2389.616   1.913264E-4
     2389.998   1.931581E-4
     2390.381   1.953385E-4
     2390.763   1.975158E-4
     2391.146   1.997046E-4
     2391.528   2.018883E-4
     2391.913   2.040919E-4
     2392.295   2.062847E-4
     2392.678   2.084862E-4
     2393.061   2.106853E-4
     2393.443   2.128876E-4
     2393.827   2.151015E-4
     2394.209   2.173102E-4
     2394.593   2.195319E-4
     2394.976   2.217483E-4
     2395.361   2.239835E-4
     2395.743   2.262063E-4
     2396.127   2.284408E-4
      2396.51   2.306714E-4
     2396.893   2.329066E-4
     2397.278   2.351521E-4
      2397.66   2.373923E-4
     2398.045   2.396457E-4
     2398.428   2.418936E-4
     2398.814   2.441606E-4
     2399.197   2.464165E-4
     2399.582   2.486841E-4
     2399.965   2.509464E-4
     2400.348   2.533489E-4
     2400.733   2.557793E-4
