WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f814w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 7.072362E-20
PIVWV    r 8059.762
BANDW    r 654.6541
TPEAK    r 0.4409194
EQUVW    r 767.7183
RECTW    r 1741.176
EMFLX    r 1.521122E-16
        4000.   1.659310E-7
     4000.389   1.659158E-7
     4000.781   1.659005E-7
     4001.169   1.658852E-7
      4001.56   1.658697E-7
     4001.951   1.658541E-7
     4002.342   1.658385E-7
     4002.731   1.658230E-7
      4003.12   1.658073E-7
     4003.511   1.657916E-7
       4003.9   1.657759E-7
     4004.292   1.657600E-7
     4004.681   1.657441E-7
     4005.072   1.657281E-7
     4005.464   1.657120E-7
     4005.853   1.656959E-7
     4006.244   1.656797E-7
     4006.634   1.656636E-7
     4007.025   1.656473E-7
     4007.415   1.656311E-7
     4007.806   1.656148E-7
     4008.196   1.655986E-7
     4008.585   1.655823E-7
     4008.979   1.655659E-7
     4009.369   1.655494E-7
      4009.76   1.655329E-7
      4010.15   1.655144E-7
     4010.542   1.654927E-7
     4010.932   1.654710E-7
     4011.321   1.654494E-7
     4011.713   1.654275E-7
     4012.103   1.654058E-7
     4012.498   1.653837E-7
     4012.887   1.653618E-7
      4013.28   1.653397E-7
     4013.669   1.653178E-7
      4014.06   1.652958E-7
     4014.452   1.652738E-7
     4014.842   1.652517E-7
     4015.234   1.652295E-7
     4015.625   1.652074E-7
     4016.019   1.651849E-7
     4016.409   1.651624E-7
       4016.8   1.651400E-7
     4017.192   1.651174E-7
     4017.583   1.650950E-7
     4017.975   1.650724E-7
     4018.365   1.650498E-7
     4018.758   1.650271E-7
     4019.149   1.650046E-7
     4019.542   1.649818E-7
     4019.934   1.649591E-7
     4020.325   1.649435E-7
     4020.718   1.649292E-7
     4021.109   1.649150E-7
     4021.501   1.649007E-7
     4021.892   1.648864E-7
     4022.283   1.648721E-7
     4022.676   1.648576E-7
     4023.069   1.648431E-7
     4023.462   1.648286E-7
     4023.854   1.648141E-7
     4024.247   1.647995E-7
     4024.638   1.647848E-7
     4025.029   1.647701E-7
     4025.422   1.647552E-7
     4025.813   1.647404E-7
     4026.207   1.647254E-7
       4026.6   1.647104E-7
     4026.994   1.646954E-7
     4027.385   1.646803E-7
     4027.776   1.646652E-7
      4028.17   1.646500E-7
     4028.561   1.646349E-7
     4028.955   1.646196E-7
     4029.347   1.646043E-7
      4029.74   1.645889E-7
     4030.134   1.645703E-7
     4030.526   1.645458E-7
      4030.92   1.645210E-7
     4031.311   1.644966E-7
     4031.705   1.644719E-7
     4032.097   1.644473E-7
     4032.491   1.644225E-7
     4032.883   1.643978E-7
     4033.277   1.643728E-7
     4033.671   1.643477E-7
     4034.063   1.643228E-7
     4034.457   1.642977E-7
     4034.849   1.642727E-7
     4035.244   1.642476E-7
     4035.636   1.642226E-7
      4036.03   1.641974E-7
     4036.422   1.641722E-7
     4036.815   1.641470E-7
     4037.211   1.641213E-7
     4037.604   1.640960E-7
     4037.998   1.640705E-7
     4038.391   1.640451E-7
     4038.783   1.640197E-7
     4039.178   1.639940E-7
      4039.57   1.639684E-7
     4039.965   1.639426E-7
     4040.358   1.639103E-7
     4040.755   1.638769E-7
     4041.147   1.638439E-7
      4041.54   1.638108E-7
     4041.935   1.637775E-7
     4042.328   1.637442E-7
     4042.723   1.637106E-7
     4043.115   1.636773E-7
     4043.511   1.636438E-7
     4043.904   1.636104E-7
     4044.299   1.635769E-7
     4044.694   1.635432E-7
     4045.087   1.635097E-7
     4045.482   1.634759E-7
     4045.875   1.634423E-7
     4046.271   1.634084E-7
     4046.664   1.633746E-7
      4047.06   1.633406E-7
     4047.453   1.633069E-7
     4047.848   1.632728E-7
     4048.244   1.632387E-7
     4048.637   1.632049E-7
     4049.033   1.631707E-7
     4049.426   1.631366E-7
     4049.822   1.631023E-7
     4050.216   1.630648E-7
     4050.609   1.630246E-7
     4051.005   1.629841E-7
     4051.399   1.629437E-7
     4051.797   1.629029E-7
      4052.19   1.628625E-7
     4052.584   1.628220E-7
      4052.98   1.627813E-7
     4053.374   1.627407E-7
      4053.77   1.626998E-7
     4054.164   1.626591E-7
      4054.56   1.626182E-7
     4054.954   1.625774E-7
     4055.351   1.625365E-7
     4055.747   1.624956E-7
     4056.141   1.624548E-7
     4056.537   1.624136E-7
     4056.932   1.623726E-7
     4057.328   1.623314E-7
     4057.722   1.622905E-7
     4058.119   1.622492E-7
     4058.513   1.622081E-7
      4058.91   1.621666E-7
     4059.306   1.621250E-7
     4059.701   1.620837E-7
     4060.098   1.620438E-7
     4060.492   1.620097E-7
     4060.889   1.619753E-7
     4061.284   1.619408E-7
     4061.678   1.619063E-7
     4062.075   1.618714E-7
     4062.472   1.618367E-7
     4062.869   1.618019E-7
     4063.264   1.617673E-7
     4063.661   1.617324E-7
     4064.056   1.616977E-7
     4064.451   1.616629E-7
     4064.848   1.616279E-7
     4065.243   1.615930E-7
      4065.64   1.615577E-7
     4066.038   1.615225E-7
     4066.435   1.614872E-7
      4066.83   1.614522E-7
     4067.225   1.614170E-7
     4067.623   1.613815E-7
     4068.018   1.613462E-7
     4068.416   1.613107E-7
     4068.811   1.612754E-7
     4069.208   1.612399E-7
     4069.606   1.612042E-7
     4070.002   1.611687E-7
     4070.399   1.611370E-7
     4070.795   1.611052E-7
     4071.193   1.610734E-7
     4071.588   1.610416E-7
     4071.986   1.610096E-7
     4072.382   1.609776E-7
     4072.778   1.609456E-7
     4073.178   1.609132E-7
     4073.574   1.608812E-7
     4073.972   1.608489E-7
     4074.368   1.608167E-7
     4074.766   1.607842E-7
     4075.162   1.607520E-7
     4075.558   1.607200E-7
     4075.956   1.606877E-7
     4076.352   1.606552E-7
     4076.753   1.606223E-7
     4077.149   1.605898E-7
     4077.547   1.605570E-7
     4077.944   1.605244E-7
      4078.34   1.604917E-7
     4078.738   1.604587E-7
     4079.135   1.604258E-7
     4079.533   1.603928E-7
      4079.93   1.603599E-7
     4080.331   1.603191E-7
     4080.727   1.602772E-7
     4081.124   1.602352E-7
     4081.522   1.601929E-7
     4081.919   1.601507E-7
     4082.318   1.601083E-7
     4082.715   1.600660E-7
     4083.114   1.600235E-7
      4083.51   1.599810E-7
      4083.91   1.599383E-7
     4084.309   1.598956E-7
     4084.706   1.598531E-7
     4085.105   1.598103E-7
     4085.502   1.597678E-7
     4085.901   1.597249E-7
     4086.298   1.596823E-7
     4086.695   1.596397E-7
     4087.094   1.595967E-7
     4087.494   1.595537E-7
     4087.893   1.595107E-7
     4088.291   1.594677E-7
      4088.69   1.594244E-7
     4089.087   1.593814E-7
     4089.485   1.593385E-7
     4089.884   1.592953E-7
     4090.282   1.592526E-7
     4090.681   1.592097E-7
     4091.081   1.591668E-7
     4091.481   1.591241E-7
