WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,fuvmama,25mama
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 2.341392E-17
PIVWV    r 1369.428
BANDW    r 135.2006
TPEAK    r 0.04285724
EQUVW    r 13.62213
RECTW    r 317.849
EMFLX    r 9.694944E-15
     1213.115    0.03829856
     1213.377    0.03842644
      1213.64    0.03855476
     1213.903    0.03868299
     1214.165    0.03881136
     1214.428    0.03893994
      1214.69    0.03906836
     1214.953    0.03919723
     1215.216     0.0393263
     1215.479    0.03945557
     1215.742    0.03958499
     1216.005    0.03971485
     1216.268    0.03984462
     1216.531    0.03997459
     1216.795    0.04010471
     1217.058    0.04023498
     1217.321    0.04036544
     1217.584    0.04049605
     1217.848    0.04062681
     1218.111    0.04075783
     1218.375    0.04088895
     1218.638    0.04102026
     1218.902    0.04115178
     1219.166    0.04128344
     1219.429    0.04141526
     1219.693    0.04154729
     1219.957    0.04167952
     1220.221    0.04171545
     1220.485    0.04173258
     1220.749    0.04174975
     1221.013    0.04176683
     1221.277    0.04178395
     1221.541    0.04180105
     1221.805    0.04181816
      1222.07    0.04183525
     1222.334    0.04185235
     1222.599    0.04186944
     1222.863    0.04188651
     1223.128    0.04190363
     1223.393     0.0419207
     1223.657    0.04193776
     1223.922    0.04195483
     1224.187    0.04197189
     1224.452    0.04198893
     1224.716    0.04200593
     1224.981    0.04202297
     1225.246    0.04204001
     1225.511    0.04205707
     1225.777     0.0420741
     1226.042     0.0420911
     1226.307    0.04210812
     1226.572    0.04212512
     1226.838    0.04214212
     1227.103    0.04215911
     1227.368     0.0421761
     1227.634    0.04219308
       1227.9    0.04221006
     1228.165    0.04222703
     1228.431    0.04224399
     1228.697    0.04226095
     1228.962    0.04227789
     1229.228    0.04229485
     1229.494     0.0423118
      1229.76    0.04232873
     1230.026     0.0423451
     1230.292     0.0423562
     1230.559    0.04236734
     1230.824    0.04237842
     1231.091    0.04238951
     1231.357    0.04240061
     1231.623     0.0424117
      1231.89    0.04242279
     1232.156    0.04243387
     1232.423    0.04244494
      1232.69    0.04245604
     1232.957     0.0424671
     1233.224    0.04247816
      1233.49    0.04248922
     1233.757    0.04250027
     1234.024    0.04251131
      1234.29    0.04252233
     1234.558    0.04253339
     1234.824    0.04254439
     1235.091    0.04255541
     1235.359    0.04256647
     1235.627    0.04257748
     1235.894    0.04258849
     1236.161     0.0425995
     1236.429     0.0426105
     1236.696    0.04262149
     1236.964    0.04263249
     1237.231    0.04264347
     1237.499    0.04265445
     1237.766    0.04266542
     1238.034     0.0426764
     1238.302    0.04268737
      1238.57    0.04269832
     1238.838    0.04270928
     1239.106    0.04272023
     1239.374    0.04273118
     1239.642    0.04274211
      1239.91    0.04275305
     1240.179    0.04275861
     1240.447    0.04276145
     1240.715    0.04276428
     1240.983    0.04276711
     1241.252    0.04276993
      1241.52    0.04277276
     1241.789    0.04277556
     1242.058    0.04277837
     1242.327    0.04278118
     1242.596    0.04278398
     1242.865    0.04278677
     1243.133    0.04278954
     1243.402    0.04279232
     1243.671     0.0427951
      1243.94    0.04279786
     1244.209    0.04280062
     1244.478    0.04280337
     1244.747    0.04280612
     1245.017    0.04280887
     1245.286    0.04281161
     1245.556    0.04281434
     1245.825    0.04281706
     1246.095    0.04281979
     1246.364     0.0428225
     1246.634     0.0428252
     1246.903     0.0428279
     1247.173     0.0428306
     1247.443    0.04283329
     1247.713    0.04283597
     1247.983    0.04283865
     1248.253    0.04284132
     1248.523    0.04284399
     1248.793    0.04284665
     1249.063     0.0428493
     1249.333    0.04285196
     1249.603     0.0428546
     1249.874    0.04285724
     1250.145    0.04285464
     1250.415    0.04284751
     1250.685     0.0428404
     1250.956    0.04283326
     1251.226    0.04282611
     1251.497    0.04281897
     1251.768    0.04281181
     1252.039    0.04280464
      1252.31    0.04279748
     1252.581     0.0427903
     1252.852    0.04278314
     1253.123    0.04277596
     1253.394    0.04276878
     1253.665    0.04276159
     1253.936     0.0427544
     1254.207    0.04274721
     1254.479    0.04274001
      1254.75     0.0427328
     1255.021    0.04272559
     1255.293    0.04271838
     1255.565    0.04271116
     1255.836    0.04270394
     1256.108    0.04269671
      1256.38    0.04268948
     1256.651    0.04268224
     1256.923      0.042675
     1257.195    0.04266777
     1257.467    0.04266051
     1257.739    0.04265325
     1258.011    0.04264599
     1258.283    0.04263873
     1258.555    0.04263146
     1258.828    0.04262419
       1259.1    0.04261691
     1259.372    0.04260962
     1259.646    0.04260232
     1259.918    0.04259503
     1260.191    0.04258114
     1260.463     0.0425644
     1260.736    0.04254765
     1261.008    0.04253095
     1261.281     0.0425142
     1261.553    0.04249745
     1261.826     0.0424807
       1262.1    0.04246389
     1262.373    0.04244712
     1262.646    0.04243036
     1262.919    0.04241359
     1263.192    0.04239681
     1263.466    0.04238003
     1263.739    0.04236325
     1264.012    0.04234646
     1264.286    0.04232967
     1264.559    0.04231286
     1264.833    0.04229606
     1265.106    0.04227927
      1265.38    0.04226245
     1265.654    0.04224565
     1265.928    0.04222883
     1266.202      0.042212
     1266.475    0.04219518
     1266.749    0.04217836
     1267.024    0.04216148
     1267.297    0.04214469
     1267.572    0.04212785
     1267.846      0.042111
      1268.12    0.04209416
     1268.394    0.04207731
     1268.669    0.04206045
     1268.943    0.04204359
     1269.218    0.04202673
     1269.493    0.04200982
     1269.768    0.04199295
     1270.042    0.04197563
