WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f502n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.004924E-16
PIVWV    r 5013.257
BANDW    r 48.2887
TPEAK    r 0.008138288
EQUVW    r 0.2914694
RECTW    r 35.81459
EMFLX    r 1.092269E-14
      1920.92   3.121399E-9
     1921.263   3.151921E-9
     1921.605   3.182486E-9
     1921.948   3.213107E-9
     1922.291   3.243772E-9
     1922.633   3.274394E-9
     1922.976   3.305168E-9
     1923.319   3.335987E-9
     1923.661   3.366752E-9
     1924.005   3.397671E-9
     1924.348   3.428645E-9
     1924.692   3.459663E-9
     1925.035   3.490726E-9
     1925.377   3.521744E-9
     1925.721   3.552918E-9
     1926.064   3.584124E-9
     1926.407   3.615298E-9
     1926.751   3.646615E-9
     1927.095   3.677989E-9
     1927.438   3.709306E-9
     1927.782   3.740869E-9
     1928.126   3.772387E-9
     1928.469   3.803849E-9
     1928.813   3.835468E-9
     1929.158   3.867142E-9
     1929.501   3.898760E-9
     1929.845   3.930523E-9
     1930.189   3.953536E-9
     1930.533   3.969329E-9
     1930.878   3.985243E-9
     1931.223   4.001127E-9
     1931.566   4.016987E-9
     1931.911   4.032923E-9
     1932.255   4.048829E-9
     1932.599   4.064805E-9
     1932.944   4.080808E-9
     1933.289   4.096837E-9
     1933.633   4.112835E-9
     1933.979   4.128956E-9
     1934.323   4.145007E-9
     1934.668   4.161123E-9
     1935.014   4.177266E-9
     1935.358   4.193383E-9
     1935.703   4.209572E-9
     1936.049   4.225781E-9
     1936.393   4.241965E-9
     1936.739   4.258228E-9
     1937.085   4.274563E-9
      1937.43   4.290813E-9
     1937.775   4.307144E-9
     1938.121   4.323498E-9
     1938.466   4.339823E-9
     1938.812   4.356226E-9
     1939.158   4.372649E-9
     1939.503   4.389046E-9
     1939.849   4.405517E-9
     1940.195   4.413023E-9
     1940.541   4.413566E-9
     1940.887   4.414105E-9
     1941.233   4.414639E-9
     1941.579   4.415170E-9
     1941.926   4.415698E-9
     1942.272   4.416221E-9
     1942.618   4.416739E-9
     1942.964   4.417254E-9
     1943.311   4.417766E-9
     1943.658   4.418272E-9
     1944.004   4.418776E-9
      1944.35   4.419273E-9
     1944.697   4.419769E-9
     1945.044   4.420260E-9
      1945.39   4.420745E-9
     1945.737   4.421228E-9
     1946.084   4.421707E-9
     1946.432   4.422181E-9
     1946.779   4.422652E-9
     1947.126   4.423120E-9
     1947.473   4.423581E-9
      1947.82   4.424039E-9
     1948.168   4.424494E-9
     1948.514   4.424942E-9
     1948.862   4.425389E-9
      1949.21   4.425831E-9
     1949.558   4.426270E-9
     1949.905   4.426703E-9
     1950.252   4.432746E-9
       1950.6   4.440925E-9
     1950.948   4.449111E-9
     1951.295   4.457283E-9
     1951.644   4.465488E-9
     1951.992   4.473704E-9
     1952.339   4.481902E-9
     1952.688   4.490162E-9
     1953.037   4.498404E-9
     1953.384   4.506631E-9
     1953.733   4.514895E-9
     1954.081   4.523163E-9
     1954.429   4.531418E-9
     1954.778   4.539709E-9
     1955.127   4.548007E-9
     1955.474   4.556288E-9
     1955.823   4.564608E-9
     1956.173   4.572958E-9
     1956.521   4.581269E-9
      1956.87   4.589615E-9
      1957.22   4.597968E-9
     1957.568   4.606306E-9
     1957.917   4.614682E-9
     1958.266   4.623064E-9
     1958.615   4.631430E-9
     1958.965   4.639856E-9
     1959.314   4.648241E-9
     1959.663   4.656661E-9
     1960.013   4.664332E-9
     1960.362   4.652473E-9
     1960.712   4.640558E-9
     1961.061   4.628616E-9
     1961.411   4.616644E-9
      1961.76   4.604688E-9
      1962.11   4.592666E-9
      1962.46   4.580620E-9
     1962.811   4.568550E-9
     1963.161   4.556453E-9
      1963.51   4.544365E-9
      1963.86   4.532215E-9
     1964.211   4.520037E-9
      1964.56   4.507875E-9
     1964.911   4.495645E-9
     1965.262   4.483353E-9
     1965.612   4.471110E-9
     1965.963   4.458806E-9
     1966.314   4.446471E-9
     1966.663   4.434152E-9
     1967.014   4.421766E-9
     1967.365   4.409357E-9
     1967.715   4.396958E-9
     1968.066   4.384496E-9
     1968.417   4.372007E-9
     1968.769   4.359492E-9
      1969.12   4.346950E-9
      1969.47   4.334419E-9
     1969.822   4.321828E-9
     1970.173   4.314201E-9
     1970.524   4.311712E-9
     1970.875   4.309207E-9
     1971.227   4.306693E-9
     1971.579   4.304169E-9
      1971.93   4.301636E-9
     1972.282   4.299094E-9
     1972.633   4.296551E-9
     1972.985   4.293991E-9
     1973.337   4.291421E-9
     1973.688   4.288850E-9
      1974.04   4.286263E-9
     1974.393   4.283667E-9
     1974.744   4.281068E-9
     1975.097   4.278446E-9
      1975.45   4.275821E-9
     1975.801   4.273194E-9
     1976.154   4.270551E-9
     1976.506   4.267899E-9
     1976.858   4.265245E-9
     1977.211   4.262576E-9
     1977.563   4.259896E-9
     1977.916   4.257207E-9
     1978.269   4.254509E-9
     1978.621   4.251809E-9
     1978.974   4.249092E-9
     1979.327   4.246365E-9
     1979.679   4.243638E-9
     1980.033   4.244175E-9
     1980.386   4.277018E-9
     1980.738   4.309817E-9
     1981.092   4.342775E-9
     1981.446   4.375871E-9
     1981.799   4.408829E-9
     1982.152   4.441937E-9
     1982.506   4.475091E-9
     1982.859   4.508199E-9
     1983.212   4.541456E-9
     1983.566   4.574770E-9
     1983.919   4.608040E-9
     1984.274   4.641561E-9
