WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,sbc,f165lp
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.372514E-16
PIVWV    r 1757.898
BANDW    r 86.29279
TPEAK    r 0.009021739
EQUVW    r 1.817685
RECTW    r 201.4783
EMFLX    r 3.619446E-14
        1500.   9.557331E-5
     1500.207   9.542423E-5
     1500.416   9.527448E-5
     1500.623   9.512540E-5
     1500.832   9.497594E-5
      1501.04   9.482654E-5
     1501.249   9.467729E-5
     1501.456   9.452870E-5
     1501.664   9.438032E-5
     1501.873   9.423141E-5
      1502.08   9.408324E-5
     1502.289   9.393459E-5
     1502.497   9.378663E-5
     1502.706   9.363818E-5
     1502.914   9.348989E-5
     1503.122   9.334234E-5
     1503.331   9.319431E-5
     1503.539   9.304699E-5
     1503.748   9.289916E-5
     1503.956   9.275210E-5
     1504.165   9.260445E-5
     1504.373   9.245760E-5
     1504.582   9.231035E-5
     1504.791   9.216316E-5
     1504.999   9.201661E-5
     1505.208   9.186970E-5
     1505.416   9.172345E-5
     1505.625   9.157675E-5
     1505.834   9.143068E-5
     1506.043   9.128425E-5
     1506.251   9.113849E-5
     1506.461   9.099226E-5
      1506.67   9.084617E-5
     1506.878   9.070073E-5
     1507.088   9.055484E-5
     1507.296   9.040969E-5
     1507.505   9.026408E-5
     1507.714   9.011921E-5
     1507.923   8.997381E-5
     1508.132   8.982913E-5
     1508.342   8.968401E-5
     1508.551   8.953901E-5
      1508.76   8.939468E-5
     1508.969   8.924991E-5
     1509.178   8.910584E-5
     1509.388   8.896133E-5
     1509.597   8.881748E-5
     1509.806   8.867319E-5
     1510.015   8.852953E-5
     1510.224   8.838501E-5
     1510.435   8.823953E-5
     1510.644   8.809528E-5
     1510.854   8.795060E-5
     1511.063   8.780663E-5
     1511.272   8.766225E-5
     1511.481   8.751849E-5
     1511.691   8.737429E-5
     1511.901   8.723083E-5
      1512.11   8.708743E-5
     1512.321   8.694307E-5
      1512.53   8.679996E-5
      1512.74   8.665632E-5
     1512.949   8.651349E-5
     1513.159   8.637014E-5
     1513.369   8.622750E-5
     1513.578   8.608503E-5
     1513.788   8.594211E-5
     1513.998   8.579982E-5
     1514.209   8.565663E-5
     1514.418   8.551462E-5
     1514.629   8.537211E-5
     1514.838   8.523041E-5
     1515.048   8.508877E-5
     1515.258   8.494668E-5
     1515.468   8.480524E-5
     1515.678   8.466344E-5
     1515.888   8.452229E-5
       1516.1   8.438013E-5
     1516.309   8.423926E-5
     1516.519   8.409854E-5
      1516.73   8.395729E-5
      1516.94   8.381676E-5
      1517.15   8.367581E-5
      1517.36   8.353550E-5
     1517.571   8.339483E-5
     1517.781   8.325480E-5
     1517.992   8.311434E-5
     1518.203   8.297396E-5
     1518.413   8.283434E-5
     1518.624   8.269423E-5
     1518.834   8.255484E-5
     1519.045   8.241500E-5
     1519.255   8.227582E-5
     1519.466   8.213620E-5
     1519.676   8.199731E-5
     1519.887   8.185796E-5
     1520.098   8.171838E-5
     1520.309   8.157914E-5
      1520.52   8.143956E-5
      1520.73   8.130053E-5
     1520.941   8.116115E-5
     1521.152   8.102242E-5
     1521.363   8.088326E-5
     1521.573   8.074481E-5
     1521.785   8.060585E-5
     1521.996   8.046712E-5
     1522.207   8.032902E-5
     1522.418   8.019051E-5
     1522.629   8.005262E-5
      1522.84   7.991439E-5
     1523.051   7.977679E-5
     1523.263   7.963879E-5
     1523.473   7.950138E-5
     1523.684   7.936421E-5
     1523.897   7.922600E-5
     1524.107   7.908903E-5
     1524.319   7.895166E-5
      1524.53   7.881492E-5
     1524.742   7.867775E-5
     1524.953   7.854130E-5
     1525.165   7.840539E-5
     1525.376   7.827040E-5
     1525.587   7.813508E-5
     1525.799   7.799982E-5
      1526.01   7.786516E-5
     1526.222   7.773018E-5
     1526.434   7.759581E-5
     1526.646   7.746104E-5
     1526.857   7.732696E-5
     1527.068   7.719293E-5
      1527.28   7.705859E-5
     1527.491   7.692485E-5
     1527.704   7.679017E-5
     1527.916   7.665664E-5
     1528.128   7.652277E-5
     1528.339   7.638954E-5
     1528.551   7.625643E-5
     1528.763   7.612284E-5
     1528.975   7.599001E-5
     1529.187   7.585672E-5
     1529.399   7.572410E-5
     1529.612   7.559054E-5
     1529.824   7.545813E-5
     1530.035   7.532580E-5
     1530.248   7.519274E-5
     1530.459   7.506036E-5
     1530.672   7.492754E-5
     1530.884   7.479536E-5
     1531.097   7.466280E-5
     1531.308   7.453092E-5
     1531.521   7.439864E-5
     1531.734   7.426643E-5
     1531.946   7.413490E-5
     1532.158   7.400299E-5
      1532.37   7.387166E-5
     1532.583   7.374004E-5
     1532.795   7.360899E-5
     1533.008   7.347749E-5
      1533.22   7.334672E-5
     1533.433   7.321552E-5
     1533.646   7.308445E-5
     1533.859   7.295404E-5
     1534.072   7.282326E-5
     1534.284   7.269305E-5
     1534.497   7.256249E-5
     1534.709   7.243257E-5
     1534.922   7.230228E-5
     1535.135   7.217257E-5
     1535.348   7.204249E-5
     1535.561   7.191255E-5
     1535.774   7.178327E-5
     1535.987   7.165362E-5
     1536.199   7.152455E-5
     1536.413   7.139510E-5
     1536.625   7.126624E-5
     1536.839   7.113708E-5
     1537.052   7.100851E-5
     1537.265   7.087956E-5
     1537.479   7.075074E-5
     1537.691   7.062252E-5
     1537.905   7.049400E-5
     1538.118   7.036598E-5
     1538.331   7.023766E-5
     1538.544   7.011001E-5
     1538.757   6.998242E-5
     1538.971   6.985445E-5
     1539.184   6.972663E-5
     1539.398   6.959895E-5
     1539.611   6.947185E-5
     1539.825   6.934438E-5
     1540.038   6.921755E-5
     1540.251   6.909070E-5
     1540.465   6.896355E-5
     1540.678   6.883698E-5
     1540.892   6.871003E-5
     1541.106   6.858316E-5
      1541.32   6.845650E-5
     1541.534   6.833043E-5
     1541.748   6.820398E-5
     1541.961   6.807812E-5
     1542.174   6.795245E-5
     1542.389   6.782636E-5
     1542.602   6.770092E-5
     1542.816   6.757503E-5
     1543.031   6.744938E-5
     1543.244   6.732428E-5
     1543.458   6.719882E-5
     1543.672   6.707402E-5
     1543.886   6.694877E-5
       1544.1   6.682418E-5
     1544.314   6.669921E-5
     1544.528   6.657489E-5
     1544.743   6.645021E-5
     1544.957   6.632561E-5
     1545.171   6.620164E-5
     1545.385   6.607731E-5
     1545.599   6.595356E-5
     1545.814   6.582944E-5
     1546.028   6.570597E-5
     1546.243   6.558213E-5
     1546.457   6.545895E-5
     1546.671   6.533533E-5
     1546.886   6.521186E-5
       1547.1   6.508901E-5
     1547.315   6.496576E-5
     1547.529   6.484319E-5
     1547.744   6.472020E-5
     1547.958   6.459786E-5
     1548.173   6.447509E-5
     1548.387   6.435300E-5
     1548.603   6.423054E-5
     1548.818   6.410818E-5
     1549.032   6.398639E-5
