WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f475w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.808805E-19
PIVWV    r 4744.348
BANDW    r 420.0992
TPEAK    r 0.373599
EQUVW    r 509.6813
RECTW    r 1364.247
EMFLX    r 2.519521E-16
        3510.   3.434731E-6
     3510.386   3.442482E-6
     3510.769   3.450199E-6
     3511.155   3.457967E-6
     3511.538   3.465708E-6
     3511.924   3.473499E-6
      3512.31   3.481300E-6
     3512.695   3.489112E-6
     3513.079   3.496893E-6
     3513.465   3.504720E-6
     3513.849   3.512518E-6
     3514.234   3.520367E-6
     3514.618   3.528194E-6
     3515.004   3.536065E-6
      3515.39   3.543956E-6
     3515.776   3.551856E-6
      3516.16   3.559731E-6
     3516.546   3.567648E-6
     3516.931   3.575539E-6
     3517.317   3.583472E-6
     3517.701   3.591380E-6
     3518.087   3.599344E-6
     3518.472   3.607276E-6
      3518.86   3.615299E-6
     3519.244   3.623255E-6
     3519.631   3.631263E-6
     3520.015   3.639236E-6
     3520.402   3.647176E-6
     3520.786   3.655086E-6
     3521.173   3.663049E-6
     3521.558   3.670974E-6
     3521.944   3.678953E-6
     3522.331   3.686943E-6
     3522.718   3.694943E-6
     3523.103   3.702916E-6
      3523.49   3.710931E-6
     3523.875   3.718920E-6
     3524.261   3.726965E-6
     3524.646   3.734983E-6
     3525.033   3.743050E-6
     3525.419   3.751088E-6
     3525.808   3.759212E-6
     3526.193   3.767270E-6
      3526.58   3.775378E-6
     3526.965   3.783455E-6
     3527.353   3.791579E-6
     3527.738   3.799677E-6
     3528.125   3.807821E-6
     3528.511   3.815937E-6
     3528.898   3.824105E-6
     3529.286   3.832286E-6
     3529.673   3.840480E-6
     3530.059   3.848638E-6
     3530.447   3.856814E-6
     3530.832   3.864958E-6
      3531.22   3.873148E-6
     3531.608   3.881345E-6
     3531.993   3.889509E-6
     3532.381   3.897730E-6
     3532.769   3.905956E-6
     3533.155   3.914157E-6
     3533.543   3.922411E-6
     3533.931   3.930676E-6
     3534.317   3.938917E-6
     3534.705   3.947205E-6
     3535.091   3.955464E-6
     3535.479   3.963770E-6
     3535.866   3.972043E-6
     3536.256   3.980411E-6
     3536.642   3.988713E-6
     3537.031   3.997061E-6
     3537.417   4.005383E-6
     3537.805   4.013757E-6
     3538.192   4.022094E-6
     3538.581   4.030489E-6
     3538.967   4.038845E-6
     3539.356   4.047259E-6
     3539.744   4.055683E-6
     3540.133   4.063998E-6
      3540.52   4.072058E-6
     3540.908   4.080166E-6
     3541.295   4.088243E-6
     3541.684   4.096365E-6
     3542.071   4.104460E-6
      3542.46   4.112608E-6
     3542.847   4.120728E-6
     3543.238   4.128934E-6
     3543.625   4.137072E-6
     3544.014   4.145254E-6
     3544.401   4.153405E-6
     3544.791   4.161605E-6
     3545.178   4.169780E-6
     3545.567   4.178001E-6
     3545.955   4.186196E-6
     3546.344   4.194440E-6
     3546.733   4.202688E-6
     3547.123   4.210954E-6
      3547.51   4.219183E-6
       3547.9   4.227462E-6
     3548.287   4.235713E-6
     3548.677   4.244015E-6
     3549.065   4.252281E-6
     3549.454   4.260586E-6
     3549.842   4.268864E-6
     3550.234   4.270569E-6
     3550.622   4.267799E-6
     3551.012   4.264999E-6
       3551.4   4.262187E-6
      3551.79   4.259344E-6
     3552.177   4.256502E-6
     3552.568   4.253629E-6
     3552.956   4.250753E-6
     3553.346   4.247846E-6
     3553.736   4.244924E-6
     3554.126   4.241982E-6
     3554.515   4.239029E-6
     3554.905   4.236048E-6
     3555.295   4.233053E-6
     3555.684   4.230061E-6
     3556.074   4.227035E-6
     3556.463   4.224003E-6
     3556.853   4.220940E-6
     3557.244   4.217859E-6
     3557.634   4.214761E-6
     3558.023   4.211663E-6
     3558.414   4.208536E-6
     3558.802   4.205406E-6
     3559.193   4.202243E-6
     3559.582   4.199075E-6
     3559.973   4.195877E-6
     3560.362   4.192418E-6
     3560.753   4.188907E-6
     3561.144   4.185377E-6
     3561.535   4.181824E-6
     3561.924   4.178271E-6
     3562.315   4.174692E-6
     3562.704   4.171116E-6
     3563.095   4.167503E-6
     3563.485   4.163888E-6
     3563.876   4.160240E-6
     3564.265   4.156593E-6
     3564.658   4.152892E-6
     3565.048   4.149212E-6
     3565.439   4.145494E-6
     3565.829   4.141781E-6
      3566.22   4.138033E-6
      3566.61   4.134290E-6
     3567.002   4.130510E-6
     3567.391   4.126730E-6
     3567.783   4.122911E-6
     3568.175   4.119079E-6
     3568.567   4.115228E-6
     3568.957   4.111380E-6
     3569.348   4.107496E-6
     3569.738   4.103616E-6
      3570.13   4.099713E-6
      3570.52   4.095851E-6
     3570.912   4.091951E-6
     3571.302   4.088056E-6
     3571.697   4.084107E-6
     3572.087   4.080177E-6
     3572.479   4.076210E-6
     3572.869   4.072243E-6
     3573.262   4.068242E-6
     3573.652   4.064243E-6
     3574.044   4.060206E-6
     3574.435   4.056168E-6
     3574.827   4.052095E-6
      3575.22   4.048005E-6
     3575.613   4.043901E-6
     3576.003   4.039801E-6
     3576.396   4.035663E-6
     3576.787   4.031527E-6
     3577.179   4.027358E-6
     3577.572   4.023172E-6
     3577.963   4.018991E-6
     3578.356   4.014767E-6
     3578.749   4.010524E-6
     3579.142   4.006269E-6
     3579.533   4.002018E-6
     3579.926   3.997729E-6
     3580.317   3.993307E-6
      3580.71   3.988813E-6
     3581.101   3.984328E-6
     3581.494   3.979812E-6
     3581.886   3.975300E-6
     3582.281   3.970725E-6
     3582.672   3.966177E-6
     3583.066   3.961591E-6
     3583.457   3.957010E-6
     3583.851   3.952388E-6
     3584.242   3.947775E-6
     3584.636   3.943124E-6
     3585.027   3.938478E-6
     3585.421   3.933784E-6
     3585.815   3.929069E-6
     3586.208   3.924345E-6
       3586.6   3.919634E-6
     3586.994   3.914879E-6
     3587.386   3.910131E-6
      3587.78   3.905342E-6
     3588.172   3.900557E-6
     3588.566   3.895736E-6
     3588.958   3.890919E-6
     3589.354   3.886031E-6
     3589.746   3.881178E-6
      3590.14   3.881029E-6
     3590.532   3.889442E-6
     3590.927   3.897908E-6
     3591.319   3.906337E-6
     3591.713   3.914817E-6
     3592.106   3.923265E-6
       3592.5   3.931772E-6
     3592.895   3.940283E-6
     3593.289   3.948809E-6
     3593.682   3.957301E-6
     3594.076   3.965845E-6
     3594.469   3.974358E-6
     3594.864   3.982917E-6
     3595.256   3.991451E-6
     3595.651   4.000038E-6
     3596.044   4.008592E-6
     3596.441   4.017244E-6
     3596.834   4.025817E-6
     3597.229   4.034446E-6
     3597.622   4.043036E-6
     3598.017   4.051684E-6
     3598.412   4.060346E-6
     3598.805   4.068971E-6
       3599.2   4.077646E-6
     3599.593   4.086294E-6
     3599.989   4.094993E-6
     3600.384   4.104263E-6
