WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f110w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 5.209248E-20
PIVWV    r 11234.98
BANDW    r 1629.847
TPEAK    r 0.1733764
EQUVW    r 742.5139
RECTW    r 4282.669
EMFLX    r 2.667998E-16
        7000.            0.
     7000.576            0.
     7001.156            0.
     7001.733            0.
     7002.313            0.
     7002.894            0.
     7003.475            0.
     7004.051            0.
     7004.632   5.226991E-8
     7005.208   9.720841E-8
      7005.79   4.976429E-8
     7006.366   2.625127E-9
     7006.947            0.
     7007.524            0.
     7008.109            0.
     7008.686            0.
     7009.267            0.
     7009.844            0.
     7010.425            0.
     7011.003            0.
     7011.584            0.
     7012.161            0.
     7012.743            0.
     7013.324            0.
     7013.905            0.
     7014.483            0.
     7015.064            0.
     7015.642            0.
     7016.224            0.
     7016.802            0.
     7017.383            0.
     7017.961            0.
     7018.547            0.
     7019.125            0.
     7019.707   2.027659E-8
     7020.285   1.653191E-8
     7020.867            0.
     7021.445            0.
     7022.027            0.
     7022.605            0.
     7023.188            0.
      7023.77            0.
     7024.352            0.
      7024.93            0.
     7025.513            0.
     7026.091            0.
     7026.674            0.
     7027.252            0.
     7027.831            0.
     7028.414            0.
     7028.996            0.
     7029.579            0.
     7030.158            0.
     7030.741            0.
      7031.32            0.
     7031.902            0.
     7032.481            0.
     7033.064            0.
     7033.644            0.
      7034.23            0.
      7034.81            0.
     7035.393            0.
     7035.973            0.
     7036.556            0.
     7037.135   1.282578E-8
     7037.719   4.661244E-8
     7038.298   8.021053E-8
     7038.882   1.140730E-7
     7039.465   1.479735E-7
     7040.049   1.640042E-7
     7040.628            0.
     7041.212            0.
     7041.792            0.
     7042.376            0.
     7042.956            0.
      7043.54            0.
      7044.12            0.
     7044.708            0.
     7045.288            0.
     7045.872            0.
     7046.452            0.
     7047.036            0.
     7047.616            0.
     7048.201            0.
     7048.781            0.
     7049.365            0.
      7049.95            0.
     7050.534            0.
     7051.115            0.
     7051.699            0.
      7052.28            0.
     7052.865            0.
     7053.445            0.
      7054.03            0.
     7054.611            0.
     7055.196            0.
     7055.781            0.
     7056.362            0.
     7056.947            0.
     7057.528            0.
     7058.113            0.
     7058.694            0.
     7059.279            0.
     7059.861            0.
      7060.45            0.
     7061.031            0.
     7061.617            0.
     7062.198            0.
     7062.784            0.
     7063.365            0.
     7063.951            0.
     7064.532            0.
     7065.118            0.
       7065.7            0.
      7066.29            0.
     7066.872            0.
     7067.457            0.
     7068.039            0.
     7068.625            0.
     7069.208            0.
     7069.793            0.
     7070.375            0.
     7070.965            0.
     7071.548            0.
     7072.134            0.
     7072.716            0.
     7073.303            0.
     7073.885            0.
     7074.472            0.
     7075.054            0.
     7075.641            0.
     7076.224            0.
     7076.814            0.
     7077.397            0.
     7077.983            0.
     7078.566            0.
     7079.153            0.
     7079.736            0.
     7080.323            0.
     7080.906            0.
     7081.493            0.
      7082.08            0.
     7082.664            0.
      7083.25            0.
     7083.834            0.
     7084.421            0.
     7085.004            0.
     7085.592            0.
     7086.175            0.
     7086.763            0.
      7087.35            0.
     7087.938            0.
     7088.521            0.
     7089.109            0.
     7089.693            0.
     7090.281            0.
     7090.864            0.
     7091.452            0.
     7092.036            0.
     7092.628            0.
     7093.212            0.
       7093.8            0.
     7094.384            0.
     7094.973            0.
     7095.557            0.
     7096.145            0.
     7096.729            0.
     7097.318            0.
     7097.906            0.
     7098.495            0.
     7099.079            0.
     7099.667            0.
     7100.252            0.
     7100.841            0.
     7101.426            0.
     7102.014            0.
     7102.599            0.
     7103.192            0.
     7103.777            0.
     7104.366            0.
     7104.951            0.
      7105.54            0.
     7106.125            0.
     7106.714            0.
     7107.299            0.
     7107.888            0.
     7108.478            0.
     7109.063            0.
     7109.652            0.
     7110.238            0.
     7110.827            0.
     7111.413            0.
     7112.002            0.
     7112.588            0.
     7113.178            0.
     7113.768            0.
     7114.357            0.
     7114.943            0.
     7115.533            0.
     7116.119            0.
     7116.708            0.
     7117.295            0.
     7117.885            0.
     7118.471            0.
     7119.065            0.
     7119.651            0.
     7120.241            0.
     7120.828            0.
     7121.418            0.
     7122.004            0.
     7122.595            0.
     7123.182            0.
     7123.772            0.
     7124.362            0.
     7124.953            0.
      7125.54            0.
      7126.13            0.
     7126.717            0.
     7127.308            0.
     7127.895            0.
     7128.486            0.
     7129.073            0.
     7129.668            0.
     7130.255            0.
     7130.846            0.
     7131.434            0.
     7132.024            0.
     7132.612            0.
     7133.203            0.
     7133.791            0.
     7134.382            0.
     7134.974            0.
     7135.561            0.
     7136.152            0.
      7136.74            0.
     7137.332   2.629264E-8
     7137.919   9.230873E-8
     7138.511   1.588923E-7
     7139.099   2.251093E-7
     7139.691   2.918400E-7
     7140.283   3.083499E-7
     7140.875   2.698301E-7
     7141.463   2.315535E-7
     7142.055   1.929801E-7
     7142.643   1.545869E-7
     7143.235   1.158960E-7
     7143.823   7.744967E-8
     7144.416   3.867321E-8
     7145.004  6.160785E-10
       7145.6   3.879140E-8
     7146.188   7.650812E-8
     7146.781   1.145484E-7
      7147.37   1.523483E-7
     7147.962   1.904409E-7
     7148.551   2.283553E-7
     7149.144   2.665632E-7
     7149.732   3.045294E-7
     7150.325   2.935456E-7
     7150.917   2.418470E-7
      7151.51   1.900911E-7
     7152.099   1.386197E-7
     7152.692   8.670695E-8
     7153.281   3.512212E-8
     7153.874            0.
     7154.463            0.
     7155.057            0.
     7155.646            0.
     7156.243            0.
     7156.832            0.
     7157.425            0.
     7158.015            0.
     7158.608            0.
     7159.198            0.
     7159.791            0.
     7160.381            0.
     7160.975            0.
     7161.568            0.
     7162.162            0.
     7162.751            0.
     7163.341   2.470256E-9
     7163.935   8.659434E-8
     7164.525   1.703256E-7
     7165.119   2.158443E-7
     7165.709   1.075242E-7
     7166.303            0.
     7166.897            0.
     7167.491            0.
     7168.082            0.
     7168.676            0.
     7169.266            0.
      7169.86            0.
     7170.451            0.
     7171.045            0.
     7171.636            0.
     7172.234            0.
     7172.825            0.
      7173.42            0.
      7174.01            0.
     7174.605            0.
     7175.196            0.
     7175.791            0.
     7176.382            0.
     7176.977            0.
     7177.572   6.200552E-8
     7178.167   1.537152E-7
     7178.758   2.449969E-7
     7179.353   3.369811E-7
     7179.944   4.284605E-7
      7180.54   3.243937E-7
     7181.131   2.007727E-7
     7181.726   7.620002E-8
     7182.317            0.
     7182.913            0.
     7183.508            0.
     7184.104            0.
     7184.695            0.
     7185.291            0.
     7185.883            0.
     7186.479            0.
      7187.07            0.
     7187.666            0.
     7188.262            0.
     7188.854            0.
      7189.45            0.
     7190.046            0.
     7190.638            0.
      7191.23            0.
     7191.826            0.
     7192.418            0.
     7193.015            0.
     7193.607            0.
     7194.208            0.
       7194.8            0.
