WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f336w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 5.613530E-17
PIVWV    r 3359.477
BANDW    r 204.4981
TPEAK    r 0.004946358
EQUVW    r 2.321958
RECTW    r 469.4278
EMFLX    r 2.850540E-14
        2890.  6.569763E-11
     2890.386  1.569999E-10
     2890.773  2.486050E-10
     2891.159  3.398776E-10
     2891.546  4.315109E-10
     2891.934  5.232160E-10
     2892.319  6.145309E-10
     2892.707   1.015776E-9
     2893.093   1.684976E-9
      2893.48   2.356818E-9
     2893.866   3.026647E-9
     2894.252   3.696155E-9
      2894.64   4.368732E-9
     2895.026   5.067899E-9
     2895.414   6.167545E-9
     2895.802   7.268054E-9
     2896.188   8.363884E-9
     2896.576   9.465423E-9
     2896.963   1.056159E-8
     2897.349   1.165862E-8
     2897.737   1.468760E-8
     2898.124   1.892622E-8
     2898.512   2.318156E-8
       2898.9   2.743755E-8
     2899.287   3.167813E-8
     2899.676   3.593811E-8
     2900.062   4.073010E-8
     2900.451   4.839134E-8
     2900.838   5.602073E-8
     2901.225   6.364716E-8
     2901.614   7.130429E-8
     2902.001   7.892958E-8
     2902.389   8.658076E-8
     2902.778   9.423374E-8
     2903.166   1.018501E-7
     2903.554   1.094971E-7
     2903.942   1.171075E-7
     2904.329   1.247198E-7
     2904.718   1.323626E-7
     2905.106   1.399689E-7
     2905.495   1.476057E-7
     2905.884   1.552396E-7
     2906.272   1.628417E-7
     2906.661   1.704743E-7
     2907.049   1.780705E-7
     2907.438   1.856971E-7
     2907.826   1.932920E-7
     2908.214   2.008839E-7
     2908.604   2.085063E-7
     2908.992   2.160922E-7
     2909.382   2.237133E-7
     2909.771   2.313267E-7
     2910.159   2.603125E-7
     2910.549   3.202565E-7
     2910.938   3.799140E-7
     2911.327   4.398100E-7
     2911.716   4.994573E-7
     2912.104   5.590807E-7
     2912.494   6.189423E-7
     2912.885   6.787799E-7
     2913.273   7.383690E-7
     2913.664   7.981960E-7
     2914.052   8.577371E-7
     2914.443   9.175160E-7
     2914.831   9.770091E-7
      2915.22   1.036516E-6
     2915.611   1.096260E-6
        2916.   1.155718E-6
     2916.392   1.215675E-6
     2916.781   1.275086E-6
      2917.17   1.334509E-6
     2917.561   1.394170E-6
      2917.95   1.453545E-6
     2918.341   1.513157E-6
      2918.73   1.572522E-6
      2919.12   1.631862E-6
     2919.511   1.691439E-6
     2919.902   1.750954E-6
     2920.292   1.905787E-6
     2920.683   2.093417E-6
     2921.072   2.280267E-6
     2921.464   2.467859E-6
     2921.854   2.654673E-6
     2922.243   2.841294E-6
     2922.635   3.028772E-6
     2923.025   3.215357E-6
     2923.418   3.403383E-6
     2923.808   3.589930E-6
     2924.198   3.776284E-6
      2924.59   3.963495E-6
      2924.98   4.149812E-6
     2925.372   4.336867E-6
     2925.762   4.523148E-6
     2926.152   4.709234E-6
     2926.544   4.896176E-6
     2926.936   5.083039E-6
     2927.327   5.269010E-6
     2927.719   5.455719E-6
     2928.109   5.641652E-6
     2928.502   5.828320E-6
     2928.892   6.014101E-6
     2929.285   6.200615E-6
     2929.676   6.386355E-6
     2930.066   6.617383E-6
      2930.46   7.073601E-6
     2930.852   7.526234E-6
     2931.242   7.978394E-6
     2931.635   8.432625E-6
     2932.026   8.884686E-6
     2932.419   9.338250E-6
      2932.81   9.790216E-6
     2933.201   1.024171E-5
     2933.594   1.069526E-5
     2933.986   1.114665E-5
      2934.38   1.160151E-5
     2934.772   1.205280E-5
     2935.164   1.250390E-5
     2935.557   1.295649E-5
     2935.948   1.340721E-5
     2936.342   1.385970E-5
     2936.733   1.431032E-5
     2937.125   1.476074E-5
      2937.52   1.521461E-5
     2937.912   1.566465E-5
     2938.304   1.611450E-5
     2938.698   1.656639E-5
      2939.09   1.701586E-5
     2939.483   1.746736E-5
     2939.875   1.791672E-5
     2940.268   1.762428E-5
     2940.662   1.698474E-5
     2941.054   1.634786E-5
      2941.45   1.570569E-5
     2941.842   1.506934E-5
     2942.234   1.511094E-5
     2942.629   1.561163E-5
     2943.021   1.610993E-5
     2943.416   1.661019E-5
     2943.808   1.710806E-5
     2944.201   1.771396E-5
     2944.595   1.842530E-5
      2944.99   1.913677E-5
     2945.383   1.984485E-5
     2945.777   2.055571E-5
      2946.17   2.127293E-5
     2946.565   2.200516E-5
     2946.958   2.273393E-5
     2947.351   2.346237E-5
     2947.746   2.419367E-5
     2948.139   2.496571E-5
     2948.536   2.582421E-5
     2948.929   2.667600E-5
     2949.323   2.752689E-5
     2949.718   2.838112E-5
     2950.111   2.923213E-5
     2950.506   3.008729E-5
       2950.9   3.093839E-5
     2951.294   3.178964E-5
     2951.689   3.264367E-5
     2952.084   3.352519E-5
      2952.48   3.450690E-5
     2952.874   3.548394E-5
     2953.268   3.646114E-5
     2953.663   3.744155E-5
     2954.057   3.842872E-5
     2954.453   3.948354E-5
     2954.847   4.053334E-5
     2955.241   4.158333E-5
     2955.639   4.264130E-5
     2956.033   4.369693E-5
     2956.428   4.482432E-5
     2956.824   4.595538E-5
     2957.218   4.708177E-5
     2957.614   4.821183E-5
     2958.009   4.934015E-5
     2958.404   5.056324E-5
       2958.8   5.179107E-5
     2959.196   5.301911E-5
     2959.593   5.424585E-5
     2959.988   5.546826E-5
     2960.382   5.678202E-5
     2960.779   5.810472E-5
     2961.174   5.942033E-5
     2961.571   6.074185E-5
     2961.966   6.205790E-5
     2962.361   6.354031E-5
     2962.759   6.505090E-5
     2963.155   6.654880E-5
      2963.55   6.804694E-5
     2963.947   6.954995E-5
     2964.342   7.104365E-5
      2964.74   7.254371E-5
     2965.135   7.403664E-5
     2965.532   7.553534E-5
     2965.928   7.702693E-5
     2966.325   7.869157E-5
     2966.722   8.039135E-5
     2967.118   8.208518E-5
     2967.514   8.377717E-5
     2967.912   8.547572E-5
     2968.308   8.720434E-5
     2968.705   8.895031E-5
     2969.101   9.068800E-5
     2969.497   9.242492E-5
     2969.897   9.417603E-5
     2970.293   9.598475E-5
     2970.691   9.782604E-5
     2971.087   9.965973E-5
     2971.484   1.014914E-4
     2971.882   1.033313E-4
     2972.278   1.052709E-4
     2972.676   1.072629E-4
     2973.073   1.092479E-4
     2973.471   1.112393E-4
      2973.87   1.132310E-4
     2974.266   1.152621E-4
     2974.663   1.173162E-4
     2975.062   1.193782E-4
     2975.458   1.214317E-4
     2975.857   1.234931E-4
     2976.254   1.256273E-4
     2976.651   1.278071E-4
     2977.052   1.300046E-4
     2977.449   1.321837E-4
     2977.848   1.343711E-4
     2978.245   1.366402E-4
     2978.642   1.389653E-4
     2979.041   1.413009E-4
     2979.439   1.436253E-4
     2979.838   1.459573E-4
     2980.235   1.483550E-4
     2980.635   1.508117E-4
