WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f892n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 2.447152E-18
PIVWV    r 8916.088
BANDW    r 101.0613
TPEAK    r 0.1346072
EQUVW    r 20.12438
RECTW    r 149.5046
EMFLX    r 3.707104E-16
        2500.   3.884639E-7
      2500.37   3.883810E-7
     2500.741   3.882979E-7
      2501.11   3.882150E-7
     2501.481   3.881322E-7
     2501.853   3.880487E-7
     2502.224   3.879654E-7
     2502.595   3.878824E-7
     2502.964   3.877996E-7
     2503.335   3.877160E-7
     2503.707   3.876324E-7
     2504.078   3.875489E-7
     2504.449   3.874656E-7
     2504.819   3.873828E-7
     2505.191   3.872993E-7
     2505.563   3.872161E-7
     2505.934   3.871329E-7
     2506.306   3.870492E-7
     2506.676   3.869658E-7
     2507.047   3.868823E-7
     2507.419   3.867995E-7
     2507.791   3.867166E-7
     2508.162   3.866332E-7
     2508.534   3.865490E-7
     2508.906   3.864647E-7
     2509.278   3.863816E-7
      2509.65   3.862987E-7
     2510.022   3.862165E-7
     2510.393   3.861467E-7
     2510.765   3.860766E-7
     2511.137   3.860063E-7
     2511.509   3.859357E-7
     2511.883   3.858649E-7
     2512.254   3.857948E-7
     2512.626   3.857247E-7
     2512.999   3.856545E-7
     2513.371   3.855839E-7
     2513.744   3.855132E-7
     2514.115   3.854431E-7
     2514.488   3.853733E-7
      2514.86   3.853034E-7
     2515.235   3.852328E-7
     2515.607   3.851621E-7
     2515.979   3.850915E-7
     2516.352   3.850217E-7
     2516.725   3.849518E-7
     2517.098   3.848815E-7
     2517.471   3.848102E-7
     2517.843   3.847392E-7
     2518.216   3.846687E-7
     2518.591   3.845985E-7
     2518.964   3.845285E-7
     2519.338   3.844582E-7
      2519.71   3.843880E-7
     2520.083   3.843158E-7
     2520.457   3.842374E-7
      2520.83   3.841589E-7
     2521.204   3.840810E-7
     2521.576   3.840038E-7
     2521.951   3.839261E-7
     2522.325   3.838480E-7
     2522.699   3.837700E-7
     2523.073   3.836920E-7
     2523.446   3.836142E-7
      2523.82   3.835362E-7
     2524.194   3.834577E-7
     2524.568   3.833787E-7
     2524.942   3.832997E-7
     2525.317   3.832218E-7
     2525.691   3.831442E-7
     2526.065   3.830663E-7
      2526.44   3.829883E-7
     2526.814   3.829101E-7
     2527.187   3.828320E-7
     2527.562   3.827534E-7
     2527.937   3.826747E-7
     2528.312   3.825969E-7
     2528.688   3.825188E-7
     2529.061   3.824413E-7
     2529.436   3.823630E-7
     2529.811   3.822848E-7
     2530.186   3.822100E-7
     2530.561   3.821386E-7
     2530.935   3.820676E-7
      2531.31   3.819966E-7
     2531.685   3.819257E-7
     2532.062   3.818543E-7
     2532.437   3.817826E-7
     2532.811   3.817109E-7
     2533.187   3.816390E-7
     2533.562   3.815672E-7
     2533.938   3.814953E-7
     2534.313   3.814241E-7
     2534.688   3.813533E-7
     2535.063   3.812821E-7
     2535.441   3.812099E-7
     2535.816   3.811379E-7
     2536.192   3.810664E-7
     2536.567   3.809956E-7
     2536.943   3.809245E-7
     2537.319   3.808528E-7
     2537.695   3.807814E-7
     2538.071   3.807098E-7
     2538.446   3.806389E-7
     2538.824   3.805674E-7
       2539.2   3.804957E-7
     2539.577   3.804236E-7
     2539.953   3.803515E-7
     2540.328   3.802775E-7
     2540.705   3.802029E-7
     2541.081   3.801282E-7
     2541.458   3.800528E-7
     2541.835   3.799771E-7
      2542.21   3.799020E-7
     2542.588   3.798262E-7
     2542.965   3.797507E-7
     2543.342   3.796763E-7
     2543.719   3.796022E-7
     2544.095   3.795278E-7
     2544.472   3.794523E-7
     2544.849   3.793767E-7
     2545.227   3.793015E-7
     2545.605   3.792265E-7
     2545.981   3.791521E-7
     2546.359   3.790769E-7
     2546.736   3.790017E-7
     2547.114   3.789264E-7
     2547.491   3.788512E-7
     2547.867   3.787762E-7
     2548.245   3.787013E-7
     2548.623   3.786263E-7
        2549.   3.785515E-7
      2549.38   3.784755E-7
     2549.756   3.783999E-7
     2550.134   3.783251E-7
     2550.512   3.782521E-7
      2550.89   3.781789E-7
     2551.269   3.781051E-7
     2551.645   3.780314E-7
     2552.023   3.779574E-7
     2552.402   3.778837E-7
     2552.781   3.778098E-7
      2553.16   3.777363E-7
     2553.537   3.776634E-7
     2553.916   3.775902E-7
     2554.294   3.775166E-7
     2554.673   3.774428E-7
     2555.052   3.773692E-7
     2555.429   3.772957E-7
     2555.808   3.772219E-7
     2556.188   3.771481E-7
     2556.567   3.770748E-7
     2556.946   3.770014E-7
     2557.323   3.769279E-7
     2557.702   3.768541E-7
     2558.082   3.767804E-7
     2558.461   3.767065E-7
      2558.84   3.766325E-7
     2559.218   3.765592E-7
     2559.599   3.764855E-7
     2559.978   3.764121E-7
     2560.358   3.763348E-7
     2560.737   3.762572E-7
     2561.115   3.761800E-7
     2561.495   3.761020E-7
     2561.875   3.760240E-7
     2562.254   3.759466E-7
     2562.634   3.758695E-7
     2563.014   3.757924E-7
     2563.394   3.757154E-7
     2563.774   3.756382E-7
     2564.154   3.755607E-7
     2564.534   3.754826E-7
     2564.913   3.754047E-7
     2565.293   3.753278E-7
     2565.674   3.752510E-7
     2566.054   3.751742E-7
     2566.436   3.750962E-7
     2566.815   3.750188E-7
     2567.195   3.749408E-7
     2567.576   3.748627E-7
     2567.956   3.747845E-7
     2568.337   3.747076E-7
     2568.716   3.746309E-7
     2569.097   3.745539E-7
     2569.478   3.744761E-7
      2569.86   3.743980E-7
     2570.241   3.743222E-7
     2570.621   3.742480E-7
     2571.002   3.741734E-7
     2571.383   3.740979E-7
     2571.764   3.740224E-7
     2572.145   3.739472E-7
     2572.525   3.738730E-7
     2572.906   3.737983E-7
     2573.289   3.737227E-7
     2573.671   3.736471E-7
     2574.052   3.735717E-7
     2574.432   3.734973E-7
     2574.814   3.734226E-7
     2575.196   3.733481E-7
     2575.577   3.732739E-7
     2575.959   3.731996E-7
      2576.34   3.731244E-7
     2576.723   3.730484E-7
     2577.105   3.729728E-7
     2577.487   3.728976E-7
     2577.869   3.728223E-7
      2578.25   3.727479E-7
     2578.632   3.726735E-7
     2579.014   3.725991E-7
     2579.396   3.725238E-7
     2579.779   3.724484E-7
     2580.161   3.723727E-7
     2580.544   3.722964E-7
     2580.926   3.722203E-7
     2581.309   3.721443E-7
     2581.691   3.720685E-7
     2582.073   3.719929E-7
     2582.456   3.719165E-7
     2582.838   3.718401E-7
     2583.221   3.717641E-7
     2583.605   3.716879E-7
     2583.987   3.716123E-7
      2584.37   3.715363E-7
     2584.753   3.714604E-7
     2585.136   3.713844E-7
      2585.52   3.713085E-7
     2585.901   3.712328E-7
     2586.285   3.711564E-7
     2586.668   3.710799E-7
     2587.053   3.710031E-7
     2587.437   3.709266E-7
